Name,Species,lambda,chi,loggf,r_loggf,EW,l_logepsX,logepsX
J1202-0020,Fe I,3920.26,0.12,-1.75,1,61.1,,4.72
J1202-0020,Fe I,3922.91,0.05,-1.65,1,65.5,,4.68
J1202-0020,Fe I,4005.24,1.56,-0.61,1,48.2,,4.55
J1202-0020,Fe I,4045.81,1.49,0.28,1,88.4,,4.52
J1202-0020,Fe I,4063.59,1.56,0.06,1,82.0,,4.67
J1202-0020,Fe I,4071.74,1.61,-0.02,1,73.3,,4.6
J1202-0020,Fe I,4132.06,1.61,-0.68,1,38.4,,4.43
J1202-0020,Fe I,4134.68,2.83,-0.65,1,,,
J1202-0020,Fe I,4143.87,1.56,-0.51,1,49.5,,4.46
J1202-0020,Fe I,4181.76,2.83,-0.37,1,16.1,,4.66
J1202-0020,Fe I,4187.04,2.45,-0.56,9,13.8,,4.41
J1202-0020,Fe I,4187.8,2.42,-0.55,1,17.5,,4.5
J1202-0020,Fe I,4191.43,2.47,-0.67,1,12.7,,4.5
J1202-0020,Fe I,4199.1,3.05,0.16,10,17.5,,4.38
J1202-0020,Fe I,4202.03,1.49,-0.71,1,49.5,,4.59
J1202-0020,Fe I,4227.43,3.33,0.27,1,,,
J1202-0020,Fe I,4233.6,2.48,-0.6,9,17.6,,4.61
J1202-0020,Fe I,4250.12,2.47,-0.41,1,20.2,,4.48
J1202-0020,Fe I,4250.79,1.56,-0.71,1,49.2,,4.64
J1202-0020,Fe I,4260.47,2.4,0.08,1,41.0,,4.4
J1202-0020,Fe I,4271.15,2.45,-0.35,1,17.7,,4.33
J1202-0020,Fe I,4282.4,2.18,-0.78,1,17.4,,4.51
J1202-0020,Fe I,4404.75,1.56,-0.14,1,71.4,,4.59
J1202-0020,Fe I,4415.12,1.61,-0.62,1,50.9,,4.62
J1202-0020,Fe I,4427.31,0.05,-3.04,1,11.8,,4.56
J1202-0020,Fe I,4442.34,2.2,-1.25,1,,,
J1202-0020,Fe I,4461.65,0.09,-3.21,1,7.0,,4.51
J1202-0020,Fe I,4494.56,2.2,-1.14,10,7.7,,4.45
J1202-0020,Fe I,4891.49,2.85,-0.11,1,16.2,,4.37
J1202-0020,Fe I,4920.5,2.83,0.07,1,27.6,,4.48
J1202-0020,Fe I,5232.94,2.94,-0.06,1,,,
J1202-0020,Fe I,5371.49,0.96,-1.64,1,33.0,,4.57
J1202-0020,Fe I,5397.13,0.92,-1.99,1,,,
J1202-0020,Fe I,5429.7,0.96,-1.88,1,,,
J1202-0020,Fe II,4233.17,2.58,-1.81,1,17.8,,4.81
J1202-0020,Fe II,4522.63,2.84,-1.99,1,,,
J1202-0020,Fe II,4583.84,2.81,-1.74,1,9.0,,4.6
J1202-0020,Co I,3502.28,0.43,0.11,11,,<,3.1
J1202-0020,Co I,4121.32,0.92,-0.33,11,,<,2.9
J1202-0020,Ni I,3566.37,0.42,-0.24,12,57.3,,3.26
J1202-0020,Ni I,3783.53,0.42,-1.4,12,23.2,,3.39
J1202-0020,Ni I,3807.14,0.42,-1.23,12,28.5,,3.36
J1202-0020,Zn I,4810.53,4.08,-0.37,13,,<,2.9
J1202-0020,Sr II,4077.71,0.0,0.15,1,,,0.25
J1202-0020,Sr II,4215.52,0.0,-0.17,1,,,0.07
J1202-0020,Ba II,4554.03,0.0,0.14,14,,<,-1.2
J1202-0020,Ba II,4934.08,0.0,-0.16,14,,<,-0.8
J1202-0020,Eu II,3819.67,0.0,0.51,15,,<,-0.4
J1202-0020,Eu II,4129.72,0.0,0.22,15,,<,-0.2
J1202-0020,Eu II,4205.04,0.0,0.21,15,,<,-0.3
J1208+0024,Li I,6707.8,0.0,0.17,1,,,2.11
J1208+0024,O I,7771.94,9.15,0.37,1,,<,7.3
J1208+0024,Na I,5889.95,0.0,0.11,1,85.8,,3.66
J1208+0024,Na I,5895.92,0.0,-0.19,1,43.5,,3.26
J1208+0024,Mg I,3829.35,2.71,-0.23,1,97.0,,4.79
J1208+0024,Mg I,4167.27,4.35,-0.74,1,,,
J1208+0024,Mg I,4702.99,4.33,-0.44,1,22.9,,5.07
J1208+0024,Mg I,5172.68,2.71,-0.36,2,111.0,,4.92
J1208+0024,Mg I,5183.6,2.72,-0.17,2,121.0,,4.86
J1208+0024,Al I,3944.0,0.0,-0.64,1,36.6,,2.93
J1208+0024,Al I,3961.52,0.01,-0.33,1,52.6,,2.91
J1208+0024,Si I,3905.52,1.91,-1.04,1,88.5,,4.85
J1208+0024,Ca I,4283.01,1.89,-0.2,1,12.8,,3.85
J1208+0024,Ca I,4318.65,1.9,-0.21,1,,,
J1208+0024,Ca I,4425.44,1.88,-0.41,1,10.3,,3.93
J1208+0024,Ca I,4434.96,1.89,-0.06,1,,,
J1208+0024,Ca I,4454.78,1.9,0.26,1,25.7,,3.76
J1208+0024,Ca I,4455.89,1.9,-0.55,1,8.8,,4.01
J1208+0024,Ca I,5588.76,2.52,0.3,1,,,
J1208+0024,Ca I,6162.17,1.9,-0.11,3,18.6,,3.88
J1208+0024,Ca I,6439.07,2.52,0.33,1,10.5,,3.71
J1208+0024,Sc II,4246.82,0.32,0.24,4,,,0.47
J1208+0024,Ti II,3759.29,0.61,0.28,5,66.4,,2.13
J1208+0024,Ti II,3761.32,0.57,0.18,5,77.5,,2.52
J1208+0024,Ti II,3913.46,1.12,-0.36,5,39.4,,2.5
J1208+0024,Ti II,4395.03,1.08,-0.54,5,34.2,,2.47
J1208+0024,Ti II,4399.77,1.24,-1.2,5,,,
J1208+0024,Ti II,4417.71,1.17,-1.19,5,7.9,,2.37
J1208+0024,Ti II,4443.8,1.08,-0.71,5,25.4,,2.43
J1208+0024,Ti II,4501.27,1.12,-0.77,5,24.7,,2.51
J1208+0024,Ti II,4533.96,1.24,-0.53,5,29.0,,2.48
J1208+0024,Ti II,4571.97,1.57,-0.31,5,25.5,,2.48
J1208+0024,V II,3530.77,1.07,-0.53,6,,<,2.5
J1208+0024,V II,3545.2,1.1,-0.32,6,,<,2.6
J1208+0024,V II,4005.7,1.82,-0.45,6,,<,2.3
J1208+0024,Cr I,3578.68,0.0,0.42,7,47.4,,2.55
J1208+0024,Cr I,4274.8,0.0,-0.22,7,25.7,,2.46
J1208+0024,Cr I,4289.72,0.0,-0.37,7,24.8,,2.59
J1208+0024,Mn I,4030.75,0.0,-0.5,8,,,1.74
J1208+0024,Mn I,4033.06,0.0,-0.65,8,,,2.03
J1208+0024,Mn I,4034.48,0.0,-0.84,8,,,2.21
J1208+0024,Fe I,3565.38,0.96,-0.13,1,,,
J1208+0024,Fe I,3608.86,1.01,-0.1,1,70.9,,4.41
J1208+0024,Fe I,3727.62,0.96,-0.63,1,66.0,,4.58
J1208+0024,Fe I,3758.23,0.96,-0.03,1,81.2,,4.35
J1208+0024,Fe I,3763.79,0.99,-0.24,1,80.8,,4.58
J1208+0024,Fe I,3787.88,1.01,-0.86,1,54.7,,4.54
J1208+0024,Fe I,3820.43,0.86,0.12,1,105.3,,4.53
J1208+0024,Fe I,3825.88,0.91,-0.04,1,89.6,,4.47
J1208+0024,Fe I,3827.82,1.56,0.06,1,82.9,,4.78
J1208+0024,Fe I,3840.44,0.99,-0.51,1,64.8,,4.43
J1208+0024,Fe I,3841.05,1.61,-0.04,1,68.0,,4.58
J1208+0024,Fe I,3849.97,1.01,-0.87,1,57.3,,4.6
J1208+0024,Fe I,3856.37,0.05,-1.29,1,85.9,,4.92
J1208+0024,Fe I,3865.52,1.01,-0.98,1,58.4,,4.74
J1208+0024,Fe I,3878.02,0.96,-0.91,1,47.1,,4.33
J1208+0024,Fe I,3895.66,0.11,-1.67,1,63.5,,4.76
J1208+0024,Fe I,3899.71,0.09,-1.53,1,71.8,,4.83
J1208+0024,Fe I,3902.95,1.56,-0.47,1,49.8,,4.5
J1208+0024,Fe I,3920.26,0.12,-1.75,1,60.8,,4.76
J1208+0024,Fe I,3922.91,0.05,-1.65,1,67.1,,4.78
J1208+0024,Fe I,4005.24,1.56,-0.61,1,46.3,,4.54
J1208+0024,Fe I,4045.81,1.49,0.28,1,80.6,,4.42
J1208+0024,Fe I,4063.59,1.56,0.06,1,80.1,,4.68
J1208+0024,Fe I,4071.74,1.61,-0.02,1,69.4,,4.56
J1208+0024,Fe I,4132.06,1.61,-0.68,1,45.0,,4.62
J1208+0024,Fe I,4134.68,2.83,-0.65,1,9.4,,4.7
J1208+0024,Fe I,4143.87,1.56,-0.51,1,48.4,,4.48
J1208+0024,Fe I,4181.76,2.83,-0.37,1,11.7,,4.52
J1208+0024,Fe I,4187.04,2.45,-0.56,9,15.2,,4.5
J1208+0024,Fe I,4187.8,2.42,-0.55,1,18.7,,4.57
J1208+0024,Fe I,4191.43,2.47,-0.67,1,15.1,,4.62
J1208+0024,Fe I,4199.1,3.05,0.16,10,19.9,,4.48
J1208+0024,Fe I,4202.03,1.49,-0.71,1,46.1,,4.55
J1208+0024,Fe I,4227.43,3.33,0.27,1,16.8,,4.52
J1208+0024,Fe I,4233.6,2.48,-0.6,9,13.1,,4.48
