Name,Simbad_Identifier,System,RA_hms,DEC_dms,HRV,e_HRV,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Bmag,e_Bmag,Vmag,e_Vmag,Rcmag,e_Rcmag,Icmag,e_Icmag,E(B-V),e_E(B-V),Teff(BV),e_Teff(BV),Teff(VR),e_Teff(VR),Teff(VI),e_Teff(VI),Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,M/H,e_M/H
J1202-0020,SDSS J120220.91-002038.9,Sylgr,12:02:20.92,-00:20:38.82,-203.3,0.7,18.44,0.02,17.56,0.01,17.33,0.01,17.23,0.01,17.89,0.02,17.45,0.01,17.19,0.01,16.82,0.01,0.02,0.01,6206,140,6200,83,6556,198,6092,107,4.47,0.2,1.15,0.1,-3.0,0.1
J1208+0024,SDSS J120825.36+002440.4,Sylgr,12:08:25.37,+00:24:40.49,-209.5,0.7,18.63,0.01,17.77,0.01,17.55,0.01,17.45,0.01,18.09,0.02,17.67,0.01,17.41,0.01,17.04,0.01,0.022,0.01,6255,142,6613,202,6128,108,6242,84,4.46,0.2,1.15,0.1,-3.0,0.1
