Ion,lambda,ExPot,loggf,l_EW1,EW1,f_EW1,l_loge1,loge1,EW2,f_EW2,l_loge2,loge2,EW3,f_EW3,l_loge3,loge3,l_EW4,EW4,f_EW4,l_loge4,loge4
Fe I,4216.18,0.00,-3.36,,66.0,,,4.57,90.6,,,4.86,82.0,,,4.80,,,,,
Fe I,4222.21,2.45,-0.91,,,,,,77.1,,,4.94,48.9,,,4.51,,,,,
Fe I,4227.43,3.33,0.27,,,,,,75.3,,,4.73,56.1,,,4.44,,45.4,,,4.43
Fe I,4233.60,2.48,-0.58,,69.0,,,4.64,82.8,,,4.76,63.7,,,4.47,,62.0,,,4.68
Fe I,4238.81,3.40,-0.23,,,,,,39.8,,,4.67,,,,,,,,,
Fe I,4250.12,2.47,-0.38,,61.2,,,4.27,87.1,,,4.64,67.0,,,4.32,,,,,
Fe I,4250.79,1.56,-0.71,,96.6,,,4.38,125.8,,,4.83,116.2,,,4.75,,92.6,,,4.59
Fe I,4260.47,2.40,0.08,,100.5,,,4.56,114.0,,,4.67,92.9,,,4.31,,85.8,,,4.45
Fe I,4271.15,2.45,-0.34,,91.5,,,4.83,,,,,94.9,,,4.83,,75.3,,,4.69
Fe I,4271.76,1.49,-0.17,,132.7,,,4.58,,,,,,,,,,118.9,,,4.55
Fe I,4282.40,2.18,-0.78,,61.2,,,4.36,85.4,,,4.69,83.6,,,4.74,,,,,
Fe I,4325.76,1.61,0.01,,,,,,,,,,129.6,,,4.35,,131.2,,,4.68
Fe I,4337.05,1.56,-1.70,,64.9,,,4.65,86.0,,,4.89,68.1,,,4.63,,,,,
Fe I,4352.73,2.22,-1.29,,61.0,,,4.90,68.7,,,4.89,50.3,,,4.65,,,,,
Fe I,4375.93,0.00,-3.00,,81.0,,,4.51,112.0,,,4.95,85.7,,,4.49,,,,,
Fe I,4383.55,1.48,0.20,,176.7,,,4.77,,,,,,,,,,138.7,,,4.45
Fe I,4404.75,1.56,-0.15,,128.5,,,4.52,,,,,128.1,,,4.40,,,,,
Fe I,4415.12,1.61,-0.62,,110.1,,,4.64,130.3,,,4.84,120.0,,,4.75,,99.8,,,4.69
Fe I,4427.31,0.05,-2.92,,91.6,,,4.72,113.6,,,4.96,,,,,,,,,
Fe I,4430.61,2.22,-1.66,,,,,,35.9,,,4.68,,,,,,,,,
Fe I,4442.34,2.20,-1.23,,69.3,,,4.97,69.7,,,4.81,59.9,,,4.72,,,,,
Fe I,4443.19,2.86,-1.04,,,,,,38.3,,,4.83,,,,,,,,,
Fe I,4447.72,2.22,-1.34,,,,,,62.1,,,4.80,36.2,,,4.44,,,,,
Fe I,4459.12,2.18,-1.28,,68.0,,,4.97,66.4,,,4.78,53.9,,,4.64,,,,,
Fe I,4461.65,0.09,-3.19,,,,,,107.4,,,5.11,79.7,,,4.64,,70.5,,,4.84
Fe I,4466.55,2.83,-0.60,,52.3,,,4.72,73.9,,,4.98,39.7,,,4.45,,,,,
Fe I,4476.02,2.85,-0.82,,51.8,,,4.96,56.3,,,4.90,,,,,,,,,
Fe I,4489.74,0.12,-3.90,,,,,,65.2,,,4.98,,,,,,,,,
Fe I,4494.56,2.20,-1.14,,,,,,83.0,,,4.97,,,,,,49.6,,,4.67
