ID,f_ID,RAh,RAm,RAs,DE-,DEd,DEm,DEs,gmag,g-i,Obs.Y,Obs.M,Obs.D,Texp,Slit,RVel,S/N45,S/N60
SMSS~J041957.56-493818.3,,4,19,57.56,-,49,38,18.3,13.795,1.098,2013,Jan,8,900,0.7,113.6,37,55
SMSS~J051008.62-372019.8,,5,10,8.62,-,37,20,19.8,13.271,0.71,2013,Jan,6,1200,1.0,372.8,82,111
SMSS~J055746.51-575057.4,,5,57,46.51,-,57,50,57.4,13.904,0.387,2013,Nov,17,900,0.7,-143.6,35,46
SMSS~J061725.30-600740.6,,6,17,25.3,-,60,7,40.6,14.003,0.541,2013,Nov,17,1353,0.7,-220.2,38,57
SMSS~J062609.83-590503.2,,6,26,9.83,-,59,5,3.2,14.179,0.475,2013,Nov,19,2169,0.7,-110.0,49,66
SMSS~J063447.15-622355.0,,6,34,47.15,-,62,23,55.0,13.306,0.884,2013,Nov,18,1951,0.7,-239.7,58,111
SMSS~J064349.43-653038.6,,6,43,49.43,-,65,30,38.6,13.383,0.7,2013,Nov,18,900,0.7,-220.9,52,78
SMSS~J065014.40-614328.0,,6,50,14.4,-,61,43,28.0,13.706,0.853,2013,Nov,18,900,0.7,-41.2,42,68
SMSS~J070257.95-600422.4,,7,2,57.95,-,60,4,22.4,14.032,0.599,2013,Nov,17,2100,0.7,-108.6,40,70
SMSS~J080050.54-724620.6,,8,0,50.54,-,72,46,20.6,13.864,0.894,2013,Jan,23,1800,1.0,-308.8,28,54
SMSS~J085924.06-120104.9,,8,59,24.06,-,12,1,4.9,13.92,0.741,2013,Jan,23,1800,1.0,-187.6,50,76
SMSS~J090247.43-122755.0,,9,2,47.43,-,12,27,55.0,13.849,0.538,2013,Jan,23,1800,1.0,-492.1,61,78
SMSS~J091210.40-064427.9,,9,12,10.4,-,6,44,27.9,16.074,0.745,2012,May,12,3600,0.7,63.9,35,53
SMSS~J093209.41-003435.8,,9,32,9.41,-,0,34,35.8,15.936,0.781,2012,May,12,1800,0.7,164.6,25,38
2MASS~J09380777-0600392,,9,38,7.77,-,6,0,39.2,,,2013,Jan,25,1800,0.7,-150.7,25,24
SMSS~J093829.27-070520.9,,9,38,29.27,-,7,5,20.9,15.967,0.712,2012,Feb,10,500,1.0,122.3,14,20
SMSS~J094029.05-060935.0,,9,40,29.05,-,6,9,35.0,16.107,0.831,2012,Feb,11,9000,0.7,283.9,55,67
SMSS~J094029.05-060935.0,,9,40,29.05,-,6,9,35.0,16.107,0.831,2012,May,12,1800,0.7,281.2,29,44
SMSS~J094755.04-102724.7,,9,47,55.04,-,10,27,24.7,14.03,0.791,2012,May,12,1800,0.7,99.1,53,82
SMSS~J095120.49-401431.3,,9,51,20.49,-,40,14,31.3,12.734,0.878,2013,May,28,600,1.0,-154.9,40,64
SMSS~J100251.13-000152.1,,10,2,51.13,-,0,1,52.1,15.619,0.907,2012,Feb,10,850,1.0,-70.6,13,21
2MASS~J10242264-2904203,,10,24,22.64,-,29,4,20.3,,,2012,Feb,10,200,1.0,246.9,21,34
2MASS~J10275895-3006391,,10,27,58.95,-,30,6,39.1,,,2012,Feb,9,250,0.7,334.0,9,16
2MASS~J10283035-2951115,,10,28,30.35,-,29,51,11.5,,,2012,Feb,9,50,1.0,314.1,8,15
2MASS~J10294248-0103238,,10,29,42.48,-,1,3,23.8,,,2012,Feb,10,1800,0.7,147.1,47,87
SMSS~J105320.99-435300.1,,10,53,20.99,-,43,53,0.1,13.317,0.786,2013,Jan,24,1800,1.0,-282.1,57,91
SMSS~J105438.86-435819.9,,10,54,38.86,-,43,58,19.9,13.74,0.799,2013,Jan,25,1800,0.7,-163.2,50,78
SMSS~J110850.60-080034.7,,11,8,50.6,-,8,0,34.7,16.286,0.544,2012,May,12,1800,0.7,120.3,24,32
SMSS~J121353.63-441911.2,,12,13,53.63,-,44,19,11.2,12.518,0.595,2013,May,30,600,0.7,-16.2,45,55
SMSS~J121716.48-442510.2,,12,17,16.48,-,44,25,10.2,13.694,0.818,2013,May,30,1800,0.7,-16.0,34,52
SMSS~J122455.61-151134.0,,12,24,55.61,-,15,11,34.0,16.658,0.716,2012,May,12,1800,0.7,336.3,21,29
SMSS~J123158.00-162317.6,,12,31,58.0,-,16,23,17.6,14.441,0.779,2012,May,15,240,0.7,148.6,15,32
SMSS~J123246.06-054559.1,,12,32,46.06,-,5,45,59.1,13.983,0.59,2013,May,29,1800,1.0,-343.6,38,55
SMSS~J125115.37-331448.1,,12,51,15.37,-,33,14,48.1,14.513,0.965,2012,May,15,320,0.7,13.8,16,36
SMSS~J125125.64-340343.4,,12,51,25.64,-,34,3,43.4,14.662,0.848,2012,May,15,360,0.7,109.6,16,35
SMSS~J125451.18-334440.3,,12,54,51.18,-,33,44,40.3,14.119,1.042,2012,May,15,220,0.7,134.7,14,33
SMSS~J125804.65-335045.1,,12,58,4.65,-,33,50,45.0,13.637,0.447,2013,May,29,1800,1.0,-206.5,44,61
SMSS~J130537.01-294438.3,,13,5,37.01,-,29,44,38.3,12.732,0.729,2013,May,29,1500,1.0,-217.9,49,78
SMSS~J133013.61-434632.4,,13,30,13.61,-,43,46,32.4,12.843,0.833,2013,May,29,800,1.0,-207.0,31,50
SMSS~J133532.32-210632.9,,13,35,32.32,-,21,6,32.9,13.264,0.554,2013,May,29,1500,1.0,183.1,35,60
SMSS~J133532.32-210632.9,,13,35,32.32,-,21,6,32.9,13.264,0.554,2013,Jun,1,1500,1.0,182.7,57,89
SMSS~J135217.78-151405.7,,13,52,17.78,-,15,14,5.7,15.093,0.711,2012,May,12,1800,0.7,39.7,44,50
SMSS~J135625.09-161538.7,,13,56,25.09,-,16,15,38.7,16.354,0.884,2012,May,12,2600,0.7,294.0,25,41
SMSS~J135819.95-150937.4,,13,58,19.95,-,15,9,37.4,16.003,0.79,2012,May,12,2700,0.7,92.9,32,48
SMSS~J141547.72-414034.0,,14,15,47.72,-,41,40,34.0,12.938,0.508,2013,May,29,1200,1.0,-410.9,41,66
SMSS~J143511.34-420326.5,,14,35,11.34,-,42,3,26.5,13.911,0.674,2013,May,29,2200,1.0,-76.1,30,55
SMSS~J143511.34-420326.5,,14,35,11.34,-,42,3,26.5,13.911,0.674,2013,Jun,1,1800,1.0,-76.0,22,40
SMSS~J151101.05-182103.0,,15,11,1.05,-,18,21,3.0,14.733,0.785,2012,May,15,420,0.7,-1.4,17,37
SMSS~J151450.18-182946.0,,15,14,50.18,-,18,29,46.0,14.748,0.924,2012,May,15,400,0.7,15.2,17,39
SMSS~J155430.57-263904.8,,15,54,30.57,-,26,39,4.8,13.338,0.767,2013,May,31,5400,0.7,-287.4,78,125
SMSS~J155628.74-165533.4,,15,56,28.74,-,16,55,33.4,13.236,0.65,2013,Jun,1,1800,1.0,-50.1,43,66
SMSS~J160447.75-293146.7,,16,4,47.75,-,29,31,46.7,13.367,0.792,2013,Jun,1,3600,1.0,76.0,49,81
SMSS~J164921.94-041943.9,,16,49,21.94,-,4,19,43.9,12.878,0.749,2013,May,31,600,0.7,199.5,30,49
SMSS~J165023.82-252948.7,,16,50,23.82,-,25,29,48.7,12.585,0.732,2013,May,31,600,0.7,-238.0,32,52
SMSS~J165219.76-253133.7,,16,52,19.76,-,25,31,33.7,13.623,0.769,2013,Jun,1,3600,1.0,-150.5,41,68
SMSS~J173823.36-145701.0,,17,38,23.36,-,14,57,1.0,12.8,0.879,2013,May,29,900,1.0,-26.9,44,75
SMSS~J174048.48-143635.6,,17,40,48.48,-,14,36,35.6,13.664,0.893,2013,May,29,1800,1.0,284.0,39,71
SMSS~J174916.38-455427.5,,17,49,16.38,-,45,54,27.5,13.75,0.778,2013,Jun,1,2682,1.0,-17.1,44,74
SMSS~J174922.26-455103.8,,17,49,22.26,-,45,51,3.8,12.589,0.692,2013,May,31,600,0.7,-105.8,35,54
SMSS~J175021.86-414627.2,,17,50,21.86,-,41,46,27.2,13.256,0.632,2013,May,31,1200,0.7,-163.0,33,52
SMSS~J175046.30-425506.9,,17,50,46.3,-,42,55,6.9,14.052,0.889,2013,May,31,5400,0.7,336.6,42,83
