Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,I,B,J,H,R,V,K,U,otype,rvz_nature,pmdec,rvz_qual,pmra,plx_value,sp_bibcode,sp_qual,sp_type
True,,srg421,09:36:00.01,+17:07:21.40,Gaia DR3 620763790933951488,144.00004588520918,17.122621864789444,0.0204,0.016,90,O,2020yCat.1350....0G,,,,,,,,,*,s,-1.9,D,-2.254,0.0019,,,
True,,srg422,09:57:30.02,+18:30:17.42,Gaia DR3 626434144197068160,149.37508809838914,18.504844356680834,0.0492,0.0403,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.681,,-2.036,,,,
True,,srg423,10:21:32.33,+21:46:38.75,LAMOST J102132.33+214638.7,155.38472627153166,21.777439205930833,0.0227,0.0217,90,O,2020yCat.1350....0G,,,,,,,,,*,s,-1.716,E,-2.032,0.0158,,,
True,,srg424,10:28:03.83,+20:16:15.92,LAMOST J102803.83+201615.9,157.01598546409417,20.271095278404722,0.0283,0.0252,90,O,2020yCat.1350....0G,,,,,,,,,*,s,-2.11,E,-2.57,,,,
True,,srg426,10:35:36.77,+20:33:51.44,Gaia DR3 3987367858589682432,158.90322438349835,20.564297179219167,0.0216,0.0208,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.879,,-2.396,0.0383,,,
True,,srg428,11:49:35.97,+06:15:31.86,SDSS J114935.96+061531.8,177.39986934762,6.258855134360001,0.0408,0.0311,90,O,2020yCat.1350....0G,,,,,,,,,RG*,,-1.289,B,-1.21,0.0581,2016ApJ...816...80J,E,KIII
True,,srg430,12:05:57.78,+11:26:28.07,LAMOST J120557.78+112628.0,181.4907720256354,11.441133647863333,0.0206,0.0163,90,O,2020yCat.1350....0G,,,,,,,,,*,s,-0.956,C,-1.643,0.0108,,,
True,,sgr431,12:36:03.09,+04:22:23.34,Gaia DR3 3707325064494295552,189.01287992076996,4.373156504872222,0.054,0.0412,90,O,2020yCat.1350....0G,,,,,,,,,*,,-0.713,,-1.241,,,,
True,,sgr434,12:48:19.63,+05:44:47.26,Gaia DR3 3708871630677912320,192.0817947362104,5.746458649697501,0.032,0.0191,90,O,2020yCat.1350....0G,,,,,,,,,*,,-0.747,,-1.329,0.0086,,,
True,,srg438,13:17:16.33,+12:51:15.12,Gaia DR3 3742595885684658560,199.31803793405416,12.854205790306388,0.0305,0.0247,90,O,2020yCat.1350....0G,,,,,,,,,*,,-0.96,,-0.917,0.0539,,,
True,,srg441,13:38:16.53,+10:54:19.80,LAMOST J133816.52+105419.7,204.5688694779133,10.905498986960277,0.0302,0.0222,90,O,2020yCat.1350....0G,,,,,,,,,*,s,-0.667,D,-1.346,,,,
True,,srg442,13:39:13.61,+04:20:10.79,Gaia DR3 3713742742066109568,204.80672739748002,4.336332062979445,0.0242,0.022,90,O,2020yCat.1350....0G,,,,,,,,,*,,-1.002,,-1.634,,,,
