Name,[NaI/Fe],e_[NaI/Fe],o_[NaI/Fe],[MgI/Fe],e_[MgI/Fe],o_[MgI/Fe],[SiI/Fe],e_[SiI/Fe],o_[SiI/Fe],[CaI/Fe],e_[CaI/Fe],o_[CaI/Fe],[TiI/Fe],e_[TiI/Fe],o_[TiI/Fe],[TiII/Fe],e_[TiII/Fe],o_[TiII/Fe],[CrI/Fe],e_[CrI/Fe],o_[CrI/Fe],[FeI/H],e_[FeI/H],o_[FeI/H],[FeII/H],e_[FeII/H],o_[FeII/H],[NiI/Fe],e_[NiI/Fe],o_[NiI/Fe],[YII/Fe],e_[YII/Fe],o_[YII/Fe],[BaII/Fe],e_[BaII/Fe],o_[BaII/Fe],[LaII/Fe],e_[LaII/Fe],o_[LaII/Fe],[NdII/Fe],e_[NdII/Fe],o_[NdII/Fe],[EuII/Fe],e_[EuII/Fe],o_[EuII/Fe]
BL185,-0.43,0.16,2,-0.03,0.13,3,0.03,0.12,4,-0.09,0.08,8,-0.02,0.08,10,0.06,0.12,4,0.10,0.23,1,-0.77,0.07,39,-0.78,0.12,4,-0.19,0.08,16,-0.07,0.23,1,0.60,0.16,2,0.79,0.23,1,0.46,0.16,2,0.61,0.23,1
BL190,,,0,-0.36,0.13,2,-0.22,0.13,2,-0.47,0.06,8,-0.40,0.06,9,0.11,0.12,3,-0.47,0.18,1,-0.79,0.05,43,-0.60,0.10,4,-0.31,0.07,11,-0.50,0.23,1,-0.05,0.13,2,-0.14,0.18,1,0.27,0.22,2,0.54,0.18,1
BL195,-0.60,0.13,2,-0.09,0.13,2,-0.01,0.13,3,-0.22,0.07,7,-0.16,0.06,8,0.24,0.13,4,-0.22,0.18,1,-0.98,0.06,48,-0.73,0.08,4,-0.21,0.06,8,,,0,0.07,0.16,2,,,0,0.04,0.11,3,0.54,0.18,1
BL196,-0.92,0.17,1,-0.18,0.17,1,0.01,0.17,1,-0.31,0.06,9,-0.26,0.06,9,-0.06,0.12,5,-0.17,0.17,1,-1.04,0.06,43,-0.85,0.09,5,-0.28,0.06,11,-0.10,0.17,1,0.15,0.12,2,0.39,0.17,1,0.27,0.10,3,0.60,0.17,1
BL197,-0.70,0.17,2,0.02,0.14,3,-0.03,0.17,2,-0.39,0.09,7,-0.29,0.09,7,0.32,0.23,3,-0.38,0.24,1,-0.89,0.06,39,-0.79,0.13,2,-0.13,0.07,13,0.13,0.24,1,0.50,0.17,2,0.34,0.24,1,0.24,0.17,2,0.76,0.24,1
BL203,-0.55,0.18,2,-0.08,0.15,3,-0.04,0.20,3,-0.20,0.09,8,-0.18,0.09,9,0.23,0.23,2,-0.26,0.26,1,-0.84,0.07,43,-0.55,0.10,3,-0.21,0.08,14,-0.27,0.26,1,0.34,0.18,2,0.35,0.26,1,0.31,0.19,2,0.70,0.26,1
BL205,-0.46,0.13,2,-0.08,0.13,2,-0.01,0.11,5,-0.20,0.11,7,-0.19,0.09,9,0.18,0.10,4,-0.20,0.19,1,-0.71,0.06,43,-0.65,0.07,5,-0.22,0.06,14,-0.12,0.19,1,0.49,0.13,2,0.46,0.19,1,0.43,0.21,2,0.46,0.19,1
BL208,-0.53,0.16,2,-0.07,0.13,3,-0.11,0.12,4,-0.06,0.09,9,-0.09,0.08,8,0.02,0.21,2,-0.34,0.22,1,-0.68,0.06,43,-0.74,0.06,3,-0.29,0.06,16,-0.53,0.22,1,0.53,0.16,2,0.60,0.22,1,0.38,0.13,3,0.37,0.22,1
BL210,-0.60,0.16,2,0.02,0.16,3,-0.20,0.16,3,-0.33,0.08,8,-0.18,0.07,9,0.15,0.13,3,-0.34,0.22,1,-0.76,0.07,43,-0.35,0.20,5,-0.12,0.07,13,-0.08,0.22,1,0.54,0.16,2,0.50,0.22,1,0.50,0.13,3,0.67,0.22,1
BL211,-0.65,0.16,2,-0.20,0.13,3,0.35,0.23,4,-0.20,0.07,9,-0.04,0.08,8,0.09,0.14,3,0.01,0.22,1,-0.62,0.07,43,-0.92,0.15,4,-0.19,0.07,16,0.02,0.22,1,0.57,0.16,2,0.49,0.22,1,0.28,0.13,3,0.59,0.22,1
