Found,DEC_input,RA_input,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,-34:33:04.5,02:38:53.62,BL132,GB07 Fnx20,02 38 53.6508,-34 33 04.826,14,14,0.0479,0.0639,90,A,O,2020yCat.1350....0G,,,18.457,,16.71,15.608,14.785,14.582,RGB*,,02 38 53.6508,-34 33 04.826,0.371,-0.187,,38.532,1
True,-34:36:48.7,02:39:01.55,BL135,GB07 Fnx30,02 39 01.5753,-34 36 49.014,14,14,0.0571,0.0738,90,A,O,2020yCat.1350....0G,,,18.529,,16.99,15.826,15.157,15.047,RGB*,,02 39 01.5753,-34 36 49.014,0.245,-0.34,0.1538,45.4652,1
True,-34:37:00.2,02:39:16.20,BL138,[LHT2010] BL138,02 39 16.2349,-34 37 00.605,14,14,0.0515,0.0651,90,A,O,2020yCat.1350....0G,,,,,,15.909,14.888,14.757,Star,,02 39 16.2349,-34 37 00.605,0.334,-0.39,0.1713,57.1311,1
True,-34:30:44.7,02:39:11.56,BL140,GB07 Fnx15,02 39 11.5950,-34 30 45.025,14,14,0.054,0.0672,90,A,O,2020yCat.1350....0G,,,18.496,,16.9,15.893,15.047,14.813,RGB*,,02 39 11.5950,-34 30 45.025,0.257,-0.246,,46.78,1
True,-34:28:34.4,02:39:10.99,BL141,GB07 Fnx09,02 39 11.0174,-34 28 34.794,14,14,0.0564,0.0726,90,A,O,2020yCat.1350....0G,,,18.527,,17.07,16.062,15.445,15.007,RGB*,,02 39 11.0174,-34 28 34.794,0.431,-0.178,,76.47,1
True,-34:28:58.4,02:38:41.76,BL146,[LHT2010] BL146,02 38 41.7927,-34 28 58.602,14,14,0.0582,0.0733,90,A,O,2020yCat.1350....0G,,,,,,16.261,15.251,,Star,,02 38 41.7927,-34 28 58.602,0.286,-0.249,,50.01,1
True,-34:30:51.8,02:38:44.02,BL147,[LHT2010] BL147,02 38 44.0541,-34 30 52.046,14,14,0.0569,0.0716,90,A,O,2020yCat.1350....0G,,,,,,16.173,15.735,,ChemPec*,,02 38 44.0541,-34 30 52.046,0.353,-0.413,,52.39,1
True,-34:39:08.6,02:39:11.05,BL148,[WMO2006] F01-16,02 39 11.0832,-34 39 09.089,14,14,0.0503,0.065,90,A,O,2020yCat.1350....0G,,,18.36,,16.74,15.778,15.002,14.579,Star,,02 39 11.0832,-34 39 09.089,0.481,-0.405,0.0322,65.48,1
True,-34:35:39.8,02:38:57.19,BL149,GB07 Fnx28,02 38 57.2199,-34 35 40.175,14,14,0.0561,0.0749,90,A,O,2020yCat.1350....0G,,,18.577,,,15.974,15.302,15.129,RGB*,,02 38 57.2199,-34 35 40.175,0.33,-0.411,0.0432,50.7,1
True,-34:28:36.1,02:39:13.94,BL150,GB07 Fnx10,02 39 13.9746,-34 28 36.602,14,14,0.0582,0.0747,90,A,O,2020yCat.1350....0G,,20.039,18.55,17.708,16.99,16.028,15.24,14.854,RGB*,,02 39 13.9746,-34 28 36.602,0.245,-0.183,,67.36,1
True,-34:30:30.0,02:39:00.29,BL151,GB07 Fnx13,02 39 00.3186,-34 30 30.293,14,14,0.0597,0.0759,90,A,O,2020yCat.1350....0G,,,18.566,,17.01,15.961,14.949,15.058,RGB*,,02 39 00.3186,-34 30 30.293,0.407,-0.472,,41.41,1
True,-34:35:25.0,02:38:40.44,BL155,[WMO2009] For-1089,02 38 40.4752,-34 35 25.265,14,14,0.0535,0.0688,90,A,O,2020yCat.1350....0G,,,18.51,,16.98,15.984,15.08,14.752,Star,,02 38 40.4752,-34 35 25.265,0.266,-0.256,,46.7087,1
True,-34:26:30.6,02:39:05.62,BL156,2MASS J02390563-3426310,02 39 05.6468,-34 26 31.070,14,14,0.0634,0.0819,90,A,O,2020yCat.1350....0G,,,18.57,,17.12,16.242,15.269,14.961,ChemPec*,,02 39 05.6468,-34 26 31.070,0.442,-0.299,0.1851,30.63,1
True,-34:35:45.7,02:39:06.84,BL158,[LHT2010] BL158,02 39 06.8643,-34 35 45.982,14,14,0.0573,0.0755,90,A,O,2020yCat.1350....0G,,,,,,16.052,15.248,15.157,Star,,02 39 06.8643,-34 35 45.982,0.437,-0.51,,41.26,1
True,-34:27:19.2,02:39:01.74,BL160,[WMO2009] For-1208,02 39 01.7737,-34 27 19.618,14,14,0.0577,0.0776,90,A,O,2020yCat.1350....0G,,,18.59,,17.07,16.019,15.1,15.036,Star,,02 39 01.7737,-34 27 19.618,0.115,-0.292,,53.5,1
True,-34:32:25.4,02:38:43.54,BL163,[LHT2010] BL163,02 38 43.5737,-34 32 25.631,14,14,0.058,0.0738,90,A,O,2020yCat.1350....0G,,,,,,15.918,15.323,15.037,Star,,02 38 43.5737,-34 32 25.631,0.448,-0.352,0.0394,41.29,1
True,-34:30:12.9,02:39:16.01,BL166,GB07 Fnx12,02 39 16.0444,-34 30 13.352,14,14,0.0565,0.0703,90,A,O,2020yCat.1350....0G,,,18.496,,16.96,16.21,15.116,15.096,RGB*,,02 39 16.0444,-34 30 13.352,0.361,-0.318,,57.3973,1
True,-34:27:29.8,02:39:14.78,BL168,[WMO2009] For-0391,02 39 14.8074,-34 27 30.365,14,14,0.0666,0.087,90,A,O,2020yCat.1350....0G,,,18.53,,17.02,16.234,15.199,15.067,Star,,02 39 14.8074,-34 27 30.365,0.046,0.281,,75.5,1
True,-34:30:46.5,02:39:15.48,BL171,[WMO2009] For-0387,02 39 15.5049,-34 30 46.890,14,14,0.0608,0.0749,90,A,O,2020yCat.1350....0G,,,18.61,,17.06,16.026,15.347,15.052,Star,,02 39 15.5049,-34 30 46.890,0.363,-0.535,,59.6,1
True,-34:34:42.3,02:39:14.36,BL173,GB07 Fnx26,02 39 14.3827,-34 34 42.637,14,14,0.0586,0.0809,90,A,O,2020yCat.1350....0G,,,18.757,,17.11,15.915,15.183,15.336,RGB*,,02 39 14.3827,-34 34 42.637,0.294,-0.515,0.033,44.0916,1
True,-34:33:58.4,02:39:33.38,BL180,2MASS J02393340-3433584,02 39 33.4102,-34 33 58.488,14,14,0.0498,0.0678,90,A,O,2020yCat.1350....0G,,,18.15,,16.76,15.802,15.119,14.766,Star,,02 39 33.4102,-34 33 58.488,0.328,-0.49,0.0647,72.9286,1
True,-34:37:48.5,02:39:27.67,BL185,GB07 Fnx33,02 39 27.6904,-34 37 48.791,14,14,0.0473,0.0619,90,A,O,2020yCat.1350....0G,,19.829,18.347,17.448,,15.665,14.878,14.673,RGB*,,02 39 27.6904,-34 37 48.791,0.383,-0.474,0.0442,55.9009,1
True,-34:30:56.8,02:39:17.80,BL190,GB07 Fnx17,02 39 17.8282,-34 30 57.039,14,14,0.0626,0.0805,90,A,O,2020yCat.1350....0G,,,18.702,,16.98,15.755,15.185,14.749,RGB*,,02 39 17.8282,-34 30 57.039,0.36,-0.321,0.0962,57.31,1
True,-34:31:57.0,02:39:20.21,BL195,GB07 Fnx18,02 39 20.2378,-34 31 57.280,14,14,0.0544,0.072,90,A,O,2020yCat.1350....0G,,,18.533,,16.99,15.952,15.553,15.407,RGB*,,02 39 20.2378,-34 31 57.280,0.488,-0.398,,39.03,1
True,-34:33:33.2,02:39:34.07,BL196,2MASS J02393411-3433333,02 39 34.1028,-34 33 33.267,14,14,0.0508,0.0691,90,A,O,2020yCat.1350....0G,,,18.464,,,15.852,15.178,14.846,RGB*,,02 39 34.1028,-34 33 33.267,0.284,-0.301,,79.09,1
True,-34:26:35.5,02:39:29.33,BL197,2MASS J02392937-3426359,02 39 29.3612,-34 26 35.909,14,14,0.0493,0.0652,90,A,O,2020yCat.1350....0G,,20.023,18.417,17.513,16.76,15.607,14.892,14.61,RGB*,,02 39 29.3612,-34 26 35.909,0.344,-0.255,,47.569,1
True,-34:26:47.0,02:39:50.64,BL203,[WMO2009] For-0952,02 39 50.6642,-34 26 47.444,14,14,0.0584,0.0813,90,A,O,2020yCat.1350....0G,,20.088,18.39,17.658,16.91,15.92,15.127,14.924,Star,,02 39 50.6642,-34 26 47.444,0.283,-0.234,,56.1301,1
True,-34:32:29.9,02:39:16.23,BL204,[LHT2010] BL204,02 39 16.2620,-34 32 30.101,14,14,0.0649,0.0859,90,A,O,2020yCat.1350....0G,,,18.65,,17.17,16.217,15.311,15.505,Star,,02 39 16.2620,-34 32 30.101,0.374,-0.434,,59.3,1
True,-34:37:06.2,02:39:38.06,BL205,GB07 Fnx32,02 39 38.0933,-34 37 06.310,14,14,0.0546,0.0742,90,A,O,2020yCat.1350....0G,,,18.494,,17.07,16.443,15.674,15.309,RGB*,,02 39 38.0933,-34 37 06.310,0.401,-0.415,0.0373,59.91,1
True,-34:32:06.2,02:39:32.94,BL208,[WMO2009] For-1120,02 39 32.9670,-34 32 06.231,14,14,0.0564,0.0761,90,A,O,2020yCat.1350....0G,,19.898,18.42,17.651,17.0,16.152,15.16,14.942,Star,,02 39 32.9670,-34 32 06.231,0.351,-0.407,0.0921,54.35,1
True,-34:27:05.4,02:39:47.65,BL210,[KGS2010] For   55262,02 39 47.6773,-34 27 05.788,14,14,0.0536,0.0741,90,A,O,2020yCat.1350....0G,,19.932,18.38,17.623,16.91,15.971,15.198,14.979,Star,,02 39 47.6773,-34 27 05.788,0.344,-0.239,,51.51,1
True,-34:29:58.6,02:39:51.18,BL211,[MOW91]  16,02 39 51.2172,-34 29 58.867,14,14,0.0523,0.0758,90,A,O,2020yCat.1350....0G,,20.2,18.57,,16.74,15.795,14.775,14.694,Star,,02 39 51.2172,-34 29 58.867,0.373,-0.406,0.1238,49.6178,1
True,-34:35:59.3,02:39:50.18,BL213,2MASS J02395022-3435595,02 39 50.2180,-34 35 59.422,14,14,0.0575,0.0766,90,A,O,2020yCat.1350....0G,,19.914,18.35,17.614,16.9,15.806,15.107,,Star,,02 39 50.2180,-34 35 59.422,0.125,0.552,,71.9913,1
True,-34:30:35.9,02:39:41.92,BL216,GB07 Fnx14,02 39 41.9495,-34 30 36.019,14,14,0.0562,0.074,90,A,O,2020yCat.1350....0G,,,18.488,,16.84,15.656,14.893,14.746,RGB*,,02 39 41.9495,-34 30 36.019,0.476,-0.513,0.0886,66.92,1
True,-34:28:36.5,02:39:50.77,BL218,WEL  60,02 39 50.7986,-34 28 36.829,14,14,0.0515,0.0717,90,A,O,2020yCat.1350....0G,,,18.53,,,15.718,14.821,14.661,Star,K5,02 39 50.7986,-34 28 36.829,0.414,-0.325,,63.33,1
True,-34:29:19.9,02:39:31.85,BL221,2MASS J02393189-3429201,02 39 31.8813,-34 29 20.159,14,14,0.0557,0.0725,90,A,O,2020yCat.1350....0G,,19.988,18.509,17.637,16.94,15.924,15.02,15.105,RGB*,,02 39 31.8813,-34 29 20.159,0.5,-0.482,0.002,53.5745,1
True,-34:31:57.8,02:39:45.25,BL227,[LHT2010] BL227,02 39 45.2751,-34 31 57.867,14,14,0.0583,0.0788,90,A,O,2020yCat.1350....0G,,,,,,15.941,14.989,14.667,AGB*_Candidate,,02 39 45.2751,-34 31 57.867,0.458,-0.373,,52.859,1
True,-34:29:56.4,02:39:53.84,BL228,[MOW91]   8,02 39 53.8678,-34 29 56.558,14,14,0.0521,0.073,90,A,O,2020yCat.1350....0G,,20.47,18.29,,16.7,15.706,15.0,14.753,Star,,02 39 53.8678,-34 29 56.558,0.321,-0.351,,55.0,1
True,-34:34:38.1,02:39:24.80,BL229,GB07 Fnx25,02 39 24.8304,-34 34 38.274,14,14,0.0543,0.0736,90,A,O,2020yCat.1350....0G,,,18.577,,17.01,15.944,15.122,14.913,RGB*,,02 39 24.8304,-34 34 38.274,0.515,-0.429,,63.09,1
True,-34:37:50.1,02:39:53.58,BL233,[LHT2010] BL233,02 39 53.6139,-34 37 50.154,14,14,0.0544,0.075,90,A,O,2020yCat.1350....0G,,,,,,16.085,15.263,15.202,Star,,02 39 53.6139,-34 37 50.154,0.495,-0.5,,58.91,1
True,-34:31:49.8,02:39:47.09,BL239,[MOW91]  25,02 39 47.1107,-34 31 49.878,14,14,0.0575,0.0782,90,A,O,2020yCat.1350....0G,,20.269,18.59,17.746,,15.924,15.204,15.345,Star,,02 39 47.1107,-34 31 49.878,0.294,-0.223,0.1431,47.47,1
True,-34:34:01.2,02:39:28.03,BL242,GB07 Fnx23,02 39 28.0529,-34 34 01.280,14,14,0.0557,0.0733,90,A,O,2020yCat.1350....0G,,19.948,18.58,17.693,17.02,15.985,15.243,15.145,RGB*,,02 39 28.0529,-34 34 01.280,0.303,-0.487,,39.48,1
True,-34:40:18.4,02:39:43.07,BL247,GB07 Fnx36,02 39 43.0954,-34 40 18.653,14,14,0.0568,0.076,90,A,O,2020yCat.1350....0G,,,18.641,,17.05,15.99,15.062,15.088,RGB*,,02 39 43.0954,-34 40 18.653,0.4,-0.51,0.1054,40.4,1
True,-34:40:11.1,02:39:45.03,BL250,2MASS J02394507-3440114,02 39 45.0654,-34 40 11.337,14,14,0.0552,0.0731,90,A,O,2020yCat.1350....0G,,20.453,18.635,,,15.736,14.82,14.908,RGB*,,02 39 45.0654,-34 40 11.337,0.428,-0.526,0.0216,41.6974,1
True,-34:33:09.6,02:39:34.08,BL253,GB07 Fnx21,02 39 34.1141,-34 33 09.701,14,14,0.0576,0.078,90,A,O,2020yCat.1350....0G,,,18.641,,17.01,16.127,15.193,15.095,RGB*,,02 39 34.1141,-34 33 09.701,0.34,-0.35,0.2015,67.48,1
