Name, Elem,D_Teff,D_logg,D_Vmic,[M/H],e_tot,e_tot_Teff_logg_Vmic
Car-2,[FeI/H],-0.11,+0.02,+0.11,+0.02,-0.06,-0.05
Car-2,[FeII/H],+0.10,-0.07,+0.05,-0.03,-0.08,+0.03
Car-2,[OI/FeI],+0.11,-0.11,-0.11,-0.07,-0.01,-0.05
Car-2,[NaI/FeI],+0.02,+0.01,-0.10,+0.00,-0.02,+0.00
Car-2,[MgI/FeI],+0.03,+0.03,-0.03,+0.01,+0.01,+0.05
Car-2,[SiI/FeI],+0.11,-0.02,-0.11,-0.02,-0.09,+0.04
Car-2,[CaI/FeI],-0.03,+0.01,-0.03,+0.01,+0.00,-0.01
Car-2,[ScII/FeI],+0.13,-0.09,-0.10,-0.06,-0.02,-0.02
Car-2,[TiI/FeI],-0.10,+0.01,-0.04,+0.01,-0.01,-0.08
Car-2,[TiII/FeI],+0.13,-0.06,+0.01,-0.04,-0.01,+0.08
Car-2,[CrI/FeI],-0.10,+0.03,+0.04,+0.01,+0.01,-0.02
Car-2,[MnI/FeI],-0.06,+0.01,-0.06,+0.01,+0.00,-0.07
Car-2,[NiI/FeI],+0.02,-0.01,-0.04,+0.02,-0.02,-0.01
Car-2,[CuI/FeI],+0.05,+0.00,-0.05,+0.02,-0.01,-0.04
Car-2,[ZnI/FeI],+0.18,-0.02,-0.04,-0.02,-0.02,+0.17
Car-2,[YII/FeI],+0.12,-0.05,-0.01,-0.04,+0.03,+0.06
Car-2,[BaII/FeI],+0.09,-0.09,+0.08,-0.06,+0.00,+0.04
Car-2,[NdII/FeI],+0.10,-0.07,-0.05,-0.04,+0.00,+0.00
Car-2,[LaII/FeI],+0.10,-0.09,-0.10,-0.04,-0.04,-0.05
Car-2,[EuII/FeI],+0.12,-0.10,-0.10,-0.06,-0.07,-0.03
