JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
2701,1.0,SHE03,Shetrone+2003,Car10,V*_ST_Cas,,R1,,MP,,DW,Carina,RG,00:17:32.09,+50:17:14.28,4.3837,50.2873,-43.0,2006AstL...32..759G,,11.28,11.6,,,5.01,4.04,3.69,4375.0,0.4,-1.94,2.0,,,,,6.97,,3.73,5.7,,5.99,,,,4.4,1.21,3.21,,3.54,3.03,5.58,2.82,4.23,,2.46,,,,,,,-0.01,,,,,,,,,,,0.44,-0.47,,,0.13,,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,Abohalima
1465,1.0,SHE03,Shetrone+2003,Car12,Case_520,,RS,,MP,,DW,Carina,RG,00:21:45.58,+59:14:54.96,5.4399,59.2486,,,,16.0,,10.9,,6.55,5.248,4.571,4300.0,0.6,-1.41,1.9,,,,,7.59,,4.66,6.41,5.09,6.36,,,,5.07,1.72,3.62,,4.25,3.66,6.11,3.58,4.78,,2.97,,,,,,,0.37,,,,,,,,,,,0.83,-0.08,,,0.23,,-0.86,,,,,,,,,,,,,,,,,,,,,,,,,,Abohalima
2696,1.0,SHE03,Shetrone+2003,Car2,V*_HO_And,,,,MP,,DW,Carina,RG,00:07:22.06,+43:55:03.36,1.8419,43.9176,,,,12.0,,,,5.781,4.91,4.58,4250.0,0.55,-1.6,2.1,,,,,7.67,,4.35,6.21,<4.87,6.13,,,,4.96,1.31,3.44,,4.19,3.46,5.92,,4.5,,3.04,,,,,,,0.19,,,,,,,,,,,0.64,-0.33,,,0.07,,-1.02,,,,,,,,,,,,,,,,,,,,,,,,,,Abohalima
1464,1.0,SHE03,Shetrone+2003,Car3,C*_3,,R1,,MP,,DW,Carina,RG,00:08:58.44,+62:42:56.88,2.2435,62.7158,,,,12.91,10.94,,,5.553,4.496,4.01,4250.0,0.2,-1.65,2.2,,,,,7.22,,4.1,5.66,<4.82,5.62,,,,4.61,0.74,3.21,,4.22,3.3,5.87,3.19,4.53,,2.65,,,,,,,0.1,,,,,,,,,,,0.68,-0.49,,,0.11,,-0.75,,,,,,,,,,,,,,,,,,,,,,,,,,Abohalima
2703,1.0,SHE03,Shetrone+2003,Car4,V*_UX_Cas,,,,MP,,DW,Carina,RG,00:13:23.28,+63:27:31.32,3.347,63.4587,-11.0,1953GCRV..C......0W,,13.13,9.94,,,5.322,3.923,3.41,4200.0,0.4,-1.59,2.1,,,,,7.46,,4.39,6.25,5.08,6.21,,,,4.91,1.22,3.41,,3.97,3.48,5.93,3.43,4.62,,2.91,,,,,,,0.27,,,,,,,,,,,0.56,-0.25,,,0.14,,-0.89,,,,,,,,,,,,,,,,,,,,,,,,,,Abohalima
15,1.0,SHE03,Shetrone+2003,Fnx12,[KGS2010]_For_1,,,,MP,,DW,Fornax,RG,02:40:10.03,-34:29:58.92,40.0418,-34.4997,52.47,2010A&A...523A..17L,,19.76,18.2,18.06,16.75,15.937,15.198,14.977,4150.0,0.0,-1.6,2.1,,,,,7.21,,4.22,6.07,,6.24,,,,4.99,1.39,3.24,,4.04,3.44,5.92,3.47,4.53,,2.76,,,,,,,0.07,,,,,,,,,,,0.48,-0.65,,,0,,-0.83,,,,,,,,,,,,,,,,,,,,,,,,,,Abohalima
217,1.0,SHE03,Shetrone+2003,Fnx21,2MASS_J02400441-3427115,,RS,,SUN,,DW,Fornax,RG,02:40:04.42,-34:27:11.52,40.0184,-34.4532,52.43,2010A&A...523A..17L,,19.946,18.37,17.414,,15.632,14.833,14.758,4000.0,0.5,-0.67,1.7,,,,,8.28,,5.68,7.11,5.76,6.96,,,,5.92,2.48,4.63,,4.94,4.38,6.85,4.28,5.56,,,,,,,,,2.2,,,,,,,,,,,2.39,1.79,,,1.91,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,Abohalima
216,1.0,SHE03,Shetrone+2003,Fnx25,2MASS_J02394711-3431499,,RS,,MP,,DW,Fornax,RG,02:39:47.11,-34:31:49.80,39.9463,-34.5305,47.47,2010A&A...523A..17L,,20.269,18.59,17.746,,15.924,15.204,15.345,4025.0,0.0,-1.21,2.0,,,,,7.79,,4.81,6.39,5.35,,,,,5.36,1.73,3.43,,4.79,3.78,6.31,3.75,4.96,,3.47,,,,,,,0.51,,,,,,,,,,,1.48,-0.08,,,0.52,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,Abohalima
1003,1.0,SHE03,Shetrone+2003,Leo2,ALW_Leo_I_2,,R1,,MP,,DW,Leo I,RG,10:08:19.97,+12:17:41.28,152.0832,12.2948,280.9,2008ApJ...675..201M,,21.69,19.08,,17.24,15.54,14.765,14.446,4200.0,0.5,-1.06,1.85,,,,,7.73,,4.91,6.33,5.13,6.49,,,,5.32,1.23,3.97,,,3.94,6.46,3.74,4.87,,,,,,,,,0.59,,,,,,,,,,,1.36,0.29,,,0.68,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,Abohalima
1005,1.0,SHE03,Shetrone+2003,Leo5,ALW_Leo_I_5,,R1,,MP,,DW,Leo I,RG,10:08:22.56,+12:18:25.92,152.094,12.3072,,,,21.4,19.22,,,15.687,14.946,14.509,4250.0,0.8,-1.52,2.2,,,,,7.84,,4.38,6.18,5.37,,,,,4.99,,3.89,,4.23,3.52,6.0,,4.7,,2.77,,,,,,,0.1,,,,,,,,,,,0.76,-0.08,,,0.26,,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,Abohalima
