Name,Species,lambda,chi,loggf,EW,logepsX
TucIII-J000549,Fe I,3765.54,3.240,0.480,78.63,4.638
TucIII-J000549,Fe I,3790.09,0.989,-1.740,106.00,4.988
TucIII-J000549,Fe I,3805.34,3.300,0.310,79.81,4.913
TucIII-J000549,Fe I,3807.54,2.221,-0.990,80.07,4.934
TucIII-J000549,Fe I,3876.04,1.010,-2.890,74.29,5.158
TucIII-J000549,Fe I,3917.18,0.989,-2.150,101.40,5.122
TucIII-J000549,Fe I,4067.98,3.209,-0.530,41.48,4.630
TucIII-J000549,Fe I,4139.93,0.989,-3.510,30.35,4.704
TucIII-J000549,Fe I,4147.67,1.484,-2.070,76.91,4.898
TucIII-J000549,Fe I,4153.90,3.397,-0.280,48.17,4.729
TucIII-J000549,Fe I,4154.50,2.830,-0.690,76.24,5.116
TucIII-J000549,Fe I,4156.80,2.830,-0.810,76.38,5.261
TucIII-J000549,Fe I,4157.78,3.420,-0.400,34.72,4.603
TucIII-J000549,Fe I,4158.79,3.428,-0.700,18.37,4.513
TucIII-J000549,Fe I,4172.75,0.957,-3.020,80.91,5.313
TucIII-J000549,Fe I,4174.91,0.914,-2.940,81.89,5.207
TucIII-J000549,Fe I,4175.64,2.850,-0.830,58.03,4.841
TucIII-J000549,Fe I,4187.04,2.450,-0.560,85.72,4.751
TucIII-J000549,Fe I,4187.80,2.420,-0.550,85.65,4.703
TucIII-J000549,Fe I,4191.43,2.470,-0.670,77.52,4.675
TucIII-J000549,Fe I,4195.33,3.330,-0.490,46.96,4.831
TucIII-J000549,Fe I,4199.10,3.050,0.160,81.99,4.703
TucIII-J000549,Fe I,4216.18,0.000,-3.360,101.30,5.037
TucIII-J000549,Fe I,4217.55,3.430,-0.480,38.54,4.767
TucIII-J000549,Fe I,4222.21,2.450,-0.970,70.36,4.767
TucIII-J000549,Fe I,4233.60,2.482,-0.600,75.75,4.566
TucIII-J000549,Fe I,4238.81,3.400,-0.230,45.86,4.627
TucIII-J000549,Fe I,4258.32,0.087,-4.360,64.63,5.139
TucIII-J000549,Fe I,4282.40,2.174,-0.780,89.25,4.776
TucIII-J000549,Fe I,4337.05,1.556,-1.700,80.65,4.664
TucIII-J000549,Fe I,4352.74,2.221,-1.290,89.12,5.316
TucIII-J000549,Fe I,4408.41,2.196,-1.770,64.49,5.086
TucIII-J000549,Fe I,4430.61,2.221,-1.730,58.81,4.951
TucIII-J000549,Fe I,4442.34,2.196,-1.230,83.59,4.981
TucIII-J000549,Fe I,4447.72,2.221,-1.340,77.32,4.971
TucIII-J000549,Fe I,4459.12,2.174,-1.330,97.84,5.383
TucIII-J000549,Fe I,4461.65,0.087,-3.190,108.30,5.069
TucIII-J000549,Fe I,4466.55,2.830,-0.600,81.41,5.116
TucIII-J000549,Fe I,4484.22,3.600,-0.640,19.82,4.677
TucIII-J000549,Fe I,4489.74,0.121,-3.900,71.34,4.827
TucIII-J000549,Fe I,4494.56,2.196,-1.140,87.43,4.969
TucIII-J000549,Fe I,4531.15,1.484,-2.100,80.47,4.917
TucIII-J000549,Fe I,4592.65,1.556,-2.460,66.79,5.028
TucIII-J000549,Fe I,4602.00,1.607,-3.130,26.60,4.945
TucIII-J000549,Fe I,4602.94,1.484,-2.210,77.24,4.932
TucIII-J000549,Fe I,4625.05,3.239,-1.270,13.67,4.672
TucIII-J000549,Fe I,4630.12,2.277,-2.590,19.77,5.040
TucIII-J000549,Fe I,4647.43,2.950,-1.350,32.68,4.913
TucIII-J000549,Fe I,4668.13,3.263,-1.080,25.32,4.848
TucIII-J000549,Fe I,4678.85,3.600,-0.680,23.45,4.801
TucIII-J000549,Fe I,4707.27,3.241,-0.960,24.49,4.679
TucIII-J000549,Fe I,4733.59,1.484,-2.990,39.30,4.909
TucIII-J000549,Fe I,4736.77,3.209,-0.670,52.69,4.928
TucIII-J000549,Fe I,4772.80,1.556,-2.900,26.78,4.642
TucIII-J000549,Fe I,4871.32,2.865,-0.340,72.53,4.578
TucIII-J000549,Fe I,4872.14,2.880,-0.570,66.01,4.686
TucIII-J000549,Fe I,4889.00,2.196,-2.550,16.96,4.801
TucIII-J000549,Fe I,4890.76,2.876,-0.380,83.19,4.868
TucIII-J000549,Fe I,4891.49,2.850,-0.110,94.28,4.820
TucIII-J000549,Fe I,4903.31,2.882,-0.890,51.56,4.716
TucIII-J000549,Fe I,4918.99,2.860,-0.340,78.10,4.690
TucIII-J000549,Fe I,4920.50,2.830,0.070,109.90,4.946
TucIII-J000549,Fe I,4924.77,2.277,-2.110,29.96,4.784
TucIII-J000549,Fe I,4938.81,2.880,-1.080,43.38,4.744
TucIII-J000549,Fe I,4939.69,0.858,-3.250,69.85,4.976
TucIII-J000549,Fe I,4946.39,3.368,-1.110,21.74,4.896
TucIII-J000549,Fe I,4966.09,3.329,-0.790,31.45,4.754
TucIII-J000549,Fe I,4994.13,0.914,-2.970,82.33,5.045
TucIII-J000549,Fe I,5041.07,0.957,-3.090,89.01,5.378
TucIII-J000549,Fe I,5041.76,1.484,-2.200,96.35,5.261
TucIII-J000549,Fe I,5049.82,2.277,-1.350,56.10,4.519
TucIII-J000549,Fe I,5051.64,0.914,-2.760,89.11,4.985
TucIII-J000549,Fe I,5068.77,2.940,-1.040,51.63,4.924
TucIII-J000549,Fe I,5074.75,4.220,-0.200,24.15,5.047
TucIII-J000549,Fe I,5083.34,0.957,-2.840,85.31,5.022
TucIII-J000549,Fe I,5098.70,2.174,-2.030,61.82,5.190
TucIII-J000549,Fe I,5110.41,0.000,-3.760,101.00,5.120
TucIII-J000549,Fe I,5123.72,1.010,-3.060,82.10,5.220
TucIII-J000549,Fe I,5127.36,0.914,-3.250,84.12,5.344
TucIII-J000549,Fe I,5131.47,2.221,-2.520,34.32,5.200
TucIII-J000549,Fe I,5133.69,4.175,0.360,33.53,4.643
TucIII-J000549,Fe I,5142.93,0.957,-3.070,68.56,4.861
TucIII-J000549,Fe I,5150.84,0.989,-3.040,65.33,4.806
TucIII-J000549,Fe I,5151.91,1.010,-3.320,60.86,5.021
TucIII-J000549,Fe I,5151.91,1.010,-3.320,57.75,4.962
TucIII-J000549,Fe I,5162.27,4.180,0.020,30.21,4.917
TucIII-J000549,Fe I,5166.28,0.000,-4.120,93.11,5.277
TucIII-J000549,Fe I,5171.60,1.484,-1.720,98.50,4.868
TucIII-J000549,Fe I,5191.45,3.040,-0.550,65.12,4.808
TucIII-J000549,Fe I,5192.34,3.000,-0.420,59.96,4.525
TucIII-J000549,Fe I,5194.94,1.556,-2.020,83.51,4.886
TucIII-J000549,Fe I,5198.71,2.221,-2.090,38.88,4.854
TucIII-J000549,Fe I,5202.34,2.174,-1.870,57.17,4.919
TucIII-J000549,Fe I,5215.18,3.263,-0.860,36.65,4.836
TucIII-J000549,Fe I,5216.27,1.607,-2.080,79.30,4.901
TucIII-J000549,Fe I,5217.39,3.209,-1.070,25.01,4.732
TucIII-J000549,Fe I,5225.53,0.110,-4.750,48.17,5.091
TucIII-J000549,Fe I,5229.85,3.283,-0.967,29.75,4.823
TucIII-J000549,Fe I,5232.94,2.940,-0.060,94.55,4.826
TucIII-J000549,Fe I,5254.96,0.110,-4.760,52.37,5.174
TucIII-J000549,Fe I,5263.31,3.263,-0.870,36.75,4.843
TucIII-J000549,Fe I,5266.56,3.000,-0.390,85.70,5.029
TucIII-J000549,Fe I,5273.16,3.289,-1.010,50.67,5.280
TucIII-J000549,Fe I,5281.79,3.040,-0.830,55.59,4.892
TucIII-J000549,Fe I,5283.62,3.239,-0.450,51.10,4.668
TucIII-J000549,Fe I,5302.30,3.281,-0.730,39.29,4.773
TucIII-J000549,Fe I,5322.04,2.277,-2.800,16.08,5.091
TucIII-J000549,Fe I,5324.18,3.211,-0.110,66.18,4.585
TucIII-J000549,Fe I,5332.90,1.556,-2.780,54.73,5.020
TucIII-J000549,Fe I,5339.93,3.263,-0.630,50.06,4.853
TucIII-J000549,Fe I,5341.02,1.607,-1.950,92.51,5.066
TucIII-J000549,Fe I,5353.37,4.103,-0.760,12.34,5.094
TucIII-J000549,Fe I,5364.87,4.450,0.230,29.92,5.009
TucIII-J000549,Fe I,5365.40,3.570,-1.020,14.08,4.790
TucIII-J000549,Fe I,5367.47,4.420,0.440,26.24,4.681
TucIII-J000549,Fe I,5369.96,4.370,0.540,30.90,4.627
TucIII-J000549,Fe I,5383.37,4.310,0.650,42.15,4.674
TucIII-J000549,Fe I,5393.17,3.241,-0.720,42.96,4.779
TucIII-J000549,Fe I,5410.91,4.470,0.400,27.38,4.805
TucIII-J000549,Fe I,5415.20,4.390,0.640,35.91,4.652
TucIII-J000549,Fe I,5424.07,4.320,0.520,40.81,4.786
TucIII-J000549,Fe I,5497.52,1.010,-2.830,86.77,5.043
TucIII-J000549,Fe I,5501.47,0.957,-3.050,72.52,4.881
TucIII-J000549,Fe I,5506.78,0.989,-2.790,94.26,5.147
TucIII-J000549,Fe I,5554.90,4.549,-0.270,11.35,5.078
TucIII-J000549,Fe I,5569.62,3.414,-0.520,45.52,4.824
TucIII-J000549,Fe I,5572.84,3.394,-0.280,56.82,4.772
TucIII-J000549,Fe I,5576.09,3.430,-1.000,24.37,4.891
TucIII-J000549,Fe I,5586.76,3.366,-0.110,59.73,4.624
TucIII-J000549,Fe I,5615.64,3.332,0.040,66.00,4.553
TucIII-J000549,Fe I,5624.54,3.414,-0.760,30.60,4.769
TucIII-J000549,Fe I,5701.54,2.560,-2.220,24.31,5.055
TucIII-J000549,Fe I,5709.38,3.369,-1.010,46.82,5.276
TucIII-J000549,Fe I,6008.56,3.884,-0.980,14.30,5.102
TucIII-J000549,Fe I,6065.48,2.610,-1.530,45.36,4.832
TucIII-J000549,Fe I,6137.69,2.590,-1.400,60.56,4.948
TucIII-J000549,Fe I,6180.20,2.728,-2.649,7.47,5.059
TucIII-J000549,Fe I,6213.43,2.221,-2.480,30.09,5.005
TucIII-J000549,Fe I,6230.72,2.560,-1.280,67.00,4.909
TucIII-J000549,Fe I,6246.32,3.600,-0.770,22.62,4.789
TucIII-J000549,Fe I,6252.56,2.400,-1.690,57.81,4.947
TucIII-J000549,Fe I,6265.13,2.174,-2.540,15.80,4.640
TucIII-J000549,Fe I,6335.33,2.196,-2.180,41.66,4.889
TucIII-J000549,Fe I,6344.15,2.430,-2.920,6.20,4.874
TucIII-J000549,Fe I,6355.03,2.840,-2.290,10.37,4.983
TucIII-J000549,Fe I,6411.65,3.651,-0.590,29.14,4.814
TucIII-J000549,Fe I,6421.35,2.277,-2.010,49.47,4.955
TucIII-J000549,Fe I,6430.85,2.174,-1.950,49.09,4.761
TucIII-J000549,Fe I,6494.98,2.400,-1.270,86.47,5.074
TucIII-J000549,Fe I,6546.24,2.759,-1.536,34.50,4.786
