
Name,Species,D_Teff,D_logg,D_Vmic,D_Fe/H,e_tot
TucIII-J00549,C-H,0.16,0.02,0.1,0.17,0.25
TucIII-J00549,Na I,0.24,0.12,0.1,0.17,0.33
TucIII-J00549,Mg I,0.14,0.05,0.05,0.17,0.23
TucIII-J00549,Al I,0.27,0.17,0.04,0.17,0.36
TucIII-J00549,Si I,0.23,0.03,0.12,0.17,0.31
TucIII-J00549,K I,0.16,0.03,0.07,0.17,0.25
TucIII-J00549,Ca I,0.12,0.03,0.07,0.17,0.22
TucIII-J00549,Sc I,0.07,0.08,0.18,0.17,0.27
TucIII-J00549,Ti I,0.22,0.04,0.04,0.17,0.28
TucIII-J00549,Ti II,0.06,0.08,0.13,0.17,0.24
TucIII-J00549,V I,0.21,0,0.02,0.17,0.27
TucIII-J00549,V II,0.07,0.1,0,0.17,0.21
TucIII-J00549,Cr I,0.2,0.04,0.08,0.17,0.28
TucIII-J00549,Cr II,0.03,0.1,0.02,0.17,0.2
TucIII-J00549,Mn I,0.15,0.02,0.05,0.17,0.23
TucIII-J00549,Co I,0.2,0.1,0.05,0.17,0.29
TucIII-J00549,Ni I,0.17,0.03,0.07,0.17,0.25
TucIII-J00549,Zn I,0.06,0.04,0,0.17,0.18
TucIII-J00549,Sr II,0.15,0.05,0.2,0.17,0.31
TucIII-J00549,Y  II,0.06,0.1,0.02,0.17,0.21
TucIII-J00549,Zr II,0.2,0,0.05,0.17,0.26
TucIII-J00549,Ba II,0.09,0.07,0.01,0.17,0.2
TucIII-J00549,La II,0.12,0.1,0,0.17,0.23
TucIII-J00549,Ce II,0.1,0.1,0.01,0.17,0.22
TucIII-J00549,Pr II,0.09,0.05,0.06,0.17,0.21
TucIII-J00549,Nd II,0.11,0.09,0.02,0.17,0.22
TucIII-J00549,Eu II,0.07,0.08,0.07,0.17,0.21
TucIII-J00549,Dy II,0.13,0.09,0,0.17,0.23
TucIII-J00549,Er II,0.11,0.13,0.07,0.17,0.25


