Name,Species,N,l_logepsX,logepsX,e_logepsX,l_[X/Fe],[X/Fe]
TucIII-J235550,Zr II,2,,-0.15,0.27,,-0.04
TucIII-J235550,Ba II,4,,-0.56,0.24,,-0.05
TucIII-J235550,La II,2,,-1.46,0.23,,0.13
TucIII-J235550,Ce II,,<,-0.81,,<,0.30
TucIII-J235550,Pr II,,<,-1.27,,<,0.70
TucIII-J235550,Nd II,4,,-0.88,0.33,,0.39
TucIII-J235550,Sm II,,<,-1.03,,<,0.70
TucIII-J235550,Eu II,3,,-1.61,0.22,,0.56
TucIII-J235550,Gd II,,<,-0.62,,<,1.00
TucIII-J235550,Dy II,,<,-0.59,,<,1.00
TucIII-J235550,Er II,,<,-1.17,,<,0.60
TucIII-J235738,C-H,,,5.80,,,-0.05
TucIII-J235738,C-N,,<,5.75,,<,0.5
TucIII-J235738,Na I,2,,4.19,0.33,,0.53
TucIII-J235738,Mg I,5,,5.66,0.31,,0.64
TucIII-J235738,Al I,1,,3.52,,,-0.35
TucIII-J235738,Si I,1,,4.93,,,0.00
TucIII-J235738,K I,2,,3.01,0.31,,0.56
TucIII-J235738,Ca I,13,,4.22,0.28,,0.46
TucIII-J235738,Sc II,6,,0.62,0.30,,0.05
TucIII-J235738,Ti I,8,,2.65,0.32,,0.28
TucIII-J235738,Ti II,26,,2.78,0.32,,0.41
TucIII-J235738,V I,1,,1.22,,,-0.13
TucIII-J235738,V II,1,,1.35,,,0.00
TucIII-J235738,Cr I,6,,2.89,0.34,,-0.17
TucIII-J235738,Cr II,1,,3.30,,,0.24
TucIII-J235738,Mn I,4,,2.46,0.23,,-0.39
TucIII-J235738,Fe I,103,,4.92,0.20,,-2.58
TucIII-J235738,Fe II,15,,4.91,0.14,,-2.59
TucIII-J235738,Co I,,,,,,
TucIII-J235738,Ni I,6,,3.68,0.33,,0.04
TucIII-J235738,Cu I,1,,1.41,,,-0.20
TucIII-J235738,Zn I,2,,2.20,0.22,,0.22
TucIII-J235738,Sr II,2,,0.27,0.31,,-0.03
TucIII-J235738,Y II,2,,-0.42,0.25,,-0.05
TucIII-J235738,Zr II,2,,0.29,0.26,,0.29
TucIII-J235738,Ba II,4,,-0.26,0.34,,0.14
TucIII-J235738,La II,2,,-1.32,0.26,,0.16
TucIII-J235738,Ce II,,<,-0.70,,<,0.3
TucIII-J235738,Pr II,3,,-1.36,0.23,,0.50
TucIII-J235738,Nd II,6,,-0.83,0.29,,0.33
TucIII-J235738,Sm II,,<,-1.12,,<,0.5
TucIII-J235738,Eu II,3,,-1.84,0.21,,0.22
TucIII-J235738,Gd II,,<,-0.71,,<,0.8
TucIII-J235738,Dy II,3,,-0.78,0.29,,0.70
TucIII-J235738,Er II,,,,,,
