Name,Simbad_Identifier,f_Name,System,RA_hms,DEC_dms,gmag,g-r,MJD,t_exp,SNR4200,SNR5500,Loc
#TucIII-J235532,DES J235532-593115,c,Tucana III,23:55:32.7,-59:31:15.0,16.090,0.746,57248.,3.5,20,50,Core
TucIII-J235738,DES J235738-593612,,Tucana III,23:57:38.5,-59:36:11.7,17.173,0.604,57605.69,2.,20,30,Core
TucIII-J235550,DES J235550-593300,,Tucana III,23:55:49.9,-59:33:00.0,17.400,0.585,57607.77,2.,20,30,Core
TucIII-J000549,DES J000549-593406,,Tucana III,00:05:48.7,-59:34:06.1,16.770,0.647,57605.78,4.5,30,40,Tail
TucIII-J234351,DES J234351-593926,,Tucana III,23:43:50.8,-59:39:25.6,17.678,0.527,57606.82,2.5,10,20,Tail
