Found, Query_ID           , RA_input   , DEC_input   , MAIN_ID                , RA           , DEC          , RA_PREC, DEC_PREC, COO_ERR_MAJA, COO_ERR_MINA, COO_ERR_ANGLE, COO_QUAL, COO_WAVELENGTH, COO_BIBCODE        , FLUX_U, FLUX_B, FLUX_V, FLUX_R, FLUX_I, FLUX_J, FLUX_H, FLUX_K, OTYPE    , SP_TYPE, RA_2         , DEC_2        , PMRA  , PMDEC , PLX_VALUE, RV_VALUE   , SCRIPT_NUMBER_ID
True , [CSF2018] 10-8-1463, 01:00:36.46, -33:50:26.67, [CSF2018] 10-8-1463    , 01 00 36.4708, -33 50 26.672,      14,       14,       0.1717,       0.087 ,            90, A       , O             , 2020yCat.1350....0G,       ,       , 19.57 ,       , 18.55 , 18.06 , 17.57 , 17.63 , ChemPec* ,        , 01 00 36.4708, -33 50 26.672, 0.038 , -0.059,          , 109.6      ,                1
True , [CSF2018] 10-8-1566, 01:00:33.94, -33:40:08.24, 2MASS J01003395-3340082, 01 00 33.9476, -33 40 08.205,      14,       14,       0.0617,       0.0293,            90, A       , O             , 2020yCat.1350....0G,       , 18.44 , 17.411,       , 16.263, 15.46 , 14.91 , 14.97 , RGB*     ,        , 01 00 33.9476, -33 40 08.205, 0.312 , -0.057,    0.1414,            ,                1
True , [CSF2018] 10-8-1615, 01:00:33.05, -33:43:02.26, SCMS  440              , 01 00 33.0582, -33 43 02.260,      14,       14,       0.2017,       0.0935,            90, A       , O             , 2020yCat.1350....0G,       , 19.94 , 19.55 ,       , 18.65 ,       ,       ,       , ChemPec* ,        , 01 00 33.0582, -33 43 02.260, 0.156 , -0.233,          , 122.7      ,                1
True , [CSF2018] 10-8-1640, 01:00:32.68, -33:41:05.05, SCMS  417              , 01 00 32.6935, -33 41 05.066,      14,       14,       0.2316,       0.1034,            90, A       , O             , 2020yCat.1350....0G,       , 20.49 , 19.76 ,       ,       , 18.2  , 17.51 , 17.65 , ChemPec* ,        , 01 00 32.6935, -33 41 05.066, -0.234, -0.084,    0.0257,            ,                1
True , [CSF2018] 10-8-1731, 01:00:31.00, -33:47:12.23, [CSF2018] 10-8-1731    , 01 00 31.0070, -33 47 12.261,      14,       14,       0.1798,       0.0891,            90, A       , O             , 2020yCat.1350....0G,       ,       , 19.48 ,       , 18.46 ,       ,       ,       , ChemPec* ,        , 01 00 31.0070, -33 47 12.261, -0.296, -0.293,          , 113.9      ,                1
True , [CSF2018] 10-8-1877, 01:00:28.63, -33:46:02.64, [CSF2018] 10-8-1877    , 01 00 28.6331, -33 46 02.706,      14,       14,       0.2217,       0.1081,            90, A       , O             , 2020yCat.1350....0G,       ,       , 19.76 ,       , 18.61 ,       ,       ,       , ChemPec* ,        , 01 00 28.6331, -33 46 02.706, -0.025, -0.259,    0.3851, 111.6      ,                1
True , [CSF2018] 10-8-1887, 01:00:28.43, -33:47:41.51, 2MASS J01002843-3347416, 01 00 28.4345, -33 47 41.575,      14,       14,       0.0791,       0.0407,            90, A       , O             , 2020yCat.1350....0G,       , 19.19 , 18.116,       , 17.046, 16.36 , 15.85 , 15.84 , RGB*     ,        , 01 00 28.4345, -33 47 41.575, 0.1   , -0.066,    0.1002, 117.4      ,                1
True , [CSF2018] 10-8-2028, 01:00:25.95, -33:48:40.71, SCMS 1278              , 01 00 25.9533, -33 48 40.719,      14,       14,       0.2212,       0.1073,            90, A       , O             , 2020yCat.1350....0G,       , 20.48 , 19.8  ,       , 18.69 ,       ,       ,       , ChemPec* ,        , 01 00 25.9533, -33 48 40.719, 0.031 , 0.096 ,    0.095 , 124.0      ,                1
True , [CSF2018] 10-8-2126, 01:00:24.07, -33:45:54.41, SCMS  501              , 01 00 24.0784, -33 45 54.462,      14,       14,       0.1448,       0.0722,            90, A       , O             , 2020yCat.1350....0G,       , 20.29 , 19.15 ,       ,       , 17.41 , 16.84 , 16.9  , ChemPec* ,        , 01 00 24.0784, -33 45 54.462, 0.259 , -0.216,          ,            ,                1
True , [CSF2018] 10-8-2134, 01:00:23.71, -33:40:20.40, SCMS  753              , 01 00 23.7190, -33 40 20.361,      14,       14,       0.2128,       0.0961,            90, A       , O             , 2020yCat.1350....0G,       , 20.66 , 19.75 ,       ,       ,       ,       ,       , ChemPec* , CEMP-s , 01 00 23.7190, -33 40 20.361, 0.364 , -0.056,          ,            ,                1
