Name,RA_hms,DEC_dms
[CSF2018] 10-7-442,01:00:50.35,-33:52:15.67
[CSF2018] 10-7-486,01:00:45.41,-33:52:14.68
[CSF2018] 10-7-570,01:00:36.41,-33:52:19.54
[CSF2018] 10-7-923,01:00:01.12,-33:59:21.38
[CSF2018] 10-8-1062,01:00:48.14,-33:42:13.32
[CSF2018] 10-8-1072,01:00:47.83,-33:41:03.17
[CSF2018] 10-8-1124,01:00:46.21,-33:42:34.03
[CSF2018] 10-8-1308,01:00:40.35,-33:44:14.23
[CSF2018] 10-8-1325,01:00:39.72,-33:39:12.42
[CSF2018] 10-8-1366,01:00:38.71,-33:43:16.58
[CSF2018] 10-8-1463,01:00:36.46,-33:50:26.67
[CSF2018] 10-8-1566,01:00:33.94,-33:40:08.24
[CSF2018] 10-8-1615,01:00:33.05,-33:43:02.26
[CSF2018] 10-8-1640,01:00:32.68,-33:41:05.05
[CSF2018] 10-8-1731,01:00:31.00,-33:47:12.23
[CSF2018] 10-8-1877,01:00:28.63,-33:46:02.64
[CSF2018] 10-8-1887,01:00:28.43,-33:47:41.51
[CSF2018] 10-8-2028,01:00:25.95,-33:48:40.71
[CSF2018] 10-8-2126,01:00:24.07,-33:45:54.41
[CSF2018] 10-8-2134,01:00:23.71,-33:40:20.40
[CSF2018] 10-8-2148,01:00:23.49,-33:41:46.18
[CSF2018] 10-8-2211,01:00:22.74,-33:51:22.84
[CSF2018] 10-8-2558,01:00:17.03,-33:42:47.26
[CSF2018] 10-8-2635,01:00:15.87,-33:45:01.90
[CSF2018] 10-8-2647,01:00:15.67,-33:45:59.96
[CSF2018] 10-8-265,01:01:27.22,-33:45:15.31
[CSF2018] 10-8-2669,01:00:15.26,-33:45:49.87
[CSF2018] 10-8-2730,01:00:14.49,-33:47:50.49
[CSF2018] 10-8-2818,01:00:12.95,-33:42:03.91
[CSF2018] 10-8-2824,01:00:12.77,-33:38:53.56
[CSF2018] 10-8-2908,01:00:11.72,-33:44:50.34
[CSF2018] 10-8-2927,01:00:11.30,-33:39:35.67
[CSF2018] 10-8-2933,01:00:11.19,-33:40:38.65
[CSF2018] 10-8-3045,01:00:09.72,-33:47:00.79
[CSF2018] 10-8-3111,01:00:08.86,-33:49:49.67
[CSF2018] 10-8-3167,01:00:07.86,-33:47:07.62
[CSF2018] 10-8-3188,01:00:07.66,-33:49:46.99
[CSF2018] 10-8-320,01:01:22.24,-33:46:21.81
[CSF2018] 10-8-3315,01:00:05.93,-33:45:56.39
[CSF2018] 10-8-3520,01:00:03.27,-33:47:44.44
[CSF2018] 10-8-3558,01:00:02.65,-33:49:18.73
[CSF2018] 10-8-3625,01:00:01.44,-33:51:16.74
[CSF2018] 10-8-3698,01:00:00.04,-33:45:28.81
[CSF2018] 10-8-3709,00:59:59.95,-33:47:02.03
[CSF2018] 10-8-3723,00:59:59.92,-33:51:11.79
[CSF2018] 10-8-3751,00:59:59.33,-33:44:24.34
[CSF2018] 10-8-3804,00:59:58.91,-33:50:53.61
[CSF2018] 10-8-3926,00:59:56.73,-33:39:37.54
[CSF2018] 10-8-3963,00:59:56.17,-33:43:04.89
[CSF2018] 10-8-4014,00:59:55.48,-33:45:51.48
[CSF2018] 10-8-4020,00:59:55.22,-33:42:11.34
[CSF2018] 10-8-4247,00:59:51.56,-33:45:07.76
[CSF2018] 10-8-4250,00:59:51.51,-33:44:02.67
[CSF2018] 10-8-436,01:01:14.95,-33:47:21.34
[CSF2018] 10-8-437,01:01:15.05,-33:50:02.63
[CSF2018] 10-8-440,01:01:14.29,-33:39:27.82
[CSF2018] 10-8-462,01:01:13.19,-33:43:20.56
[CSF2018] 10-8-577,01:01:06.92,-33:46:13.15
[CSF2018] 10-8-61,01:01:47.52,-33:47:27.64
[CSF2018] 10-8-758,01:00:57.56,-33:39:39.74
[CSF2018] 10-8-798,01:00:56.41,-33:49:47.18
[CSF2018] 11-1-2583,00:59:57.59,-33:38:32.54
[CSF2018] 11-1-3246,00:59:51.19,-33:44:51.82
[CSF2018] 11-1-3334,00:59:49.62,-33:40:41.78
[CSF2018] 11-1-3513,00:59:48.19,-33:46:50.01
[CSF2018] 11-1-3646,00:59:46.67,-33:47:19.71
[CSF2018] 11-1-3738,00:59:45.30,-33:43:53.83
[CSF2018] 11-1-3743,00:59:45.37,-33:45:34.19
[CSF2018] 11-1-4121,00:59:41.05,-33:45:25.28
[CSF2018] 11-1-4122,00:59:41.24,-33:48:03.56
[CSF2018] 11-1-4277,00:59:38.42,-33:40:11.57
[CSF2018] 11-1-4296,00:59:38.75,-33:46:14.58
[CSF2018] 11-1-4422,00:59:36.61,-33:40:38.51
[CSF2018] 11-1-4673,00:59:33.63,-33:49:10.10
[CSF2018] 11-1-4824,00:59:30.49,-33:39:04.16
[CSF2018] 11-1-5047,00:59:26.68,-33:40:22.43
[CSF2018] 11-1-5437,00:59:19.87,-33:38:56.77
[CSF2018] 11-1-6192,00:59:06.14,-33:44:11.39
[CSF2018] 11-1-6267,00:59:04.05,-33:40:31.48
[CSF2018] 11-1-6440,00:59:00.13,-33:38:50.96
[CSF2018] 11-1-6443,00:59:00.28,-33:43:14.64
[CSF2018] 11-1-6533,00:58:57.88,-33:41:50.34
[CSF2018] 11-2-425,00:59:50.64,-33:58:07.10
[CSF2018] 11-2-661,00:59:25.63,-33:58:21.42
[CSF2018] 11-2-956,00:58:39.65,-33:55:34.76
[CSF2018] 6-5-1035,01:00:19.33,-33:37:11.74
[CSF2018] 6-5-1598,00:59:59.09,-33:36:44.90
[CSF2018] 6-5-163,01:01:19.89,-33:35:57.44
[CSF2018] 6-5-239,01:01:10.27,-33:38:37.81
[CSF2018] 6-5-420,01:00:51.64,-33:36:56.74
[CSF2018] 6-5-505,01:00:45.76,-33:38:34.83
[CSF2018] 6-5-678,01:00:34.10,-33:35:08.73
[CSF2018] 6-5-736,01:00:31.87,-33:38:00.22
[CSF2018] 6-5-948,01:00:22.37,-33:38:07.79
[CSF2018] 7-3-243,00:59:50.78,-33:31:47.06
[CSF2018] 7-4-1514,00:59:54.47,-33:37:53.50
[CSF2018] 7-4-2408,00:59:30.43,-33:36:05.23
[CSF2018] 7-4-2750,00:59:17.20,-33:38:06.68
[CSF2018] 7-4-3182,00:58:49.80,-33:37:19.10
[CSF2018] 7-4-3266,00:58:38.77,-33:35:02.28
