Name,UT Date,UT Time,t_exp
HE 0107-5240,2001 Dec 20,00:55:45,3600
HE 0107-5240,2001 Dec 20,02:03:31,3600
HE 0107-5240,2001 Dec 20,03:04:58,3600
HE 0107-5240,2001 Dec 21,02:22:20,3600
HE 0107-5240,2001 Dec 21,01:24:52,3000
CD-38 245,2001 Dec 21,01:01:26,900
