Name,Species,N,l_logepsX,logepsX,e_stat,[X/H],e_[X/H],[X/Fe],e_[X/Fe]
CarII-0064,Na I,2,,3.65,0.15,-2.59,0.31,-0.36,0.19
CarII-0064,Mg I,5,,5.21,0.07,-2.39,0.17,-0.17,0.08
CarII-0064,Al I,2,,3.14,0.23,-3.31,0.30,-1.09,0.30
CarII-0064,Si I,2,,5.19,0.27,-2.32,0.36,-0.10,0.28
CarII-0064,Ca I,22,,4.31,0.03,-2.03,0.14,0.20,0.06
CarII-0064,Sc II,6,,0.00,0.04,-3.15,0.13,-0.94,0.07
CarII-0064,Ti I,16,,2.54,0.05,-2.41,0.24,-0.19,0.08
CarII-0064,Ti II,36,,2.67,0.02,-2.29,0.13,-0.08,0.07
CarII-0064,Cr I,15,,3.31,0.04,-2.33,0.22,-0.11,0.06
CarII-0064,Cr II,2,,3.66,0.07,-1.98,0.14,0.22,0.09
CarII-0064,Mn I,6,,2.53,0.06,-2.90,0.16,-0.68,0.07
CarII-0064,Fe I,169,,5.28,0.01,-2.22,0.18,0.00,0.02
CarII-0064,Fe II,21,,5.30,0.04,-2.20,0.13,0.00,0.05
CarII-0064,Co I,5,,2.60,0.11,-2.39,0.22,-0.16,0.11
CarII-0064,Ni I,8,,3.75,0.04,-2.47,0.16,-0.25,0.06
CarII-0064,Zn I,2,,2.21,0.14,-2.35,0.16,-0.13,0.20
CarII-0064,Sr II,2,,-0.71,0.23,-3.58,0.39,-1.38,0.32
CarII-0064,Ba II,2,,-2.58,0.13,-4.76,0.21,-2.55,0.20
CarII-0064,C-H,2,,6.16,0.16,-2.27,0.35,-0.05,0.22
CarII-0064,C-N,1,,6.04,0.65,-1.79,0.78,0.43,0.70
CarII-0064,O I,1,<,7.59,,-1.09,,1.13,
CarII-0064,K I,1,<,2.75,,-2.28,,-0.06,
CarII-0064,Cu I,1,<,1.83,,-2.36,,-0.14,
CarII-0064,Eu II,1,<,-1.89,,-2.41,,-0.21,
CarII-2064,Na I,2,,4.21,0.15,-2.03,0.33,0.33,0.20
CarII-2064,Mg I,5,,5.62,0.12,-1.98,0.22,0.38,0.13
CarII-2064,Al I,2,,3.37,0.40,-3.08,0.44,-0.73,0.41
CarII-2064,Si I,2,,6.27,0.48,-1.24,0.58,1.11,0.51
CarII-2064,K I,1,,3.46,0.18,-1.57,0.23,0.79,0.18
CarII-2064,Ca I,14,,4.48,0.06,-1.86,0.15,0.49,0.09
CarII-2064,Sc II,6,,0.96,0.12,-2.19,0.19,0.12,0.13
CarII-2064,Ti I,11,,3.43,0.05,-1.52,0.23,0.83,0.06
CarII-2064,Ti II,26,,3.23,0.05,-1.72,0.17,0.59,0.10
CarII-2064,Cr I,3,,2.73,0.35,-2.91,0.44,-0.55,0.36
CarII-2064,Cr II,1,,3.78,0.18,-1.86,0.23,0.44,0.20
CarII-2064,Mn I,3,,3.02,0.16,-2.42,0.26,-0.06,0.17
CarII-2064,Fe I,81,,5.15,0.03,-2.35,0.20,0.00,0.04
CarII-2064,Fe II,10,,5.19,0.06,-2.31,0.15,0.00,0.09
CarII-2064,Co I,1,,2.43,0.28,-2.56,0.35,-0.20,0.29
CarII-2064,Ni I,2,,4.31,0.17,-1.91,0.24,0.44,0.17
CarII-2064,Sr II,2,,-1.08,0.20,-3.95,0.26,-1.64,0.22
CarII-2064,Ba II,2,,-0.97,0.11,-3.15,0.20,-0.84,0.16
CarII-2064,C-H,2,,6.45,0.21,-1.98,0.45,0.38,0.31
CarII-2064,O I,2,<,8.73,,0.04,,2.40,
CarII-2064,Cu I,2,<,4.10,,-0.09,,2.27,
CarII-2064,Zn I,2,<,2.76,,-1.80,,0.55,
CarII-2064,Eu II,2,<,-0.64,,-1.16,,1.15,
CarII-2064,C-N,2,<,4.48,,-3.35,,-1.00,
CarII-4704,Na I,2,,3.50,0.16,-2.74,0.33,-0.54,0.19
CarII-4704,Mg I,5,,5.06,0.12,-2.54,0.19,-0.34,0.14
CarII-4704,Al I,2,,3.00,0.56,-3.45,0.58,-1.25,0.58
CarII-4704,Si I,2,,4.96,0.41,-2.55,0.47,-0.35,0.41
CarII-4704,K I,1,,2.96,0.17,-2.07,0.23,0.13,0.18
CarII-4704,Ca I,14,,4.20,0.04,-2.14,0.15,0.06,0.07
CarII-4704,Sc II,5,,0.74,0.08,-2.41,0.15,-0.22,0.10
CarII-4704,Ti I,5,,2.65,0.09,-2.30,0.24,-0.10,0.10
CarII-4704,Ti II,26,,2.65,0.05,-2.30,0.14,-0.12,0.09
CarII-4704,Cr I,9,,3.23,0.09,-2.41,0.23,-0.20,0.09
CarII-4704,Mn I,7,,2.58,0.09,-2.85,0.18,-0.64,0.10
CarII-4704,Fe I,105,,5.30,0.02,-2.20,0.20,0.00,0.03
CarII-4704,Fe II,14,,5.32,0.04,-2.19,0.12,0.00,0.05
CarII-4704,Co I,4,,2.69,0.15,-2.30,0.24,-0.10,0.15
CarII-4704,Ni I,3,,4.11,0.09,-2.11,0.18,0.09,0.10
CarII-4704,Sr II,2,,-1.68,0.26,-4.55,0.31,-2.36,0.27
CarII-4704,Ba II,2,,-2.11,0.11,-4.29,0.18,-2.10,0.17
CarII-4704,C-H,2,,5.63,0.16,-2.80,0.35,-0.60,0.22
CarII-4704,O I,2,<,7.66,,-1.03,,1.17,
CarII-4704,Cu I,2,<,2.69,,-1.50,,0.70,
CarII-4704,Zn I,2,<,2.88,,-1.69,,0.52,
CarII-4704,Eu II,2,<,-1.44,,-1.96,,0.23,
CarII-4704,C-N,2,<,5.75,,-2.08,,0.13,
CarII-4928,Na I,2,,3.45,0.16,-2.79,0.35,0.26,0.20
CarII-4928,Mg I,5,,5.25,0.12,-2.35,0.21,0.71,0.16
CarII-4928,Al I,2,,3.46,0.35,-2.99,0.45,0.07,0.40
CarII-4928,Si I,2,,4.81,0.31,-2.70,0.40,0.35,0.31
CarII-4928,Ca I,2,,4.08,0.18,-2.26,0.28,0.80,0.20
CarII-4928,Sc II,6,,0.36,0.11,-2.79,0.23,0.24,0.19
CarII-4928,Ti II,22,,2.58,0.09,-2.37,0.22,0.66,0.18
CarII-4928,Cr I,3,,1.90,0.20,-3.74,0.37,-0.68,0.21
CarII-4928,Mn I,3,,1.47,0.16,-3.96,0.30,-0.91,0.17
CarII-4928,Fe I,46,,4.44,0.04,-3.06,0.26,0.00,0.05
CarII-4928,Fe II,5,,4.47,0.14,-3.03,0.23,0.00,0.20
CarII-4928,Co I,2,,2.09,0.24,-2.90,0.39,0.16,0.26
CarII-4928,Sr II,2,,-1.99,0.25,-4.86,0.33,-1.83,0.30
CarII-4928,C-H,2,,5.67,0.26,-2.77,0.56,0.29,0.39
CarII-4928,O I,2,<,8.50,,-0.19,,2.86,
CarII-4928,K I,2,<,3.04,,-1.99,,1.06,
CarII-4928,Ni I,2,<,5.16,,-1.06,,1.99,
CarII-4928,Cu I,2,<,3.06,,-1.13,,1.93,
CarII-4928,Zn I,2,<,3.08,,-1.48,,1.58,
CarII-4928,Ba II,2,<,-1.60,,-3.78,,-0.74,
CarII-4928,Eu II,2,<,-1.04,,-1.56,,1.47,
CarII-4928,C-N,2,<,6.97,,-0.86,,2.19,
CarII-5664,Na I,2,,3.37,0.12,-2.87,0.27,0.66,0.17
CarII-5664,Mg I,7,,4.80,0.04,-2.79,0.12,0.73,0.09
CarII-5664,Al I,2,,2.46,0.17,-3.99,0.29,-0.46,0.27
CarII-5664,Si I,2,,4.59,0.13,-2.92,0.26,0.61,0.14
CarII-5664,K I,2,,2.52,0.07,-2.51,0.16,1.02,0.09
CarII-5664,Ca I,12,,3.18,0.03,-3.16,0.13,0.36,0.07
CarII-5664,Sc II,8,,-0.14,0.06,-3.29,0.12,0.24,0.08
CarII-5664,Ti I,6,,1.64,0.04,-3.31,0.22,0.21,0.07
CarII-5664,Ti II,32,,1.68,0.03,-3.27,0.11,0.27,0.07
CarII-5664,Cr I,3,,1.47,0.09,-4.17,0.25,-0.64,0.12
