name,Element,N,Solar,Logeps,[X/H],[X/Fe],[X/H]_err,ul,[X/H]_errteff,[X/H]_errlogg,[X/H]_errvt,[X/H]_errsys,[X/H]_errtot,[X/Fe]_errteff,[X/Fe]_errlogg,[X/Fe]_errvt,[X/Fe]_errsys,[X/Fe]_errtot
lmc109,26.1,12,7.5,4.66,-2.84,0.01,0.2,0.0,0.0,0.1,-0.04,0.11,0.23,-0.24,0.14,0.01,0.28,0.34
lmc109,27.0,2,4.99,1.88,-3.11,-0.26,0.2,0.0,0.26,-0.04,-0.04,0.27,0.34,0.02,0.0,0.01,0.02,0.2
lmc109,28.0,6,6.22,3.36,-2.86,-0.01,0.2,0.0,0.18,-0.02,-0.02,0.18,0.27,-0.06,0.02,0.03,0.07,0.21
lmc109,38.1,2,2.87,-0.22,-3.09,-0.24,0.45,0.0,0.12,0.0,-0.21,0.24,0.51,-0.12,0.04,-0.16,0.2,0.49
lmc109,39.1,2,2.21,-0.79,-3.0,-0.15,0.2,0.0,0.08,0.1,-0.01,0.13,0.24,-0.16,0.14,0.04,0.22,0.3
lmc109,40.1,1,2.58,0.36,-2.22,0.63,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc109,56.1,5,2.18,-0.92,-3.1,-0.25,0.2,0.0,0.12,0.09,-0.05,0.16,0.26,-0.12,0.13,-0.0,0.18,0.27
lmc109,57.1,1,1.1,-1.35,-2.45,0.4,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
lmc109,63.1,2,0.52,-1.85,-2.37,0.48,0.2,0.0,0.11,0.11,-0.0,0.16,0.26,-0.13,0.15,0.05,0.2,0.28
lmc109,106.0,2,8.43,5.03,-3.4,-0.55,0.2,0.0,0.32,-0.09,-0.0,0.33,0.39,0.08,-0.05,0.05,0.11,0.23
lmc124,11.0,2,6.24,3.39,-2.85,0.12,0.21,0.0,0.24,-0.07,-0.1,0.27,0.34,0.0,-0.03,-0.05,0.06,0.22
lmc124,12.0,4,7.6,5.12,-2.48,0.49,0.21,0.0,0.15,-0.04,-0.03,0.16,0.26,-0.09,0.0,0.02,0.09,0.23
lmc124,13.0,1,6.45,3.0,-3.45,-0.48,0.62,0.0,0.24,0.0,-0.0,0.24,0.66,-0.0,0.04,0.05,0.06,0.62
lmc124,14.0,1,7.51,4.79,-2.72,0.25,0.6,0.0,0.42,-0.11,-0.09,0.44,0.74,0.18,-0.07,-0.04,0.2,0.63
lmc124,19.0,1,5.03,2.86,-2.17,0.8,0.21,0.0,0.16,-0.03,-0.02,0.16,0.26,-0.07,0.01,0.03,0.08,0.22
