Found, JINA_ID, Query_ID                , RA_input, DEC_input, MAIN_ID                 , RA           , DEC          , RA_PREC, DEC_PREC, COO_ERR_MAJA, COO_ERR_MINA, COO_ERR_ANGLE, COO_QUAL, COO_WAVELENGTH, COO_BIBCODE        , FLUX_U, FLUX_B, FLUX_V, FLUX_R, FLUX_I, FLUX_J, FLUX_H, FLUX_K, OTYPE   , SP_TYPE, RA_2         , DEC_2        , PMRA  , PMDEC , PLX_VALUE, RV_VALUE   , SCRIPT_NUMBER_ID
True ,        , SDSS J100801.54+000108.1,         ,          , 2MASS J10080153+0001081 , 10 08 01.5437, +00 01 08.082,      14,       14,       0.118 ,       0.1013,            90, A       , O             , 2020yCat.1350....0G,       ,  19.31,       ,       ,       , 15.87 , 15.418, 15.308, ChemPec*,        , 10 08 01.5437, +00 01 08.082, -0.41 , 0.121 ,    0.0135,            ,                1
True ,        , SDSS J101039.85-022007.8,         ,          , 2MASS J10103984-0220079 , 10 10 39.8502, -02 20 07.766,      14,       14,       0.0808,       0.0691,            90, A       , O             , 2020yCat.1350....0G,       ,       ,       ,       ,       , 15.527, 14.933, 15.044, ChemPec*,        , 10 10 39.8502, -02 20 07.766, -0.349, -0.123,          , -809.950989,                1
True ,        , SDSS J101542.20-023838.6,         ,          , SDSS J101542.20-023838.6, 10 15 42.2053, -02 38 38.656,      14,       14,       0.0749,       0.0776,            90, A       , O             , 2020yCat.1350....0G,       ,       ,       ,       ,       ,       ,       ,       , ChemPec*,        , 10 15 42.2053, -02 38 38.656, -0.544, 0.154 ,          ,            ,                1
True ,        , SDSS J101800.19-015521.4,         ,          , SDSS J101800.19-015521.4, 10 18 00.1971, -01 55 21.474,      14,       14,       0.0909,       0.148 ,            90, A       , O             , 2020yCat.1350....0G,       ,       ,       ,       ,       ,       ,       ,       , ChemPec*,        , 10 18 00.1971, -01 55 21.474, -0.306, -0.062,          ,            ,                1
True ,        , SDSS J101837.07-020936.2,         ,          , SDSS J101837.07-020936.2, 10 18 37.0821, -02 09 36.277,      14,       14,       0.0755,       0.0768,            90, A       , O             , 2020yCat.1350....0G,       ,       ,       ,       ,       ,       ,       ,       , ChemPec*,        , 10 18 37.0821, -02 09 36.277, -0.411, 0.106 ,          ,            ,                1
True ,        , SDSS J101341.76-021124.4,         ,          , 2MASS J10134175-0211244 , 10 13 41.7632, -02 11 24.408,      14,       14,       0.0949,       0.1371,            90, A       , O             , 2020yCat.1350....0G,       ,       ,       ,       ,       , 14.919, 14.296, 14.131, RGB*    ,        , 10 13 41.7632, -02 11 24.408, -0.328, -0.031,          , 241.2099   ,                1
True ,        , SDSS J101435.84-005401.4,         ,          , 2MASS J10143584-0054013 , 10 14 35.8381, -00 54 01.402,      14,       14,       0.0708,       0.058 ,            90, A       , O             , 2020yCat.1350....0G,       ,       ,       ,       ,       , 14.979, 14.351, 14.117, Star    ,        , 10 14 35.8381, -00 54 01.402, -0.253, -0.045,    0.1004,            ,                1
