Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,H,I,B,V,K,J,U,R,plx_value,pmdec,pmra,rvz_nature,rvz_qual,otype,sp_type,sp_bibcode,sp_qual
True,,J0007-0345,00:07:38.16,- 3:45:50.4,TYC 4666-307-1,1.9090972178799996,-3.7641582621399996,0.0348,0.024,90,O,2020yCat.1350....0G,9.277000427246094,,12.581999778747559,11.520000457763672,9.1850004196167,9.829000473022461,,,0.3373,-16.325,2.277,s,A,*,,,
True,,J0012-1816,00:12:36.47,-18:16:31.0,TYC 5842-557-1,3.15194001903,-18.275285442430004,0.0129,0.0122,90,O,2020yCat.1350....0G,9.118000030517578,,11.62399959564209,10.946999549865723,9.038999557495117,9.543000221252441,,,1.4678,-61.574,-29.981,s,A,Pe*,,,
True,,J0022-1724,00:22:44.86,-17:24:29.1,BPS CS 30324-0063,5.686925331229999,-17.408094711939995,0.0111,0.0095,90,O,2020yCat.1350....0G,10.569999694824219,,13.824000358581543,12.88700008392334,10.484000205993652,11.11400032043457,,12.664999961853027,0.1504,-4.641,14.447,s,A,Pe*,CEMP-no,2019A&A...623A.128H,C
True,,J0030-1007,00:30:52.67,-10:07:04.2,UCAC2  28125887,7.71946632268,-10.11782874831,0.0138,0.012,90,O,2020yCat.1350....0G,10.579999923706055,11.800000190734863,13.60200023651123,12.772000312805176,10.564000129699707,11.125,,12.640000343322754,0.2266,-4.697,19.663,s,B,Pe*,,,
True,,J0053-0253,00:53:27.84,- 2:53:16.8,BD-03   120,13.36590863294,-2.8880344972,0.0201,0.013,90,O,2020yCat.1350....0G,7.702000141143799,,11.4399995803833,10.406000137329102,7.560999870300293,8.293999671936035,,,0.334,-17.213,18.024,s,A,*,,,
True,,J0054-0611,00:54:19.65,- 6:11:55.4,2MASS J00541965-0611555,13.581897788020001,-6.198772768709999,0.0146,0.0098,90,O,2020yCat.1350....0G,10.71399974822998,11.980999946594238,13.89900016784668,13.071999549865723,10.609999656677246,11.232000350952148,,12.505000114440918,0.2072,-6.055,8.039,s,A,Pe*,CEMP,2018AJ....155..256P,C
True,,J0107-0524,01:07:27.37,- 5:24:00.9,TYC 4683-1144-1,16.86407521511,-5.400272146520001,0.0166,0.0131,90,O,2020yCat.1350....0G,10.079000473022461,,12.380999565124512,11.777000427246094,10.005000114440918,10.404999732971191,,,1.8133,-55.734,29.396,s,A,PM*,,,
True,,J0120-2622,01:20:42.2,-26:22:04.7,HD   8163,20.17581842598,-26.3679766641,0.1089,0.0751,90,O,2020yCat.1350....0G,9.340999603271484,9.84000015258789,10.630000114440918,10.208000183105469,9.277000427246094,9.527000427246094,,10.140000343322754,3.1319,6.42,11.835,s,A,*,A9/F0V,1982MSS...C03....0H,D
True,,CS 31082-001,01:29:31.14,-16:00:45.5,BD-16   251,22.379713101479997,-16.01263758735,0.018,0.0122,90,O,2020yCat.1350....0G,9.612000465393066,10.713000297546387,12.427000045776367,11.642000198364258,9.46399974822998,10.053000450134277,12.527000427246094,11.189000129699707,0.4605,-42.787,11.738,s,A,RG*,CEMP,2018AJ....155..256P,C
True,,J0145-2800,01:45:19.52,-28:00:58.4,HIP 8191,26.331376938430004,-28.016238188999996,0.014,0.0113,90,O,2020yCat.1350....0G,9.156999588012695,,12.760000228881836,11.711000442504883,9.036999702453613,9.73799991607666,,,0.1637,-8.874,13.548,s,A,SB*,,,
True,,J0156-1402,01:56:56.33,-14:02:10.9,UCAC2  26591587,29.2347606528,-14.036310749620002,0.0124,0.0094,90,O,2020yCat.1350....0G,9.857000350952148,11.149999618530273,13.147000312805176,12.192999839782715,9.753999710083008,10.425999641418457,,12.119999885559082,0.2234,-4.835,11.273,s,A,Pe*,,,
True,,G 71-55,02:03:50.99,- 0:32:20.8,G 159-33,30.962416997790008,-0.5391753682799999,0.0154,0.0134,90,O,2020yCat.1350....0G,9.307000160217285,,10.600000381469727,10.779999732971191,9.255999565124512,9.64799976348877,,,3.8009,-252.731,-34.782,s,B,PM*,,,
True,,TYC 5861-1732-1,02:11:10.19,-19:11:23.7,TYC 5861-1732-1,32.79245425927,-19.18994922978,0.0155,0.0158,90,O,2020yCat.1350....0G,9.461999893188477,,12.029999732971191,11.430000305175781,9.366000175476074,9.835000038146973,,,1.4553,-68.909,84.721,s,A,Pe*,,,
True,,2MJ0213-0005,02:13:40.22,- 0:05:18.4,G 159-48,33.41764291020001,-0.08850581541,0.0145,0.0117,90,O,2020yCat.1350....0G,10.817000389099121,,12.630000114440918,12.08899974822998,10.819000244140625,11.107999801635742,,12.156999588012695,3.318,-99.919,260.868,s,A,Pe*,,,
True,,J0227-0519,02:27:41.04,- 5:19:22.8,UCAC2  29947600,36.92106725011999,-5.32306448643,0.0176,0.0153,90,O,2020yCat.1350....0G,8.758000373840332,10.1899995803833,12.541999816894531,11.425999641418457,8.663999557495117,9.359000205993652,,11.289999961853027,0.2001,-6.12,6.719,s,A,Pe*,,,
