Name,Species,Ion,logepsX,e_logepsX
J0107-0524,3.0,Li I,1.20,0.05
2MJ0213-0005,3.0,Li I,2.42,0.05
J0517-1342,3.0,Li I,0.91,0.10
J0705-3343,3.0,Li I,0.81,0.10
J0711-3432,3.0,Li I,0.94,0.10
J1022-3400,3.0,Li I,0.79,0.05
J1333-2623,3.0,Li I,0.94,0.05
J1527-2336,3.0,Li I,2.46,0.10
J1538-1804,3.0,Li I,0.81,0.05
J2058-0354,3.0,Li I,0.89,0.05
