
SMSS DR3,Simbad_Identifier,RA_hms,DEC_dms,g_0,(g-i)_0,E(B-V),Teff,logg,Vmic,Fe/H,Vel
500287810,Gaia DR3 4757943093811987072,05:28:29.6,-61:26:49.6,16.223,1.096,0.050,4550,0.95,2.40,-2.49,283.7
500382880,Gaia DR3 4762709889033585024,05:24:24.1,-59:16:05.5,16.456,1.001,0.032,4600,1.08,2.45,-2.65,268.3
497682788,Gaia DR3 4670107885871109760,04:03:47.0,-64:30:55.7,16.557,0.969,0.047,4550,1.10,2.60,-2.80,233.3
471915910,Gaia DR3 5481017880523468800,06:08:14.9,-62:07:23.5,16.600,0.948,0.049,4625,1.15,2.80,-2.90,265.7
500766372,Gaia DR3 4762322654782102272,04:59:15.4,-58:54:16.0,16.573,0.937,0.023,4650,1.17,2.75,-2.90,234.6
497519424,Gaia DR3 4664660389875115392,04:54:53.6,-64:07:52.2,16.616,1.001,0.036,4500,1.11,2.90,-3.13,289.9
499901368,Gaia DR3 4727018642084375936,03:02:07.9,-57:53:20.2,16.501,0.779,0.015,4750,1.23,1.80,-3.13,326.2
