Name,Gmag,Teff,logg,[Fe/H],[C/Fe],RUWE,References
HE 0107-5240,14.9,5100,2.2,-5.39,4.00,1.01,"Christlieb+2002b"
SDSS J0023+0307,17.6,6140,4.8,<-5.50,>3.31,0.95,"Aguado+2018b, Aguado+2019"
HE 0233-0343,15.3,6100,3.4,-4.68,3.32,1.02,"Hansen+2014"
SMSS 0313-6708,14.5,5125,2.3,<-7.10,>5.39,1.02,"Keller+2014"
HE 0557-4840,15.2,4900,2.2,-4.75,1.66,1.07,"Norris+2007"
SDSS J1313-0019,15.2,5170,2.6,-5.00,3.00,0.99,"AllendePrieto+2015, Frebel+2015"
HE 1327-2326,13.4,6180,3.7,-5.60,4.26,0.98,"Frebel+2005"
SMSS 1605-1443,15.4,4850,2.0,-6.21,3.89,1.06,"Nordlander+2019"
