Table 6
Derived Parameters: Magnitude, Luminosity   , and Surface Brightness Measurements


No.                          , Object       , M_g                                , M_r             , M_V             , $\mathrm{log}{L}_{{\rm{V}}}/{L}_{{\rm{V}}, \odot }$                 , mu_V                     , 0, mu_V, e, 
                             ,              , (mag)                              , (mag)           , (mag)           ,                                          , (mag arcsec^-2)          , (mag arcsec^-2)          ,  
Primary Sample               ,              ,                                    ,                 ,                 ,                                          ,                          ,                          ,  
1                            , Sculptor     , -10.57 +or- 0.10                   , -10.98 +or- 0.10, -10.82 +or- 0.14, 6.262 +or- 0.056                         , 23.29 +or- 0.15          , 25.46 +or- 0.15          ,  
2                            , Whiting 1    , -2.26 +or- 0.23                    , -2.73 +or- 0.38 , -2.55 +or- 0.44 , 2.951 +or- 0.176                         , ${21.43}_{-0.66}^{+0.64}$, 25.83 +or- 0.65          ,  
3                            , Segue 2      , -1.52 +or- 0.41                    , -2.08 +or- 0.78 , -1.86 +or- 0.88 , 2.676 +or- 0.352                         , 28.48 +or- 1.06          , 29.91 +or- 1.06          ,  
4                            , Fornax       , -13.22 +or- 0.10                   , -13.61 +or- 0.10, -13.46 +or- 0.14, 7.317 +or- 0.056                         , 23.59 +or- 0.16          , 24.77 +or- 0.16          ,  
5                            , AM 1         , -4.65 +or- 0.16                    , -5.28 +or- 0.20 , -5.03 +or- 0.26 , 3.944 +or- 0.104                         , ${23.18}_{-0.41}^{+0.40}$, ${25.17}_{-0.38}^{+0.40}$,  
6                            , Eridanus     , -4.59 +or- 0.16                    , -5.15 +or- 0.21 , -4.93 +or- 0.26 , 3.904 +or- 0.104                         , 23.23 +or- 0.40          , 25.44 +or- 0.40          ,  
7                            , Palomar 2    , -8.76 +or- 0.05                    , -9.26 +or- 0.05 , -9.07 +or- 0.07 , 5.558 +or- 0.028                         , 16.55 +or- 0.11          , 19.87 +or- 0.11          ,  
8                            , Carina       , -9.10 +or- 0.04                    , -9.65 +or- 0.03 , -9.43 +or- 0.05 , 5.706 +or- 0.020                         , 25.35 +or- 0.07          , 27.02 +or- 0.07          ,  
9                            , NGC 2419     , -9.16 +or- 0.02                    , -9.45 +or- 0.02 , -9.35 +or- 0.03 , 5.670 +or- 0.012                         , 18.82 +or- 0.05          , 22.17 +or- 0.05          ,  
10                           , Koposov 2    , -0.59 +or- 0.52                    , -1.14 +or- 0.62 , -0.92 +or- 0.81 , 2.302 +or- 0.324                         , ${23.39}_{-1.22}^{+1.32}$, ${25.96}_{-1.22}^{+1.32}$,  
11                           , UMa II       , -3.86 +or- 0.16                    , -4.50 +or- 0.20 , -4.25 +or- 0.26 , 3.630 +or- 0.104                         , 28.07 +or- 0.33          , 29.64 +or- 0.33          ,  
12                           , Pyxis        , -5.43 +or- 0.13                    , -5.88 +or- 0.14 , -5.71 +or- 0.19 , 4.215 +or- 0.076                         , 23.06 +or- 0.24          , 24.86 +or- 0.24          ,  
13                           , Leo T        , -7.40 +or- 0.10                    , -7.72 +or- 0.10 , -7.60 +or- 0.14 , 4.973 +or- 0.056                         , ${25.42}_{-0.37}^{+0.40}$, ${27.30}_{-0.37}^{+0.40}$,  
14                           , Palomar 3    , -5.08 +or- 0.13                    , -5.76 +or- 0.17 , -5.49 +or- 0.21 , 4.127 +or- 0.084                         , 23.54 +or- 0.27          , 25.07 +or- 0.27          ,  
15                           , Segue 1      , -1.08 +or- 0.46                    , -1.43 +or- 0.57 , -1.30 +or- 0.73 , 2.452 +or- 0.292                         , ${28.06}_{-0.98}^{+1.01}$, ${29.55}_{-0.98}^{+1.01}$,  
16                           , Leo I        , -11.43 +or- 0.20                   , -12.00 +or- 0.20, -11.78 +or- 0.28, 6.642 +or- 0.112                         , 22.61 +or- 0.30          , 23.92 +or- 0.30          ,  
17                           , Sextans      , -8.36 +or- 0.04                    , -8.95 +or- 0.04 , -8.72 +or- 0.06 , 5.419 +or- 0.024                         , 27.22 +or- 0.08          , 28.17 +or- 0.08          ,  
18                           , UMa I        , -4.51 +or- 0.16                    , -5.55 +or- 0.35 , -5.12 +or- 0.38 , 3.981 +or- 0.152                         , 29.11 +or- 0.47          , 29.77 +or- 0.47          ,  
19                           , Willman 1    , -2.20 +or- 0.37                    , -2.74 +or- 0.64 , -2.53 +or- 0.74 , 2.943 +or- 0.296                         , 25.87 +or- 0.94          , 28.42 +or- 0.92          ,  
20                           , Leo II       , -9.32 +or- 0.02                    , -10.02 +or- 0.03, -9.74 +or- 0.04 , 5.828 +or- 0.016                         , 24.24 +or- 0.07          , 25.42 +or- 0.07          ,  
21                           , Palomar 4    , -5.58 +or- 0.10                    , -6.31 +or- 0.12 , -6.02 +or- 0.16 , 4.339 +or- 0.064                         , 22.73 +or- 0.23          , 24.80 +or- 0.23          ,  
22                           , Leo V        , -4.06 +or- 0.22                    , -4.62 +or- 0.28 , -4.40 +or- 0.36 , 3.692 +or- 0.144                         , ${24.89}_{-0.79}^{+0.90}$, ${28.23}_{-0.79}^{+0.90}$,  
23                           , Leo IV       , -4.70 +or- 0.16                    , -5.18 +or- 0.21 , -4.99 +or- 0.26 , 3.930 +or- 0.104                         , ${27.80}_{-0.50}^{+0.53}$, ${29.31}_{-0.50}^{+0.53}$,  
24                           , Koposov 1    , -0.78 +or- 0.42                    , -1.20 +or- 0.55 , -1.04 +or- 0.69 , 2.348 +or- 0.276                         , ${25.10}_{-1.17}^{+1.31}$, ${27.50}_{-1.17}^{+1.31}$,  
25                           , ComBer       , -4.03 +or- 0.16                    , -4.60 +or- 0.19 , -4.38 +or- 0.25 , 3.682 +or- 0.100                         , 26.98 +or- 0.37          , 28.65 +or- 0.37          ,  
26                           , CVn II       , -4.80 +or- 0.25                    , -5.42 +or- 0.20 , -5.17 +or- 0.32 , 4.002 +or- 0.128                         , ${26.50}_{-0.63}^{+0.68}$, ${27.43}_{-0.63}^{+0.68}$,  
27                           , CVn I        , -8.43 +or- 0.05                    , -9.04 +or- 0.04 , -8.80 +or- 0.06 , 5.451 +or- 0.024                         , 26.78 +or- 0.13          , 28.12 +or- 0.14          ,  
28                           , AM 4         , -0.67 +or- 0.51                    , -1.04 +or- 0.63 , -0.90 +or- 0.81 , 2.293 +or- 0.324                         , ${24.72}_{-1.18}^{+1.25}$, ${27.50}_{-1.18}^{+1.25}$,  
29                           , Bootes II    , -2.55 +or- 0.31                    , -3.19 +or- 0.67 , -2.94 +or- 0.74 , 3.106 +or- 0.296                         , ${27.55}_{-1.04}^{+1.09}$, ${28.74}_{-1.04}^{+1.09}$,  
30                           , Bootes I     , -5.71 +or- 0.11                    , -6.21 +or- 0.23 , -6.02 +or- 0.25 , 4.338 +or- 0.100                         , 28.38 +or- 0.30          , 29.42 +or- 0.30          ,  
31                           , NGC 5694     , -7.61 +or- 0.07                    , -8.15 +or- 0.06 , -7.94 +or- 0.09 , 5.107 +or- 0.036                         , 13.41 +or- 0.14          , 20.00 +or- 0.14          ,  
32                           , Munoz 1      , -0.20 +or- 0.62                    , -0.67 +or- 0.74 , -0.49 +or- 0.97 , 2.127 +or- 0.388                         , ${26.32}_{-1.34}^{+1.42}$, ${30.07}_{-1.34}^{+1.42}$,  
33                           , NGC 5824     , -9.07 +or- 0.03                    , -9.42 +or- 0.03 , -9.29 +or- 0.04 , 5.648 +or- 0.016                         , 11.14 +or- 0.08          , 19.08 +or- 0.08          ,  
34                           , UMi          , -8.70 +or- 0.03                    , -9.25 +or- 0.04 , -9.03 +or- 0.05 , 5.546 +or- 0.020                         , 25.77 +or- 0.08          , 27.19 +or- 0.06          ,  
35                           , Palomar 14   , -4.95 +or- 0.16                    , -5.71 +or- 0.18 , -5.40 +or- 0.24 , 4.093 +or- 0.096                         , 23.58 +or- 0.33          , 26.46 +or- 0.33          ,  
36                           , Hercules     , -5.46 +or- 0.11                    , -6.08 +or- 0.13 , -5.83 +or- 0.17 , 4.266 +or- 0.068                         , 26.82 +or- 0.39          , 29.05 +or- 0.38          ,  
37                           , NGC 6229     , -7.74 +or- 0.11                    , -8.24 +or- 0.12 , -8.05 +or- 0.16 , 5.150 +or- 0.064                         , 13.86 +or- 0.22          , 19.19 +or- 0.22          ,  
38                           , Palomar 15   , -5.24 +or- 0.13                    , -5.95 +or- 0.14 , -5.66 +or- 0.19 , 4.198 +or- 0.076                         , 23.06 +or- 0.23          , 24.96 +or- 0.23          ,  
39                           , Draco        , -8.35 +or- 0.03                    , -8.95 +or- 0.04 , -8.71 +or- 0.05 , 5.417 +or- 0.020                         , 25.12 +or- 0.07          , 26.85 +or- 0.07          ,  
40                           , NGC 7006     , -7.10 +or- 0.06                    , -7.63 +or- 0.06 , -7.42 +or- 0.08 , 4.901 +or- 0.032                         , 15.98 +or- 0.12          , 21.16 +or- 0.12          ,  
