JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7396,,ROE10c,Roederer+2010c,CS 22952-015,HE 2334-0604,,,,,,,,RG,23:37:28.6873,-05:47:56.594,,,,,,14.03,13.28,12.768,12.249,11.52,10.999,10.916,,,-3.43,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,,-2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7397,,ROE10c,Roederer+2010c,CS 22953-003,BPS CS 22953-0003,,,,,,,,,01:02:15.8723,-61:43:45.836,,,,,,14.43,13.75,13.339,12.886,12.173,11.726,11.642,,,-2.84,,,,,,,,,,,,,,,,,,,,,,,,,1.91,,,,,,,-0.49,,,,,,,,,,,,-1.08,,,,,-1.27,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7398,,ROE10c,Roederer+2010c,CS 22956-050,BPS CS 22956-0050,,,,,,,,,21:58:05.8340,-65:13:27.160,,,,,,14.95,14.25,13.745,13.211,12.597,12.06,12.018,,,-3.33,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,,,,,,-1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7399,,ROE10c,Roederer+2010c,CS 22966-057,2MASS J23485776-2939228,,,,,,,,,23:48:57.7540,-29:39:22.824,,,,,14.759,,14.3,,13.512,12.992,12.603,12.532,,,-2.62,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,,,,,,-0.67,,,,,,,,,,,,-1.27,,,,,-1.69,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7400,,ROE10c,Roederer+2010c,CS 22968-014,HE 0305-5442,,,,,,,,,03:06:29.5014,-54:30:32.498,,,,,,14.44,13.7,13.212,12.715,12.026,11.533,11.467,,,-3.56,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,-2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7401,,ROE10c,Roederer+2010c,CS 29491-053,BPS CS 29491-0053,,,,,,,,,22:36:56.2965,-28:31:06.577,,,,,,13.76,12.92,12.38,11.812,11.148,10.624,10.532,,,-3.04,,,,,,,,,,,,,,,,,,,,,,,,,1.83,,,,,,,-1.14,,,,,,,,,,,,,,,,,-2.94,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7402,,ROE10c,Roederer+2010c,CS 29491-069,BPS CS 29491-0069,,,,,,,,,22:31:02.1859,-32:38:36.526,,,,,,13.72,13.1,12.654,12.175,11.604,11.165,11.131,,,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,-0.17,,,,,,,,,,,,-0.75,,,,,-0.96,,,,,,,,,,,,,,,,<0.35,,,,,,,,,,Yelland
7403,,ROE10c,Roederer+2010c,CS 29495-041,BPS CS 29495-0041,,,,,,,,,21:36:33.2900,-28:18:48.440,,,,,14.111,14.15,13.34,,12.222,11.607,11.116,11.024,,,-2.82,,,,,,,,,,,,,,,,,,,,,,,,,1.93,,,,,,,-1.02,,,,,,,,,,,,-2.17,,,,,-2.39,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7404,,ROE10c,Roederer+2010c,CS 29497-004,BPS CS 29497-0004,,,,,,,,,00:28:06.9155,-26:03:04.269,,,,,,14.76,14.07,13.583,13.116,12.491,12.038,11.965,,,-2.66,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,0.3,,,,,,,,,,,,-0.38,,,,,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7405,,ROE10c,Roederer+2010c,CS 29516-024,2MASS J22261535+0251462,,,,,,,,,22:26:15.3575,+02:51:46.326,,,,,,14.43,13.57,13.011,12.416,11.636,11.061,10.973,,,-3.06,,,,,,,,,,,,,,,,,,,,,,,,,1.74,,,,,,,-1.59,,,,,,,,,,,,-2.57,,,,,-2.79,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
