Name,Species,lambda,EW
HD 206739,Y II,5200,45.7
HD 210295,Zn I,4722,56.0
HD 210295,Zn I,4810,60.3
HD 210295,Y II,4833,73.2
HD 210295,Y II,5087,56.8
HD 210295,Y II,5200,48.8
HD 214362,Zn I,4722,14.2
HD 214362,Zn I,4810,18.6
HD 214362,Y II,4833,37.0
HD 214362,Y II,5087,20.6
HD 214362,Y II,5200,8.2
HD 21581,Zn I,4722,38.9
HD 21581,Zn I,4810,45.2
HD 21581,Y II,4833,54.3
HD 21581,Y II,5087,41.5
HD 21581,Y II,5200,32.3
HD 218857,Zn I,4722,21.2
HD 218857,Zn I,4810,30.6
HD 218857,Y II,4833,22.5
HD 218857,Y II,5087,14.2
HD 218857,Y II,5200,8.5
HD 233666,Zn I,4722,33.9
HD 233666,Zn I,4810,42.1
HD 233666,Y II,4833,48.4
HD 233666,Y II,5087,36.2
HD 233666,Y II,5200,21.9
HD 23798,Zn I,4722,35.2
HD 23798,Zn I,4810,39.9
HD 23798,Y II,4833,70.4
HD 23798,Y II,5087,52.3
HD 23798,Y II,5200,45.6
HD 25329,Zn I,4722,12.4
HD 25329,Zn I,4810,14.0
HD 25329,Y II,4833,23.5
HD 25329,Y II,5087,10.9
HD 25329,Y II,5200,
HD 25532,Zn I,4722,49.4
HD 25532,Zn I,4810,57.9
HD 25532,Y II,4833,74.6
HD 25532,Y II,5087,54.7
HD 25532,Y II,5200,40.8
HD 26297,Zn I,4722,46.6
HD 26297,Zn I,4810,52.7
HD 26297,Y II,4833,70.8
HD 26297,Y II,5087,55.9
HD 26297,Y II,5200,47.2
HD 2665,Zn I,4722,19.3
HD 2665,Zn I,4810,25.4
HD 2665,Y II,4833,19.8
HD 2665,Y II,5087,10.8
HD 2665,Y II,5200,5.8
HD 29574,Zn I,4722,49.9
HD 29574,Zn I,4810,51.2
HD 29574,Y II,4833,97.0
HD 29574,Y II,5087,76.1
HD 29574,Y II,5200,68.2
HD 3008,Zn I,4722,51.4
HD 3008,Zn I,4810,53.3
HD 3008,Y II,4833,83.0
HD 3008,Y II,5087,66.0
HD 3008,Y II,5200,54.5
HD 37828,Zn I,4722,57.6
HD 37828,Zn I,4810,62.6
HD 37828,Y II,4833,94.3
HD 37828,Y II,5087,74.4
HD 37828,Y II,5200,71.7
HD 44007,Zn I,4722,39.6
HD 44007,Zn I,4810,46.0
HD 44007,Y II,4833,58.0
HD 44007,Y II,5087,43.0
HD 44007,Y II,5200,34.3
HD 63791,Zn I,4722,43.0
HD 63791,Zn I,4810,50.6
HD 63791,Y II,4833,61.1
HD 63791,Y II,5087,46.8
HD 63791,Y II,5200,36.3
HD 6755,Zn I,4722,28.7
HD 6755,Zn I,4810,36.7
HD 6755,Y II,4833,36.1
HD 6755,Y II,5087,25.5
