Species,lambda,chi,loggf,EW33,loge33,EW41,loge41,EW94,loge94,EW117,loge117,EW119,loge119,EW127,loge127,EW130,loge130
Na I,5895.92,0.00,-0.19,191.0,3.90,,,164.5,3.22,,,155.0,3.73,,,185.0,3.92
Mg I,5528.40,4.34,-0.34,108.0,5.42,168.5,6.16,81.3,4.98,104.5,5.36,90.7,5.33,127.0,5.63,99.4,5.35
Ca I,5349.47,2.71,-0.31,17.5,4.00,59.8,4.70,,,31.0,4.28,,,39.5,4.39,,
Ca I,5581.98,2.52,-0.71,,,46.3,4.69,,,37.2,4.55,,,44.9,4.64,,
Ca I,5588.75,2.52,0.21,82.4,4.27,118.5,4.72,,,83.6,4.27,18.0,3.32,98.5,4.43,78.2,4.25
Ca I,5590.13,2.52,-0.71,25.2,4.36,58.3,4.85,,,31.5,4.46,,,34.8,4.48,,
Ca I,5857.45,2.93,0.23,35.5,4.08,64.8,4.47,17.4,3.63,56.3,4.36,,,52.7,4.28,36.0,4.10
Ca I,6102.72,1.88,-0.79,46.8,4.02,104.0,4.71,38.8,3.80,60.5,4.18,,,84.2,4.43,34.8,3.87
Ca I,6122.22,1.89,-0.32,72.8,3.90,164.0,5.09,69.4,3.73,102.5,4.26,30.2,3.37,128.5,4.57,104.0,4.36
Ca I,6162.17,1.90,-0.09,104.0,4.08,146.0,4.61,76.9,3.59,127.5,4.39,61.8,3.65,147.0,4.62,87.9,3.91
Ca I,6169.56,2.53,-0.48,,,57.0,4.59,10.4,3.61,23.7,4.06,,,37.4,4.28,,
Ca I,6439.08,2.52,0.47,,,136.5,4.64,55.5,3.52,84.1,3.97,26.3,3.23,116.5,4.36,73.9,3.89
Ca I,6493.79,2.52,-0.11,70.1,4.39,120.5,5.00,,,61.3,4.26,,,80.8,4.47,,
Sc II,5031.02,1.36,-0.40,40.0,0.53,,,44.8,0.28,61.5,0.80,,,73.0,0.99,52.2,0.73
Sc II,5526.79,1.77,0.03,45.5,0.64,,,38.1,0.23,63.2,0.85,,,69.0,0.97,,
Sc II,5657.88,1.51,-0.60,32.8,0.75,,,,,46.3,0.93,,,48.5,1.02,,
Ti I,4981.73,0.84,0.50,52.5,2.16,,,55.0,2.02,85.1,2.54,,,90.9,2.54,,
