Name,Species,l_[X/H],[X/H],e_[X/H]
PicII-503,Fe I,<,-4.63,
PicII-503,Ca I,,-5.2,0.435
PicII-503,C-H,,-1.44,0.38
PicII-503,C-N,<,-2.08
PicII-503,Mg I,<,-4.42,
PicII-503,Ba II,<,-3.84,
PicII-503,Sr II,<,-4.38,




