JINA_ID, Priority, Ref  , Reference    , Name                         , Simbad_Identifier             , NLTE, Ncap_key, C_key, MP_key, alpha_key, Loc, System       , Type, RA_hms       , DEC_dms      , RA_deg, DEC_deg, Vel        , Vel_bibcode, U_mag, B_mag , V_mag , R_mag , I_mag , J_mag , H_mag , K_mag , Teff, logg, Fe/H , Vmic, Li, Be, C, N, O, F, Na, Mg  , Al, Si, P, S, K, Ca, Sc   , Ti  , V, Cr  , Mn  , Fe  , Co, Ni  , Cu, Zn  , Ga, Ge, As, Se, Rb, Sr   , Y    , Zr, Nb, Mo, Ru, Rh, Pd, Ag, Cd, Sn, Te, Ba   , La, Ce, Pr, Nd, Sm, Eu   , Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu, Hf, W, Os, Ir, Pt, Au, Hg, Pb, Bi, Th, U, CaII, TiII, VII, CrII, MnII, FeII, Added_by, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
   6987,         , REI20, Reichert+2020, 2MASS J00593045-3336050      , 2MASS J00593045-3336050       ,     ,         ,      ,       ,          , DW , Sculptor     , RG  , 00:59:30.4429, -33:36:05.177,       ,        , 105.52     ,            ,      ,       , 17.947,       , 16.732, 15.84 , 15.6  , 15.09 , 4673, 1.21, -2.19,     ,   ,   ,  ,  ,  ,  ,   , 5.79,   ,   ,  ,  ,  ,   , 0.46 ,     ,  , 2.88,     , 5.31,   , 3.94,   ,     ,   ,   ,   ,   ,   ,      , -0.58,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , -0.77,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     , Yelland
   6988,         , REI20, Reichert+2020, 2MASS J00593048-3339041      , 2MASS J00593048-3339041       ,     ,         ,      ,       ,          , DW , Sculptor     , RG  , 00:59:30.4985, -33:39:04.087,       ,        , 131.927002 ,            ,      ,       , 17.981,       , 16.967, 15.98 , 15.48 , 15.26 , 4829, 1.3 , -2.05,     ,   ,   ,  ,  ,  ,  ,   , 5.94,   ,   ,  ,  ,  ,   , 0.85 , 0.21,  , 3.08,     , 5.45,   , 4.16,   , 2.65,   ,   ,   ,   ,   ,      , -0.19,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.05 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     , Yelland
   6989,         , REI20, Reichert+2020, 2MASS J00593500-3350557      , GB07 Scl93                    ,     ,         ,      ,       ,          , DW , Sculptor     , RG  , 00:59:35.0237, -33:50:55.932,       ,        , 119.89     ,            ,      ,       , 18.235,       , 17.184, 16.23 , 15.66 , 15.38 , 4699, 1.34, -1.36,     ,   ,   ,  ,  ,  ,  ,   , 6.59,   ,   ,  ,  ,  ,   ,      ,     ,  , 4   ,     , 6.14,   , 4.89,   , 3.64,   ,   ,   ,   ,   ,      ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.68 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     , Yelland
   6990,         , REI20, Reichert+2020, 2MASS J00593698-3330283      , GB07 Scl03                    ,     ,         ,      ,       ,          , DW , Sculptor     , RG  , 00:59:36.9963, -33:30:28.411,       ,        , 99.81      ,            ,      ,       , 17.706,       , 16.43 , 15.49 , 14.86 , 14.63 , 4409, 0.96, -1.53,     ,   ,   ,  ,  ,  ,  ,   , 6.32,   ,   ,  ,  ,  ,   , 1.35 , 0.15,  , 4.08, 3.38, 5.97,   , 4.45,   , 2.49,   ,   ,   ,   ,   ,      , 0.42 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1.08 ,   ,   ,   ,   ,   , -0.3 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     , Yelland
   6991,         , REI20, Reichert+2020, 2MASS J00593723-3337106      , GB07 Scl20                    ,     ,         ,      ,       ,          , DW , Sculptor     , RG  , 00:59:37.2296, -33:37:10.669,       ,        , 108.266998 ,            ,      ,       , 17.608,       , 16.339, 15.29 , 14.54 , 14.29 , 4332, 0.87, -1.06,     ,   ,   ,  ,  ,  ,  ,   , 6.49,   ,   ,  ,  ,  ,   , 1.69 , 0.17,  , 4.54, 3.94, 6.44,   , 4.91,   , 3.11,   ,   ,   ,   ,   ,      , 0.33 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 1.03 ,   ,   ,   ,   ,   , -0.18,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     , Yelland
   6992,         , REI20, Reichert+2020, 2MASS J00593757-3343336      , GB07 Scl56                    ,     ,         ,      ,       ,          , DW , Sculptor     , RG  , 00:59:37.5751, -33:43:33.604,       ,        , 119.11     ,            ,      ,       , 18.012,       , 16.734, 15.97 , 15.19 , 14.96 , 4549, 1.17, -1.23,     ,   ,   ,  ,  ,  ,  ,   , 6.18,   ,   ,  ,  ,  ,   , 1.59 , 0.21,  , 4.51, 4   , 6.27,   , 4.9 ,   , 2.58,   ,   ,   ,   ,   ,      , 0.36 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.65 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     , Yelland
   6993,         , REI20, Reichert+2020, 2MASS J00593811-3335080      , GB07 Scl08                    ,     ,         ,      ,       ,          , DW , Sculptor     , RG  , 00:59:38.1221, -33:35:08.118,       ,        , 118.431999 ,            ,      ,       , 17.537,       , 16.157, 15.34 , 14.52 , 14.63 , 4507, 0.95, -1.31,     ,   ,   ,  ,  ,  ,  ,   , 6.37,   ,   ,  ,  ,  ,   , 1.56 , 0.16,  , 4.46, 3.76, 6.19,   , 4.75,   , 2.29,   ,   ,   ,   ,   ,      , 0.12 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.87 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     , Yelland
   6994,         , REI20, Reichert+2020, 2MASS J00594045-3335539      , GB07 Scl10                    ,     ,         ,      ,       ,          , DW , Sculptor     , RG  , 00:59:40.4694, -33:35:53.980,       ,        , 101.35     ,            ,      ,       , 17.699,       , 16.427, 15.62 , 15.02 , 14.9  , 4477, 1   , -2.19,     ,   ,   ,  ,  ,  ,  ,   , 5.85,   ,   ,  ,  ,  ,   , 0.76 ,     ,  , 3.68,     , 5.31,   , 3.88,   ,     ,   ,   ,   ,   ,   ,      , -0.29,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , -0.2 ,   ,   ,   ,   ,   , -1.15,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     , Yelland
   6995,         , REI20, Reichert+2020, 2MASS J00594140-3338470      , GB07 Scl25                    ,     ,         ,      ,       ,          , DW , Sculptor     , RG  , 00:59:41.4061, -33:38:47.128,       ,        , 114.189003 ,            ,      ,       , 17.615,       , 16.387, 15.35 , 14.64 , 14.45 , 4435, 0.94, -1.18,     ,   ,   ,  ,  ,  ,  ,   , 6.57,   ,   ,  ,  ,  ,   , 1.5  , 0.15,  , 4.54, 3.96, 6.32,   , 4.76,   , 2.82,   ,   ,   ,   ,   ,      , 0.69 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.91 ,   ,   ,   ,   ,   , -0.43,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     , Yelland
   6996,         , REI20, Reichert+2020, 2MASS J00594258-3342182      , SCMS 1433                     ,     ,         ,      ,       ,          , DW , Sculptor     , RG  , 00:59:42.5847, -33:42:18.221,       ,        , 103.196999 ,            ,      , 18.95 , 17.563,       , 16.15 , 15.15 , 14.5  , 14.36 , 4397, 0.89, -1.06,     ,   ,   ,  ,  ,  ,  ,   , 6.33,   ,   ,  ,  ,  ,   , 1.52 , 0.19,  , 4.78, 4.07, 6.44,   , 4.84,   , 2.91,   ,   ,   ,   ,   ,      , 0.52 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.76 ,   ,   ,   ,   ,   , -0.2 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     , Yelland
   6997,         , REI20, Reichert+2020, 2MASS J00594490-3344350      , GB07 Scl65                    ,     ,         ,      ,       ,          , DW , Sculptor     , RG  , 00:59:44.9121, -33:44:35.086,       ,        , 101.079002 ,            ,      ,       , 18.126,       , 16.829, 16.14 , 15.23 , 14.99 , 4651, 1.27, -0.93,     ,   ,   ,  ,  ,  ,  ,   , 6.18,   ,   ,  ,  ,  ,   , 1.47 , 0.21,  , 4.51, 4.36, 6.57,   , 5.06,   ,     ,   ,   ,   ,   ,   ,      , 0.69 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.73 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     , Yelland
   6998,         , REI20, Reichert+2020, 2MASS J00594529-3343540      , 2MASS J00594529-3343540       ,     ,         ,      ,       ,          , DW , Sculptor     , RG  , 00:59:45.3196, -33:43:53.844,       ,        , 119.79     ,            ,      , 19.01 , 17.913,       , 16.689, 16.0  , 15.51 , 15.29 , 4577, 1.14, -1.79,     ,   ,   ,  ,  ,  ,  ,   , 6.07,   ,   ,  ,  ,  ,   , 0.87 , 0.2 ,  , 2.96, 3.36, 5.71,   , 4.18,   , 2.45,   ,   ,   ,   ,   ,      , 0.21 ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   , 0.28 ,   ,   ,   ,   ,   ,      ,   ,   ,   ,   ,   ,   ,   ,   ,   ,  ,   ,   ,   ,   ,   ,   ,   ,   ,  ,     ,     ,    ,     ,     ,     , Yelland
