Name,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,Fe/H,e_Fe/H
TucII-301,4864,241,1.60,0.42,1.73,0.27,-3.41,0.23
TucII-303,5071,183,1.55,0.81,2.24,0.23,-2.74,0.17
TucII-305,4810,226,1.60,0.31,2.30,0.26,-3.59,0.26
TucII-306,4855,215,1.55,0.46,2.04,0.23,-3.26,0.22
TucII-309,4900,160,1.75,0.76,2.20,0.22,-1.93,0.22
