Name,Species,N,e_stat,e_sys_[X/H],e_tot_[X/H],e_sys_[X/Fe],e_tot_[X/Fe]
TucII-301,C-H,2,0.23,0.55,0.60,0.30,0.38
TucII-301,Na I,2,0.29,0.26,0.39,0.13,0.32
TucII-301,Mg I,4,0.23,0.35,0.42,0.14,0.27
TucII-301,Al I,2,,,,,
TucII-301,Si I,1,,,,,
TucII-301,Ca I,3,0.23,0.39,0.45,0.25,0.34
TucII-301,Sc II,4,0.23,0.30,0.38,0.23,0.33
TucII-301,Ti II,10,0.28,0.24,0.37,0.11,0.30
TucII-301,Cr I,2,0.32,0.34,0.47,0.04,0.32
TucII-301,Mn I,2,0.23,0.36,0.43,0.16,0.28
TucII-301,Fe I,31,0.23,0.35,0.42,,
TucII-301,Fe II,2,0.23,0.16,0.28,0.02,0.23
TucII-301,Sr II,1,,,,,
TucII-301,Ba II,1,,,,,
TucII-301,Eu I,1,,,,,
TucII-303,C-H,1,,,,,
TucII-303,Na I,2,0.17,0.21,0.27,0.06,0.18
TucII-303,Mg I,2,0.17,0.34,0.38,0.21,0.27
TucII-303,Al I,1,,,,,
TucII-303,Si I,1,,,,,
TucII-303,Ca I,5,0.17,0.19,0.25,0.11,0.20
TucII-303,Sc II,2,0.23,0.67,0.71,0.49,0.54
TucII-303,Ti II,9,0.17,0.27,0.32,0.06,0.18
TucII-303,Cr I,3,0.26,0.31,0.40,0.11,0.28
TucII-303,Mn I,3,0.45,0.35,0.57,0.25,0.51
TucII-303,Fe I,50,0.17,0.23,0.29,,
TucII-303,Fe II,7,0.17,0.26,0.31,0.03,0.17
TucII-303,Sr II,1,0.65,0.31,0.72,0.21,0.68
TucII-303,Ba II,1,,,,,
TucII-303,Eu I,1,,,,,
TucII-305,C-H,2,0.26,0.44,0.51,0.25,0.36
TucII-305,Na I,2,0.26,0.18,0.32,0.05,0.26
TucII-305,Mg I,3,0.26,0.17,0.31,0.09,0.28
TucII-305,Al I,2,,,,,
TucII-305,Si I,1,,,,,
TucII-305,Ca I,2,0.42,0.19,0.46,0.04,0.42
TucII-305,Sc II,4,0.26,0.12,0.29,0.10,0.28
TucII-305,Ti II,11,0.26,0.11,0.28,0.09,0.28
TucII-305,Cr I,2,0.26,0.22,0.34,0.03,0.26
TucII-305,Mn I,3,0.26,0.35,0.44,0.20,0.33
TucII-305,Fe I,41,0.26,0.23,0.35,,
TucII-305,Fe II,2,0.26,0.09,0.28,0.05,0.26
TucII-305,Ni I,1,0.26,0.20,0.33,0.06,0.27
TucII-305,Sr II,1,,,,,
TucII-305,Ba II,1,,,,,
TucII-305,Eu I,1,,,,,
TucII-306,C-H,2,0.22,0.51,0.56,0.27,0.35
TucII-306,Na I,2,0.22,0.25,0.33,0.06,0.23
TucII-306,Mg I,6,0.22,0.30,0.37,0.21,0.30
TucII-306,Al I,2,,,,,
TucII-306,Si I,2,,,,,
TucII-306,Ca I,4,0.22,0.20,0.30,0.09,0.24
TucII-306,Sc II,5,0.22,0.22,0.31,0.12,0.25
TucII-306,Ti II,15,0.27,0.18,0.32,0.08,0.28
TucII-306,Cr I,3,0.22,0.30,0.37,0.03,0.22
TucII-306,Mn I,2,0.22,0.79,0.82,0.65,0.69
TucII-306,Fe I,59,0.22,0.28,0.36,,
TucII-306,Fe II,4,0.22,0.14,0.26,0.03,0.22
TucII-306,Co I,2,0.42,0.30,0.52,0.06,0.42
TucII-306,Sr II,1,0.30,0.22,0.37,0.12,0.32
TucII-306,Ba II,1,,,,,
TucII-306,Eu I,1,,,,,
TucII-309,C-H,2,0.22,0.24,0.33,0.20,0.30
TucII-309,Na I,2,0.22,0.27,0.35,0.11,0.25
TucII-309,Mg I,5,0.22,0.23,0.32,0.11,0.25
TucII-309,Al I,1,,,,,
TucII-309,Si I,2,,,,,
TucII-309,Ca I,15,0.22,0.18,0.28,0.10,0.24
TucII-309,Sc II,2,0.33,0.51,0.61,0.35,0.48
TucII-309,Ti I,6,0.22,0.27,0.35,0.05,0.23
TucII-309,Ti II,18,0.24,0.25,0.35,0.07,0.25
TucII-309,Cr II,1,0.40,0.25,0.47,0.07,0.41
TucII-309,Cr I,13,0.23,0.25,0.34,0.01,0.23
TucII-309,Mn I,3,0.22,0.48,0.53,0.24,0.33
TucII-309,Fe I,126,0.22,0.25,0.33,,
TucII-309,Fe II,10,0.33,0.26,0.42,0.05,0.33
TucII-309,Sr II,1,0.50,0.43,0.66,0.50,0.71
TucII-309,Ba II,1,,,,,
TucII-309,Eu I,1,,,,,
