J064211.9-650134,6074,4.14,-0.38,1.2,0.05,0.13,0.06,-0.04,0.05
J070028.0-270512,4466,1.04,-1.55,2.2,0.39,0.4,0.23,0.07,0.31
J070333.5-291748,4473,1.04,-1.93,1.9,0.43,0.37,0.27,0.12,0.35
J070648.0-324056,5287,2.33,-1.07,1.8,0.39,0.41,0.23,0.1,0.3
J073554.7-351938,4799,2.8,-0.63,1.5,0.04,0.08,0.12,0.02,0.16
J081343.6-233252,4851,1.54,-1.57,2.0,0.24,0.25,0.2,0.11,0.26
J082838.7-482652,4859,1.66,-1.77,1.8,0.31,0.32,0.23,0.09,0.24
J085934.2-053404,4790,3.0,-0.86,1.8,0.34,0.26,0.22,0.19,0.18
J090722.4-283415,5279,3.33,-1.7,1.2,0.26,0.43,0.31,0.22,0.35
J090922.5-272207,4818,2.37,-0.88,1.4,0.37,0.29,0.25,0.19,0.27
J093101.0-030405,6067,4.03,-1.51,1.0,0.29,0.37,0.4,0.29,0.4
J093121.3-332635,4943,2.29,-1.49,1.6,0.33,0.31,0.33,0.19,0.33
J093619.9-205314,4533,1.1,-1.48,1.9,0.43,0.41,0.23,0.09,0.31
J100310.2-203704,4929,2.21,-1.25,1.5,0.28,0.27,0.29,0.16,0.22
J100334.4-170612,6401,3.97,-0.54,1.7,0.14,0.22,0.18,0.2,0.16
J100603.1-114029,5783,4.09,-1.01,1.0,0.39,0.41,0.29,0.23,0.26
J101915.7-192446,4356,1.31,-1.26,1.6,0.53,0.44,0.34,0.24,0.38
J102436.9-063029,4571,1.56,-1.2,1.6,0.44,0.35,0.31,0.18,0.34
J102818.1-280723,4346,1.07,-1.56,1.8,0.33,0.39,0.33,0.1,0.35
J103742.2-104232,4475,0.95,-1.4,1.9,0.52,0.37,0.21,0.07,0.29
J103748.8-350618,4774,1.67,-1.86,1.9,0.28,0.33,0.23,0.13,0.28
J104034.8-112021,4493,1.49,-1.01,1.7,0.14,0.16,0.08,-0.06,0.18
J104610.9-023806,5141,2.0,-1.06,1.8,0.38,0.36,0.17,0.07,0.22
J104943.6-092646,4695,1.96,-1.11,1.5,0.45,0.4,0.31,0.11,0.39
J105252.9-262048,4334,0.87,-1.38,1.6,0.33,0.21,0.23,-0.02,0.19
J105642.1-273735,5970,4.16,-0.84,1.0,0.14,0.3,0.17,0.01,0.04
J105811.4-263418,4376,0.87,-1.88,1.9,0.21,0.19,0.27,0.06,0.39
J110248.5-030125,5051,2.09,-1.98,1.4,0.36,0.41,0.31,0.15,0.19
J110416.2-124129,5886,4.21,-0.54,0.9,0.11,0.16,0.07,-0.06,0.0
J110708.8-265825,5481,2.19,-1.47,2.2,0.31,0.34,0.23,0.16,0.22
J110746.5-033433,5943,4.04,-0.65,1.0,0.11,0.2,0.14,-0.03,0.06
J111447.8-405219,4968,1.46,-2.43,2.4,0.32,-99.99,0.32,0.25,0.23
J112344.9-290327,6398,4.18,-0.39,1.6,0.07,0.17,0.08,-0.08,0.03
J112651.4-180530,5198,2.42,-2.21,1.4,0.23,0.35,0.24,0.06,0.2
J113110.2-154315,6496,3.9,-0.56,1.6,0.2,0.22,0.1,-0.06,0.09
J113635.0-083517,4512,1.86,-0.94,1.5,0.32,0.36,0.16,0.19,0.07
J114029.4-222107,4831,1.45,-1.82,1.9,0.26,0.21,0.18,0.1,0.28
J114200.1-161729,5943,4.05,-0.98,1.2,0.3,0.27,0.23,0.14,0.2
J115337.3-020036,5237,2.79,-2.14,1.4,0.36,0.37,0.3,0.18,0.35
J115408.3-125455,5031,1.53,-1.76,2.1,0.33,0.45,0.24,0.14,0.26
J115824.2-130520,5815,3.95,-0.65,1.2,0.1,0.18,0.08,-0.1,0.06
J120213.1-111220,5092,2.71,-1.34,1.2,0.34,0.41,0.31,0.13,0.29
J120244.8-171201,4326,1.46,-0.89,1.6,0.47,0.34,0.14,0.23,0.23
J120324.9-353405,4967,2.18,-1.51,1.6,0.34,0.36,0.32,0.18,0.33
J120920.8-203636,5008,2.48,-1.46,1.3,0.43,0.37,0.36,0.17,0.31
J121231.9-334428,6495,3.9,-0.75,2.0,0.13,0.16,0.14,0.01,0.07
J122239.1-422157,4780,1.44,-1.56,2.1,0.36,0.38,0.22,0.11,0.26
J123050.9-451108,4335,0.95,-1.42,1.7,0.3,0.26,0.28,0.05,0.31
J123824.6-292725,5838,4.01,-0.87,0.9,0.33,0.37,0.28,0.12,0.25
J123859.7-025609,4826,1.81,-1.88,1.8,0.34,0.3,0.25,0.16,0.35
J124244.9-131503,6020,3.88,-1.52,1.1,0.25,0.24,0.37,0.28,0.39
J124307.9-140657,5179,2.18,-1.45,1.7,0.32,0.39,0.35,0.15,0.26
J125431.7-425303,4657,1.59,-1.25,1.3,0.25,0.23,0.32,0.13,0.2
J125815.0-402633,5067,2.62,-1.23,1.2,0.31,0.35,0.34,0.14,0.27
J130043.2-091049,5243,2.2,-1.54,1.6,0.33,0.42,0.4,0.14,0.28
J131013.0-334236,4537,1.15,-1.94,2.0,0.28,0.34,0.28,0.17,0.31
J131951.5-144755,4336,1.07,-1.26,1.6,0.46,0.39,0.37,0.17,0.29
J132157.2-241639,4267,0.84,-1.35,1.8,0.5,0.37,0.34,0.16,0.36
J132302.8-174949,4551,1.15,-1.12,1.8,0.44,0.37,0.17,0.08,0.18
J132414.3-180620,4924,1.81,-2.2,1.7,0.18,0.2,0.12,0.0,0.11
J132604.5-152502,4729,1.62,-1.74,1.6,0.23,0.25,0.22,0.06,0.25
J132635.5-280343,4365,1.4,-1.11,1.6,0.54,0.4,0.28,0.25,0.28
J133403.6-122545,5283,2.41,-1.34,1.7,0.25,0.3,0.28,0.13,0.28
J134340.7-112620,4754,1.39,-1.7,2.1,0.36,0.37,0.22,0.16,0.27
J135125.0-470627,4294,1.01,-1.41,1.6,0.46,0.31,0.37,0.2,0.44
J140206.8-135654,4798,2.36,-0.74,1.3,0.18,0.23,0.14,0.0,0.14
J140722.5-295446,5025,2.52,-1.43,1.4,0.44,0.45,0.34,0.19,0.31
J140741.7-175143,5172,2.29,-0.99,1.8,0.43,0.37,0.17,0.07,0.22
J140908.9-281336,6328,3.98,-0.59,1.6,0.11,0.18,0.17,0.01,0.07
J141231.4-050201,4989,2.03,-2.23,1.6,0.19,0.32,0.26,0.12,0.21
J141810.5-333452,4246,0.93,-1.24,1.5,0.29,0.32,0.23,0.04,0.17
J141832.4-081824,4260,0.82,-1.39,2.2,0.4,0.36,0.2,0.15,0.31
J142522.3-114202,5051,2.93,-1.13,1.0,0.38,0.41,0.31,0.16,0.29
J142546.2-154629,4379,0.95,-1.97,2.0,0.5,0.33,0.15,0.02,0.2
J142839.0-204459,4818,1.85,-1.6,1.8,0.35,0.38,0.29,0.15,0.31
J142911.4-053131,5635,4.26,-0.85,0.5,0.34,0.31,0.25,0.16,0.18
J144548.8-165433,5262,2.16,-1.65,2.0,0.28,0.2,0.21,0.11,0.28
J144603.1-011132,4545,0.97,-1.65,2.0,0.49,0.46,0.29,0.08,0.26
J144614.2-123902,4480,1.0,-1.99,1.8,0.34,0.28,0.3,0.06,0.37
J144747.0-143827,4882,2.11,-1.11,1.2,0.29,0.17,0.26,0.13,0.29
J145446.0-251541,4928,2.51,-1.14,1.0,0.37,0.35,0.32,0.15,0.25
J150031.0-122656,5900,4.03,-0.89,1.0,0.39,0.5,0.3,0.22,0.34
J150212.0-093319,4337,1.23,-1.26,1.6,0.46,0.42,0.32,0.22,0.35
J150223.7-194824,4354,0.87,-1.77,2.1,0.33,0.34,0.22,0.05,0.29
J150436.8-123108,5782,2.09,-1.32,2.3,0.5,0.61,0.3,0.24,0.26
J150505.2-035039,4928,2.37,-1.07,1.4,0.27,0.26,0.17,0.03,0.21
J150628.6-142803,5488,3.52,-1.92,0.9,0.25,0.35,0.22,0.22,0.34
J150740.0-212242,4436,2.03,-0.85,1.5,0.29,0.38,0.04,0.01,0.19
J150824.0-125620,5227,2.07,-0.91,1.7,0.44,0.39,0.21,0.07,0.23
J151446.1-062842,5162,2.17,-0.94,1.7,0.38,0.36,0.17,0.1,0.2
J152033.7-094304,5082,2.54,-0.63,1.4,0.2,0.21,0.08,0.01,0.23
J152141.1-155317,4389,1.13,-1.37,1.5,0.44,0.41,0.44,0.17,0.37
J152423.2-092207,4340,0.81,-1.29,1.9,0.46,0.45,0.25,0.04,0.28
J155803.8-061632,5702,3.96,-0.79,0.6,0.25,0.37,0.22,0.13,0.23
J160433.6-123549,4521,1.42,-1.06,1.5,0.3,0.37,0.27,0.14,0.38
J161527.2-141858,4645,2.07,-0.87,1.3,0.4,0.37,0.24,0.08,0.29
J161637.1-143139,6248,3.78,-0.5,1.4,0.03,0.24,0.13,-0.01,0.0
J162128.4-114017,5730,4.0,-0.92,0.5,0.27,0.19,0.22,0.08,0.08
J162230.6-062843,5001,2.31,-0.8,1.5,0.34,0.39,0.25,0.09,0.33
J162849.6-033521,5996,4.04,-0.57,1.1,0.04,0.22,0.08,-0.1,0.03
J165253.6-011557,5973,4.04,-0.64,0.8,0.15,0.19,0.13,0.07,0.1
J174311.3-804846,4043,1.11,-0.83,1.6,0.25,0.39,0.08,0.1,0.21
J180811.5-802007,4647,1.39,-1.18,1.5,0.24,0.26,0.19,0.01,0.28
J185443.3-822504,5767,4.03,-1.15,0.7,0.19,0.33,0.26,0.02,0.03
J185501.5-675744,4195,0.77,-1.38,2.3,0.43,0.38,0.15,0.04,0.23
J190708.1-635829,4804,1.88,-1.63,1.7,0.26,0.25,0.25,0.12,0.36
J191144.7-600208,4387,0.84,-1.6,2.0,0.4,0.36,0.24,0.01,0.25
J191258.2-790347,4941,2.45,-1.35,1.3,0.34,0.35,0.37,0.22,0.32
J191618.2-554445,4438,0.83,-2.18,2.1,0.38,-99.99,0.2,0.05,0.21
J192145.9-712436,4896,1.92,-1.85,1.6,0.32,0.36,0.32,0.12,0.26
J192334.3-834540,6265,4.08,-0.57,1.3,0.15,0.19,0.12,-0.02,0.08
J192406.6-693706,4579,1.76,-0.92,1.4,0.21,0.23,0.21,0.03,0.2
J192916.9-511613,4357,0.87,-1.75,1.7,0.41,0.38,0.32,0.07,0.31
J193338.2-595902,4920,1.41,-2.03,2.1,0.31,0.28,0.26,0.11,0.25
J193357.0-582141,4457,0.85,-1.65,1.8,0.39,0.37,0.24,0.05,0.24
J193443.1-462130,4806,1.69,-1.37,1.8,0.49,0.48,0.33,0.16,0.2
J194550.6-392630,4917,1.65,-2.58,1.7,0.47,0.37,0.32,0.28,0.3
J194552.6-504608,4297,0.91,-1.49,1.7,0.43,0.36,0.35,0.12,0.32
J194811.5-483511,4048,0.71,-1.28,1.9,0.27,0.26,0.12,0.0,0.29
J194850.3-344917,6158,3.8,-0.54,1.4,0.11,0.23,0.18,-0.07,-0.03
J194952.7-641309,4717,1.37,-1.63,2.0,0.33,0.37,0.22,0.09,0.31
J195221.4-695417,4914,1.72,-1.7,1.5,0.34,0.35,0.28,0.05,0.14
J195244.9-600813,5010,1.96,-1.46,1.7,0.41,0.34,0.3,0.14,0.3
J195313.7-531456,5691,4.29,-1.03,0.6,0.3,0.38,0.3,0.15,0.21
J195716.7-335026,4706,1.33,-1.64,1.8,0.1,0.26,0.21,0.0,0.14
J200150.5-310651,4398,0.81,-1.6,2.1,0.69,0.38,0.24,-0.03,0.23
J200420.2-270110,5203,2.74,-2.03,1.3,0.31,0.24,0.25,0.14,0.3
J200728.5-495434,4448,0.97,-2.13,2.1,0.38,0.31,0.25,0.12,0.33
J201031.9-355854,5250,1.8,-2.19,2.0,0.36,0.54,0.36,0.25,0.41
