Star,[Eu/Fe],[Fe/H],log delta _EuFe,log delta _EuFe,log delta _EuFe,log delta _EuFe,log delta _EuFe,
,,,$\mathrm{log}\varepsilon $(Ru/Zr),$\mathrm{log}\varepsilon $(Rh/Zr),$\mathrm{log}\varepsilon $(Pd/Zr),$\mathrm{log}\varepsilon $(Ag/Zr),combined,
HD 107752,+0.31,-2.85,+0.78${}_{-1.07}^{+1.13}$,cdots,+0.70${}_{-0.90}^{+0.93}$,cdots,+0.75${}_{-0.72}^{+0.76}$,
CS 22966-057,+0.29,-2.62,-2.59${}_{-1.63}^{+1.20}$,cdots,-1.15${}_{-1.15}^{+1.03}$,cdots,-1.93${}_{-1.03}^{+0.84}$,
HD 126238,+0.22,-1.93,+0.25${}_{-1.21}^{+1.22}$,-0.17${}_{-1.19}^{+1.14}$,+0.29${}_{-1.10}^{+1.11}$,+0.22${}_{-1.56}^{+1.54}$,+0.14${}_{-0.67}^{+0.67}$,
HD 2796,+0.17,-2.47,-0.14${}_{-1.17}^{+1.14}$,cdots,-0.29${}_{-1.09}^{+1.03}$,cdots,-0.23${}_{-0.81}^{+0.79}$,
CS 29518-051,+0.15,-2.69,+1.00${}_{-1.11}^{+1.24}$,cdots,+0.22${}_{-1.05}^{+1.06}$,cdots,+0.62${}_{-0.79}^{+0.84}$,
HD 85773,+0.02,-2.62,+0.60${}_{-1.35}^{+1.43}$,cdots,+0.16${}_{-1.09}^{+1.10}$,cdots,+0.40${}_{-0.90}^{+0.92}$,
HD 128279,-0.02,-2.46,-0.06${}_{-1.14}^{+1.14}$,cdots,+0.69${}_{-1.22}^{+1.30}$,cdots,+0.32${}_{-0.86}^{+0.89}$,
HD 110184,-0.03,-2.52,+0.66${}_{-1.18}^{+1.27}$,cdots,+0.50${}_{-1.02}^{+1.07}$,cdots,+0.60${}_{-0.80}^{+0.86}$,
CS 22873-055,-0.19,-2.99,cdots,cdots,-1.25${}_{-1.14}^{+1.01}$,cdots,-1.25${}_{-1.14}^{+1.01}$,
BD-18deg5550,-0.22,-3.06,cdots,cdots,-2.04${}_{-1.20}^{+1.04}$,cdots,-2.04${}_{-1.20}^{+1.04}$,
CS 22873-166,-0.32,-2.97,+1.18${}_{-1.12}^{+1.34}$,cdots,-0.00${}_{-1.04}^{+1.07}$,cdots,+0.62${}_{-0.80}^{+0.87}$,
HD 88609,-0.33,-3.07,-0.06${}_{-0.83}^{+0.86}$,cdots,+0.06${}_{-0.75}^{+0.78}$,+0.03${}_{-0.70}^{+0.74}$,+0.02${}_{-0.46}^{+0.48}$,
HD 122563,-0.52,-2.77,-0.64${}_{-0.90}^{+0.88}$,cdots,-0.27${}_{-0.80}^{+0.81}$,-0.82${}_{-0.77}^{+0.75}$,-0.58${}_{-0.50}^{+0.49}$,
