System,RA_deg,e_RA_deg,DEC_deg,e_DEC_deg,(m-M)_mag,e_(m-M)_mag,Dsun_kpc,e_Dsun_kpc,rh_arcmin,e_rh_arcmin,rh_pc,e_rh_pc,1-b/a,e_1-b/a,PA,e_PA,VMag,e_VMag,[Fe/H],e_[Fe/H],Age,e_Age
Carina II,114.1066,0.0070,-57.9991,0.0100,17.79,0.05,36.2,0.6,8.69,0.75,91,8,0.34,0.07,170,9,-4.5,0.1,- 1.8,0.1,9.9,0.4
Carina III,114.6298,0.0060,-57.8997,0.0080,17.22,0.10,27.8,0.6,3.75,1.00,30,9,0.55,0.18,150,14,-2.4,0.2,- 1.8,0.2,9.7,0.8
