JINA_ID, Priority, Ref   , Reference              , Name                         , Simbad_Identifier                 , NLTE, Ncap_key, C_key, MP_key, alpha_key, Loc, System           , Type, RA_hms       , DEC_dms      , RA_deg  , DEC_deg , Vel        , Vel_bibcode        , U_mag , B_mag , V_mag , R_mag , I_mag  , J_mag , H_mag , K_mag , Teff     , logg     , Fe/H , Vmic, Li     , Be   , C    , N    , O     , F    , Na   , Mg   , Al   , Si   , P    , S    , K     , Ca   , Sc    , Ti    , V     , Cr    , Mn    , Fe   , Co   , Ni    , Cu    , Zn    , Ga   , Ge   , As    , Se    , Rb   , Sr    , Y      , Zr    , Nb    , Mo    , Ru    , Rh    , Pd    , Ag    , Cd    , Sn   , Te    , Ba    , La     , Ce     , Pr    , Nd     , Sm     , Eu     , Gd     , Tb    , Dy    , Ho    , Er    , Tm    , Yb    , Lu    , Hf    , W     , Os    , Ir    , Pt    , Au    , Hg   , Pb    , Bi    , Th    , U     , CaII , TiII  , VII   , CrII, MnII , FeII , Added_by
   2750,      1.0, NOR17b, Norris+2017b           , MKV0842                      , [LHT2012] MKV0842                 ,     ,         ,      , MP    ,          , DW , Carina           , RG  , 06:40:22.51  , -50:59:02.04 , 100.0938, -50.9839,            ,                    ,       , 20.02 , 19.08 ,       , 17.96  , 17.14 , 16.61 , 16.44 , 4726.0   , 1.56     , -1.38, 2.4 ,        ,      ,      ,      ,       ,      ,      , 6.51 ,      ,      ,      ,      ,       , 5.45 ,       , 3.82  ,       , 3.96  ,       , 6.11 ,      ,       ,       ,       ,      ,      ,       ,       ,      ,       ,        ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       , 0.13  ,        ,        ,       ,        ,        ,        ,        ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       ,       ,       ,       ,      ,       ,       ,     ,      , 6.61 , Ji
   2751,      1.0, NOR17b, Norris+2017b           , CC10194                      , [NYV2017] CC10194                 ,     ,         ,      , MP    ,          , DW , Carina           , RG  , 06:40:30.82  , -50:59:15.00 , 100.1284, -50.9875,            ,                    ,       , 19.05 , 17.76 ,       , 16.38  , 15.38 , 14.77 , 14.62 , 4352.0   , 0.8      , -1.7 , 2.05,        ,      ,      ,      , 7.44  ,      , 4.51 , 6.33 ,      , 6.27 ,      ,      ,       , 4.93 , 1.46  , 3.75  , 2.26  , 4.22  , 3.11  , 6.08 ,      , 4.55  ,       ,       ,      ,      ,       ,       ,      ,       ,        ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       , 0.89  , -0.08  ,        ,       , -0.31  ,        ,        ,        ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       ,       ,       ,       ,      ,       ,       ,     ,      , 6.07 , Ji
   2752,      1.0, NOR17b, Norris+2017b           , MKV0677                      , [LHT2012] MKV0677                 ,     ,         ,      , MP    ,          , DW , Carina           , RG  , 06:40:31.13  , -50:55:24.60 , 100.1297, -50.9235,            ,                    ,       , 19.05 , 17.76 ,       , 16.38  , 15.4  , 14.79 , 14.64 , 4372.0   , 0.81     , -1.66, 2.15,        ,      ,      ,      ,       ,      ,      , 6.27 ,      ,      ,      ,      ,       , 4.8  ,       , 3.53  ,       , 4.17  , 3.36  , 5.84 ,      ,       ,       ,       ,      ,      ,       ,       ,      ,       ,        ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       , 0.47  ,        ,        ,       ,        ,        ,        ,        ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       ,       ,       ,       ,      ,       ,       ,     ,      , 6.02 , Ji
   2753,      1.0, NOR17b, Norris+2017b           , MKV0628                      , [LHT2012] MKV0628                 ,     ,         ,      , MP    ,          , DW , Carina           , RG  , 06:40:35.38  , -50:54:07.56 , 100.1474, -50.9021,            ,                    ,       , 19.43 , 18.25 ,       , 16.94  , 16.01 , 15.4  , 15.22 , 4429.0   , 1.05     , -1.69, 2.35,        ,      ,      ,      ,       ,      ,      , 6.3  ,      ,      ,      ,      ,       , 4.72 ,       , 3.49  ,       , 3.96  ,       , 5.79 ,      ,       ,       ,       ,      ,      ,       ,       ,      ,       ,        ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       , 0.4   ,        ,        ,       ,        ,        ,        ,        ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       ,       ,       ,       ,      ,       ,       ,     ,      , 6.14 , Ji
   2754,      1.0, NOR17b, Norris+2017b           , MKV0640                      , [LHT2012] MKV0640                 ,     ,         ,      , MP    ,          , DW , Carina           , RG  , 06:40:40.82  , -50:54:29.16 , 100.1701, -50.9081,            ,                    ,       , 19.52 , 18.32 ,       , 17.06  , 16.12 , 15.55 , 15.38 , 4473.0   , 1.1      , -1.85, 2.5 ,        ,      ,      ,      ,       ,      ,      , 6.09 ,      ,      ,      ,      ,       , 4.68 , 1.82  , 3.59  ,       , 3.95  , 3.42  , 5.65 ,      ,       ,       ,       ,      ,      ,       ,       ,      ,       ,        ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       , 0.67  , 0.34   ,        ,       ,        ,        ,        ,        ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       ,       ,       ,       ,      ,       ,       ,     ,      , 5.97 , Ji
   2755,      1.0, NOR17b, Norris+2017b           , MKV0914                      , [LHT2012] MKV0914                 ,     ,         ,      , VMP   ,          , DW , Carina           , RG  , 06:40:42.48  , -51:00:42.84 , 100.177 , -51.0119,            ,                    ,       , 19.36 , 18.26 ,       , 16.98  , 16.07 , 15.55 , 15.39 , 4551.0   , 1.12     , -2.07, 1.95,        ,      ,      ,      ,       ,      ,      , 5.93 ,      ,      ,      ,      ,       , 4.47 ,       , 2.94  ,       , 3.09  ,       , 5.41 ,      ,       ,       ,       ,      ,      ,       ,       ,      ,       ,        ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       , -0.35 ,        ,        ,       ,        ,        ,        ,        ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       ,       ,       ,       ,      ,       ,       ,     ,      , 5.4  , Ji
   2756,      1.0, NOR17b, Norris+2017b           , MKV0925                      , [LHT2012] MKV0925                 ,     ,         ,      , MP    ,          , DW , Carina           , RG  , 06:40:43.18  , -51:01:06.60 , 100.1799, -51.0185,            ,                    ,       , 19.7  , 18.69 ,       , 17.51  , 16.62 , 16.14 , 16.04 , 4702.0   , 1.39     , -1.34, 1.7 ,        ,      ,      ,      ,       ,      ,      , 6.87 ,      ,      ,      ,      ,       , 5.56 ,       , 4.5   ,       , 4     ,       , 6.15 ,      ,       ,       ,       ,      ,      ,       ,       ,      ,       ,        ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       , 0.89  ,        ,        ,       ,        ,        ,        ,        ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       ,       ,       ,       ,      ,       ,       ,     ,      , 6.27 , Ji
   2757,      1.0, NOR17b, Norris+2017b           , Car-7002                     , Car-7002                          ,     ,         ,      , VMP   ,          , DW , Carina           , RG  , 06:40:49.15  , -51:00:32.76 , 100.2048, -51.0091,            ,                    ,       , 19.3  , 18.33 ,       , 17.15  , 16.31 , 15.79 , 15.66 , 4708.0   , 1.23     , -2.67, 2.65,        ,      ,      ,      ,       ,      ,      , 4.91 ,      ,      ,      ,      ,       , 3.64 ,       , 2.72  ,       ,       ,       , 4.82 ,      ,       ,       ,       ,      ,      ,       ,       ,      ,       ,        ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       , -1.34 ,        ,        ,       ,        ,        ,        ,        ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       ,       ,       ,       ,      ,       ,       ,     ,      ,      , Ji
   2758,      1.0, NOR17b, Norris+2017b           , MKV0812                      , [LHT2012] MKV0812                 ,     ,         ,      , SUN   ,          , DW , Carina           , RG  , 06:40:51.62  , -50:58:21.72 , 100.2151, -50.9727,            ,                    ,       , 20.1  , 19.15 ,       , 18.05  , 17.25 , 16.73 , 16.61 , 4810.0   , 1.63     , -1.34, 1.9 ,        ,      ,      ,      ,       ,      ,      ,      ,      ,      ,      ,      ,       , 5.47 ,       , 5.02  ,       , 4.7   ,       , 6.67 ,      ,       ,       ,       ,      ,      ,       ,       ,      ,       ,        ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       , 0.95  ,        ,        ,       ,        ,        ,        ,        ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       ,       ,       ,       ,      ,       ,       ,     ,      , 6.85 , Ji
   2759,      1.0, NOR17b, Norris+2017b           , CC09869                      , [NYV2017] CC09869                 ,     ,         ,      , MP    ,          , DW , Carina           , RG  , 06:40:56.95  , -50:58:38.28 , 100.2373, -50.9773,            ,                    ,       , 19.31 , 18.11 ,       , 16.81  , 15.89 , 15.28 , 15.13 , 4459.0   , 1.01     , -1.3 , 2.1 ,        ,      ,      ,      ,       ,      , 4.73 , 6.47 ,      , 6.32 ,      ,      ,       , 5.06 , 1.97  , 3.78  , 2.33  , 4.34  , 3.81  , 6.18 ,      , 4.8   ,       ,       ,      ,      ,       ,       ,      ,       ,        ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       , 0.9   , 0.26   ,        ,       ,        ,        ,        ,        ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,      ,       ,       ,       ,       ,      ,       ,       ,     ,      , 6.28 , Ji
