Table 1 
Adopted and Derived Parameters for Outer Halo Satellites


No.,Object,alpha_0 (J2000),sigma_alpha,delta_0 (J2000),sigma_delta,R_sun,R_GC,[Fe/H],sigma_[Fe/H],${\overline{v}}_{r}$,${\sigma }_{{v}_{r}}$,M/L_V,Sources,
,,(deg),(s),(deg),(arcsec),(kpc),(kpc),(dex),(dex),(km s^-1),(km s^-1),(M_sun/L_V,sun),,
Primary Sample,,,,,,,,,,,,,,
1,Sculptor,15.0183,0.30,-33.7186,2.6,86.0,86.1,-1.68,0.46,111.4,9.20 +or- 1.40,12,1, 2,
2,Whiting 1,30.7372,0.18,-3.2519,3.0,30.1,34.9,-0.70,cdots,-130.6,cdots,cdots,3,
3,Segue 2,34.8226,0.95,+20.1624,16.5,35.0,41.2,-2.22,0.43,-40.2,<2.6,<500,4,
4,Fornax,39.9583,0.26,-34.4997,3.5,147.0,149.1,-1.04,0.33,55.2,11.7 +or- 0.9,5.7,1, 2,
5,AM 1,58.7608,0.14,-49.6152,1.5,123.3,124.7,-1.70,cdots,116.0,0.68,cdots,5,
6,Eridanus,66.1853,0.10,-21.1876,1.5,90.1,95.4,-1.43,cdots,-23.6,0.9,cdots,5,
7,Palomar 2,71.5248,0.00,+31.3817,0.0,27.2,35.5,-1.42,cdots,-133.0,8.39,cdots,5,
8,Carina,100.4065,0.58,-50.9593,4.4,105.0,106.7,-1.72,0.33,222.9,6.6 +or- 1.2,34,2, 6,
9,NGC 2419,114.5354,0.07,+38.8819,0.9,82.6,90.4,-2.10,0.032,-20.2,4.4 +or- 0.5,2.05,7, 8,
10,Koposov 2,119.5715,0.26,+26.2574,5.5,34.7,42.3,cdots,cdots,cdots,cdots,cdots,,
11,UMa II,132.8726,3.66,+63.1335,9.2,32.0,38.5,-2.18,0.66,-116.5,6.7 +or- 1.4,1910,1, 9,
12,Pyxis,136.9869,0.15,-37.2266,2.1,39.4,41.5,cdots,cdots,35.9,2.5,cdots10,
13,Leo T,143.7292,0.52,+17.0482,5.6,417.0,422.1,-1.74,0.54,35,7.5 +or- 1.6,cdots,1, 9,
14,Palomar 3,151.3823,0.09,+0.0718,1.4,92.5,96.0,-1.63,cdots,83.4,1.17,cdots,5,
15,Segue 1,151.7504,2.84,+16.0756,27.4,23.0,28.1,-2.74,0.75,208.5,3.9 +or- 0.8,1530,11,
16,Leo I,152.1146,0.12,+12.3059,1.2,254.0,256.0,-1.45,0.32,282.5,9.2 +or- 1.4,4.4,1,
17,Sextans,153.2628,0.61,-1.6133,8.1,86.0,89.2,-1.94,0.47,224.3,7.9 +or- 1.3,110,1, 2,
18,UMa I,158.7706,2.98,+51.9479,15.3,97.0,101.9,-2.10,0.65,-55.3,7.6 +or- 1.0,1620,1, 9,
19,Willman 1,162.3436,1.04,+51.0501,4.8,38.0,43.0,-2.11,0.557,-12.3,${4.3}_{-1.3}^{+2.3}$,520,12,
20,Leo II,168.3627,0.15,+22.1529,2.0,233.0,235.7,-1.63,0.40,79.1,6.6 +or- 0.7,13,1, 13,
21,Palomar 4,172.3179,0.08,+28.9732,1.2,108.7,111.5,-1.41,cdots,74.5,1.06,cdots,5,
22,Leo V,172.7857,1.07,+2.2194,8.6,178.0,178.8,-2.00,cdots,173.3,${3.7}_{-1.4}^{+2.3}$,215,14,
23,Leo IV,173.2405,0.98,-0.5453,17.0,154.0,154.6,-2.45,0.65,132.3,3.3 +or- 1.7,145,1, 9,
24,Koposov 1,179.8253,0.34,+12.2615,11.1,48.3,49.5,cdots,cdots,cdots,cdots,cdots,,
25,ComBer,186.7454,1.02,+23.9069,12.7,44.0,45.2,-2.25,0.43,98.1,4.6 +or- 0.8,500,1, 9,
26,CVn II,194.2927,0.73,+34.3226,13.3,160.0,160.7,-2.12,0.59,-128.9,4.6 +or- 1.0,230,1, 9,
27,CVn I,202.0091,1.03,+33.5521,6.6,218.0,217.8,-1.91,0.44,30.9,7.6 +or- 0.4,160,1, 9,
28,AM 4,209.0883,0.31,-27.1635,4.9,33.2,28.5,-1.30,cdots,cdots,0.30,cdots,5,
29,Bootes II,209.5141,1.86,+12.8553,21.3,42.0,39.8,-2.72,0.30,-117.0,10.5 +or- 7.4,6400,15, 16,
30,Bootes I,210.0200,0.83,+14.5135,15.8,66.0,63.5,-2.59,0.43,99.0,${2.4}_{-0.5}^{+0.9}$,60,17, 18,
31,NGC 5694,219.9019,0.11,-26.5390,1.3,35.0,29.1,-1.98,cdots,-140.3,5.8 +or- 0.8,1.5,19,
32,Munoz 1,225.4490,1.00,+66.9682,9.3,45.0,47.3,-1.46,cdots,-137.0,0.25 +or- 0.05,cdots,20,
33,NGC 5824,225.9943,0.00,-33.0685,0.0,32.1,25.6,-1.91,cdots,-27.5,11.6 +or- 0.5,cdots,19,
34,UMi,227.2420,1.07,+67.2221,5.7,76.0,78.0,-2.13,0.34,-246.9,9.5 +or- 1.2,70,1, 21,
35,Palomar 14,242.7544,0.14,+14.9584,2.2,76.5,71.3,-1.62,cdots,72.3,0.66,cdots,5,
36,Hercules,247.7722,1.54,+12.7852,8.7,132.0,126.2,-2.39,0.51,45.2,3.7 +or- 0.9,140,1, 22,
37,NGC 6229,251.7454,0.00,+47.5276,0.0,30.5,29.9,-1.47,cdots,-154.2,6.07,cdots,5,
38,Palomar 15,254.9626,0.11,-0.5390,1.6,45.1,38.0,-2.07,cdots,68.9,0.79,cdots,5,
39,Draco,260.0684,0.62,+57.9185,3.2,76.0,76.0,-1.98,0.42,-291.0,9.1 +or- 1.2,80,1, 23,
40,NGC 7006,315.3721,0.00,+16.1871,0.0,41.2,38.4,-1.52,cdots,-384.1,4.37,cdots,5,
41,Segue 3,320.3795,0.37,+19.1178,4.4,27.0,25.5,-1.30,cdots,-167,${1.2}_{-1.2}^{+2.6}$,cdots,24,
42,Pisces II,344.6345,0.61,+5.9526,5.7,182.0,181.1,-1.9,cdots,cdots,cdots,cdots,,
