Name,lambda,Species,chi,loggf,EW,l_logepsX,logepsX
TucII-006,4313.0,C-H,,,,,6.25
TucII-006,4323.0,C-H,,,,,6.50
TucII-006,5889.95,Na I,0.00,0.11,146.4,,3.61
TucII-006,5895.92,Na I,0.00,-0.19,114.9,,3.31
TucII-006,5172.68,Mg I,2.71,-0.45,120.3,,4.33
TucII-006,5183.6,Mg I,2.72,-0.24,162.6,,4.92
TucII-006,3944.0,Al I,,,,,2.83
TucII-006,3905.52,Si I,,,,,4.80
TucII-006,4454.78,Ca I,1.90,0.26,73.2,,3.77
TucII-006,6122.22,Ca I,1.89,-0.32,42.3,,3.69
TucII-006,4246.82,Sc II,,,,,0.03
TucII-006,4314.08,Sc II,,,,,0.23
TucII-006,4325.0,Sc II,,,,,0.27
TucII-006,4400.39,Sc II,,,,,0.20
TucII-006,4415.55,Sc II,,,,,0.03
TucII-006,3913.46,Ti II,1.12,-0.42,106.6,,2.11
TucII-006,4012.4,Ti II,0.57,-1.75,88.7,,2.29
TucII-006,4395.03,Ti II,1.08,-0.54,117.3,,2.27
TucII-006,4399.77,Ti II,1.24,-1.19,60.1,,1.86
TucII-006,4417.71,Ti II,1.17,-1.19,96.6,,2.51
TucII-006,4443.8,Ti II,1.08,-0.72,104.0,,2.11
TucII-006,4450.48,Ti II,1.08,-1.52,62.9,,2.04
TucII-006,4468.52,Ti II,1.13,-0.60,114.3,,2.28
TucII-006,4501.27,Ti II,1.12,-0.77,77.0,,1.60
TucII-006,4533.96,Ti II,1.24,-0.53,105.3,,2.12
TucII-006,4563.77,Ti II,1.22,-0.96,102.2,,2.43
TucII-006,4571.97,Ti II,1.57,-0.32,97.4,,2.10
TucII-006,4254.33,Cr I,0.00,-0.11,98.4,,2.33
TucII-006,4274.8,Cr I,0.00,-0.22,85.0,,2.09
TucII-006,4289.72,Cr I,0.00,-0.37,73.2,,1.98
TucII-006,4030.75,Mn I,,,,,2.12
TucII-006,4033.06,Mn I,,,,,2.00
TucII-006,4034.48,Mn I,0.00,-0.81,97.7,,2.37
TucII-006,3887.05,Fe I,0.91,-1.14,118.5,,4.78
TucII-006,3899.71,Fe I,0.09,-1.51,117.7,,4.19
TucII-006,3902.95,Fe I,1.56,-0.44,107.0,,4.49
TucII-006,4062.44,Fe I,2.85,-0.86,39.3,,4.79
TucII-006,4071.74,Fe I,1.61,-0.01,129.4,,4.61
TucII-006,4109.8,Fe I,2.85,-0.94,56.2,,5.18
TucII-006,4132.06,Fe I,1.61,-0.68,112.0,,4.83
TucII-006,4143.87,Fe I,1.56,-0.51,112.2,,4.61
TucII-006,4147.67,Fe I,1.48,-2.07,35.3,,4.39
TucII-006,4181.76,Fe I,2.83,-0.37,55.2,,4.56
TucII-006,4191.43,Fe I,2.47,-0.67,67.8,,4.69
TucII-006,4199.1,Fe I,3.05,0.16,59.6,,4.35
TucII-006,4202.03,Fe I,1.49,-0.69,83.5,,3.94
TucII-006,4216.18,Fe I,0.00,-3.36,86.9,,4.99
TucII-006,4227.43,Fe I,3.33,0.27,74.5,,4.84
TucII-006,4250.12,Fe I,2.47,-0.38,54.0,,4.13
TucII-006,4250.79,Fe I,1.56,-0.71,103.2,,4.54
TucII-006,4260.47,Fe I,2.40,0.08,83.3,,4.18
TucII-006,4271.15,Fe I,2.45,-0.34,80.5,,4.59
TucII-006,4271.76,Fe I,1.49,-0.17,129.8,,4.57
TucII-006,4325.76,Fe I,1.61,0.01,129.2,,4.50
TucII-006,4337.05,Fe I,1.56,-1.70,61.9,,4.56
TucII-006,4375.93,Fe I,0.00,-3.00,92.4,,4.72
TucII-006,4383.55,Fe I,1.48,0.20,133.4,,4.23
TucII-006,4404.75,Fe I,1.56,-0.15,112.4,,4.17
TucII-006,4415.12,Fe I,1.61,-0.62,108.3,,4.59
TucII-006,4427.31,Fe I,0.05,-2.92,107.0,,5.06
TucII-006,4442.34,Fe I,2.20,-1.23,48.7,,4.56
TucII-006,4447.72,Fe I,2.22,-1.34,61.9,,4.93
TucII-006,4459.12,Fe I,2.18,-1.28,33.7,,4.32
TucII-006,4461.65,Fe I,0.09,-3.19,69.6,,4.50
TucII-006,4528.61,Fe I,2.18,-0.82,72.2,,4.56
TucII-006,4871.32,Fe I,2.87,-0.36,39.2,,4.25
TucII-006,4890.76,Fe I,2.88,-0.39,47.7,,4.43
TucII-006,4891.49,Fe I,2.85,-0.11,79.1,,4.70
TucII-006,4920.5,Fe I,2.83,0.07,69.6,,4.30
TucII-006,5166.28,Fe I,0.00,-4.12,38.6,,4.71
TucII-006,5171.6,Fe I,1.49,-1.72,49.3,,4.20
TucII-006,5232.94,Fe I,2.94,-0.06,62.4,,4.41
TucII-006,5269.54,Fe I,0.86,-1.33,124.4,,4.63
TucII-006,5328.04,Fe I,0.92,-1.47,101.3,,4.29
TucII-006,5328.53,Fe I,1.56,-1.85,69.5,,4.74
TucII-006,5371.49,Fe I,0.96,-1.64,115.8,,4.84
TucII-006,5397.13,Fe I,0.92,-1.98,96.1,,4.67
TucII-006,5415.2,Fe I,4.39,0.64,26.4,,4.65
TucII-006,5429.7,Fe I,0.96,-1.88,116.6,,5.09
TucII-006,5446.92,Fe I,0.99,-1.91,91.7,,4.57
TucII-006,5506.78,Fe I,0.99,-2.79,44.6,,4.60
TucII-006,5615.64,Fe I,3.33,0.05,50.0,,4.50
TucII-006,6219.28,Fe I,2.20,-2.45,15.7,,4.98
TucII-006,6393.6,Fe I,2.43,-1.58,25.9,,4.63
TucII-006,6494.98,Fe I,2.40,-1.24,26.2,,4.26
TucII-006,4178.86,Fe II,2.58,-2.51,48.9,,4.70
TucII-006,4522.63,Fe II,2.84,-2.25,46.0,,4.65
TucII-006,4923.93,Fe II,2.89,-1.32,80.1,,4.36
TucII-006,3995.31,Co I,0.92,-0.22,70.9,,2.24
TucII-006,3783.52,Ni I,0.42,-1.42,74.9,,2.85
TucII-006,5080.52,Ni I,3.65,0.13,25.1,,3.90
TucII-006,4077.71,Sr II,,,,,-1.55
TucII-006,4215.52,Sr II,,,,,-1.50
TucII-006,4554.03,Ba II,,,,,-2.05
TucII-006,4934.09,Ba II,,,,,-1.98
TucII-006,4129.0,Eu II,,,,<,-1.50
TucII-011,4313.0,C-H,,,,,4.91
TucII-011,4323.0,C-H,,,,,5.40
TucII-011,5889.95,Na I,0.00,0.11,195.8,,4.08
TucII-011,5895.92,Na I,0.00,-0.19,148.6,,3.71
TucII-011,4167.27,Mg I,4.35,-0.71,48.2,,5.17
TucII-011,4571.1,Mg I,0.00,-5.69,67.8,,5.24
TucII-011,4702.99,Mg I,4.33,-0.38,72.8,,5.16
TucII-011,5172.68,Mg I,2.71,-0.45,190.9,,5.16
TucII-011,5183.6,Mg I,2.72,-0.24,224.3,,5.24
TucII-011,3944.0,Al I,,,,,2.98
TucII-011,3961.52,Al I,0.01,-0.34,118.0,,2.78
TucII-011,3905.52,Si I,,,,,4.89
TucII-011,4102.94,Si I,1.91,-3.14,88.0,,5.37
TucII-011,4283.01,Ca I,1.89,-0.22,74.2,,4.15
TucII-011,4318.65,Ca I,1.89,-0.21,74.2,,4.14
TucII-011,4425.44,Ca I,1.88,-0.36,66.9,,4.11
TucII-011,4434.96,Ca I,1.89,-0.01,54.2,,3.55
TucII-011,4435.69,Ca I,1.89,-0.52,34.5,,3.71
TucII-011,4454.78,Ca I,1.90,0.26,76.3,,3.69
TucII-011,4455.89,Ca I,1.90,-0.53,37.5,,3.78
TucII-011,5588.76,Ca I,2.52,0.21,54.8,,4.01
TucII-011,6122.22,Ca I,1.89,-0.32,57.7,,3.80
TucII-011,6162.17,Ca I,1.90,-0.09,85.6,,4.05
TucII-011,4246.82,Sc II,,,,,0.13
TucII-011,4314.08,Sc II,,,,,0.38
TucII-011,4325.0,Sc II,,,,,0.33
TucII-011,4400.39,Sc II,,,,,0.58
TucII-011,4415.54,Sc II,,,,,0.33
TucII-011,5526.78,Sc II,1.77,0.02,31.3,,0.35
TucII-011,4534.78,Ti I,0.84,0.34,46.7,,2.34
TucII-011,4981.73,Ti I,0.84,0.56,48.5,,2.11
TucII-011,3913.46,Ti II,1.12,-0.42,122.3,,2.57
TucII-011,4012.4,Ti II,0.57,-1.75,108.0,,2.82
TucII-011,4290.22,Ti II,1.16,-0.93,89.2,,2.15
TucII-011,4300.05,Ti II,1.18,-0.49,125.3,,2.61
TucII-011,4337.91,Ti II,1.08,-0.96,87.2,,2.03
TucII-011,4394.06,Ti II,1.22,-1.78,48.3,,2.27
TucII-011,4395.03,Ti II,1.08,-0.54,111.2,,2.16
TucII-011,4399.77,Ti II,1.24,-1.19,79.8,,2.28
TucII-011,4417.71,Ti II,1.17,-1.19,104.7,,2.75
TucII-011,4443.8,Ti II,1.08,-0.72,115.6,,2.42
TucII-011,4450.48,Ti II,1.08,-1.52,79.2,,2.39
TucII-011,4464.45,Ti II,1.16,-1.81,54.1,,2.32
TucII-011,4468.52,Ti II,1.13,-0.60,114.1,,2.32
TucII-011,4501.27,Ti II,1.12,-0.77,103.9,,2.23
TucII-011,4533.96,Ti II,1.24,-0.53,105.4,,2.16
TucII-011,4563.77,Ti II,1.22,-0.96,97.4,,2.37
TucII-011,4571.97,Ti II,1.57,-0.32,92.8,,2.05
TucII-011,4254.33,Cr I,0.00,-0.11,132.7,,2.91
TucII-011,4274.8,Cr I,0.00,-0.22,102.0,,2.28
TucII-011,4289.72,Cr I,0.00,-0.37,77.8,,1.85
TucII-011,5206.04,Cr I,0.94,0.02,81.7,,2.53
TucII-011,5208.42,Cr I,0.94,0.16,83.8,,2.43
TucII-011,4030.75,Mn I,,,,,1.81
TucII-011,4033.06,Mn I,,,,,1.31
TucII-011,4034.48,Mn I,,,,,1.51
TucII-011,3949.95,Fe I,2.18,-1.25,64.1,,4.58
TucII-011,4021.87,Fe I,2.76,-0.73,59.7,,4.64
TucII-011,4044.61,Fe I,2.83,-1.22,44.5,,4.93
TucII-011,4070.77,Fe I,3.24,-0.79,35.7,,4.81
TucII-011,4132.06,Fe I,1.61,-0.68,120.0,,4.64
TucII-011,4132.9,Fe I,2.85,-1.01,54.6,,4.92
TucII-011,4143.41,Fe I,3.05,-0.20,54.9,,4.35
TucII-011,4143.87,Fe I,1.56,-0.51,127.0,,4.56
TucII-011,4147.67,Fe I,1.48,-2.07,63.1,,4.49
TucII-011,4157.78,Fe I,3.42,-0.40,27.4,,4.45
TucII-011,4175.64,Fe I,2.85,-0.83,42.8,,4.52
