Name,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,Fe/H,e_Fe/H
TucII-006,5017,227,1.50,0.54,1.95,0.24,-2.93,0.27
TucII-011,4693,158,1.25,0.50,1.95,0.21,-2.92,0.16
TucII-033,4828,153,1.40,0.53,1.80,0.21,-2.41,0.12
TucII-052,4819,195,1.70,0.42,1.85,0.23,-3.23,0.20
TucII-078,4954,178,1.90,0.67,2.20,0.23,-2.69,0.20
TucII-203,4882,186,1.60,0.33,2.00,0.22,-3.08,0.19
TucII-206,4900,186,1.65,0.85,1.90,0.26,-3.34,0.28
