Name,Species,f_Species,N,logepsX_sun,l_[X/H],[X/H],u_[X/H],l_[X/Fe],[X/Fe],u_[X/Fe],e_logepsX
TucII-006,C-H,,2,8.43,,-2.05,,,0.88,,0.27
#TucII-006,C-H,b,2,8.43,,-1.69,,,1.24,,0.27
TucII-006,Na I,,2,6.24,,-2.78,,,0.15,,0.27
TucII-006,Mg I,,2,7.60,,-2.97,,,-0.04,,0.37
TucII-006,Al I,,1,6.45,,-3.62,:,,-0.69,:,
TucII-006,Si I,,1,7.51,,-2.71,:,,0.22,:,
TucII-006,Ca I,,2,6.34,,-2.61,,,0.32,,0.27
TucII-006,Sc II,,5,3.15,,-3.00,,,-0.07,,0.27
TucII-006,Ti II,,12,4.95,,-2.81,,,0.12,,0.27
TucII-006,Cr I,,3,5.64,,-3.51,,,-0.58,,0.27
TucII-006,Mn I,,3,5.43,,-3.27,,,-0.34,,0.27
TucII-006,Fe I,,52,7.50,,-2.93,,,0.00,,0.27
TucII-006,Fe II,,3,7.50,,-2.93,,,0.00,,0.27
TucII-006,Co I,,1,4.99,,-2.75,,,0.18,,0.34
TucII-006,Ni I,,2,6.22,,-2.84,,,0.09,,0.66
TucII-006,Sr II,,2,2.87,,-4.39,,,-1.46,,0.27
TucII-006,Ba II,,2,2.18,,-4.20,,,-1.27,,0.27
TucII-006,Eu I,,1,0.52,<,-2.02,,<,0.91,,
TucII-011,C-H,,2,8.43,,-3.27,,,-0.35,,0.31
#TucII-011,C-H,b,2,8.43,,-2.63,,,0.29,,0.31
TucII-011,Na I,,2,6.24,,-2.35,,,0.57,,0.23
TucII-011,Mg I,,5,7.60,,-2.41,,,0.51,,0.16
TucII-011,Al I,,2,6.45,,-3.57,:,,-0.65,:,
TucII-011,Si I,,2,7.51,,-2.38,:,,0.54,:,
TucII-011,Ca I,,10,6.34,,-2.44,,,0.48,,0.21
TucII-011,Sc II,,6,3.15,,-2.80,,,0.12,,0.16
TucII-011,Ti I,,2,4.95,,-2.73,,,0.19,,0.16
TucII-011,Ti II,,17,4.95,,-2.60,,,0.32,,0.22
TucII-011,Cr I,,5,5.64,,-3.24,,,-0.32,,0.20
TucII-011,Mn I,,3,5.43,,-3.89,,,-0.97,,0.17
TucII-011,Fe I,,99,7.50,,-2.92,,,0.00,,0.16
TucII-011,Fe II,,11,7.50,,-2.91,,,0.01,,0.16
TucII-011,Co I,,3,4.99,,-2.77,,,0.15,,0.21
TucII-011,Ni I,,3,6.22,,-2.77,,,0.15,,0.22
TucII-011,Sr II,,2,2.87,,-4.52,,,-1.60,,0.19
TucII-011,Ba II,,1,2.18,,-4.82,,,-1.90,,0.20
TucII-011,Eu I,,1,0.52,<,-2.27,,<,0.65,,
TucII-033,C-H,,2,8.43,,-2.33,,,0.08,,0.18
#TucII-033,C-H,b,2,8.43,,-1.81,,,0.60,,0.18
TucII-033,Na I,,2,6.24,,-2.54,,,-0.13,,0.12
TucII-033,Mg I,,4,7.60,,-2.25,,,0.16,,0.12
TucII-033,Al I,,2,6.45,,-3.27,:,,-0.86,:,
TucII-033,Si I,,2,7.51,,-2.23,:,,0.18,:,
TucII-033,Ca I,,8,6.34,,-2.34,,,0.07,,0.12
TucII-033,Sc II,,5,3.15,,-2.50,,,-0.09,,0.12
TucII-033,Ti I,,2,4.95,,-1.94,,,0.47,,0.51
TucII-033,Ti II,,12,4.95,,-2.49,,,-0.08,,0.27
TucII-033,Cr II,,1,5.64,,-2.42,,,-0.01,,0.32
TucII-033,Cr I,,5,5.64,,-2.70,,,-0.29,,0.12
TucII-033,Mn I,,3,5.43,,-2.95,,,-0.54,,0.30
TucII-033,Fe I,,92,7.50,,-2.41,,,0.00,,0.12
TucII-033,Fe II,,12,7.50,,-2.39,,,0.02,,0.14
TucII-033,Co I,,2,4.99,,-2.24,,,0.17,,0.26
TucII-033,Sr II,,2,2.87,,-2.80,,,-0.39,,0.26
TucII-033,Ba II,,2,2.18,,-3.40,,,-0.99,,0.39
TucII-033,Eu I,,1,0.52,<,-2.21,,<,0.20,,
TucII-052,C-H,,2,8.43,,-2.53,,,0.70,,0.20
#TucII-052,C-H,b,2,8.43,,-2.33,,,0.90,,0.20
TucII-052,Na I,,2,6.24,,-3.00,,,0.23,,0.29
