Found,Name,Query_ID,RA_input,DEC_input,Error,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,radial_velocity,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
False,Car-10,[MOP93] 10,,,Could not find a numeric Gaia source_id in '[MOP93] 10',,,,,,,,,,,
False,Car-12,[MOP93] 12,,,Could not find a numeric Gaia source_id in '[MOP93] 12',,,,,,,,,,,
False,Car-2,[SMS86] 62,,,Could not find a numeric Gaia source_id in '[SMS86] 62',,,,,,,,,,,
False,Car-3,[MOP93] 3,,,Could not find a numeric Gaia source_id in '[MOP93] 3',,,,,,,,,,,
False,Car-4,[MOP93] 4,,,Could not find a numeric Gaia source_id in '[MOP93] 4',,,,,,,,,,,
False,Fnx-12,2MASS J02401001-3429589,,,Could not find a numeric Gaia source_id in '2MASS J02401001-3429589',,,,,,,,,,,
False,Fnx-21,WEL 112,,,Could not find a numeric Gaia source_id in 'WEL 112',,,,,,,,,,,
False,Fnx-25,[MOW91] 25,,,Could not find a numeric Gaia source_id in '[MOW91] 25',,,,,,,,,,,
False,Leo-2,[MOV98] 2,,,Could not find a numeric Gaia source_id in '[MOV98] 2',,,,,,,,,,,
False,Leo-5,[MOV98] 5,,,Could not find a numeric Gaia source_id in '[MOV98] 5',,,,,,,,,,,
False,M30-D,NGC 7099 4,,,Could not find a numeric Gaia source_id in 'NGC 7099 4',,,,,,,,,,,
True,M55-283,Gaia DR3 6751341178000835072,,,,6.751341178000835e+18,295.0166215850402,-31.060580440150353,0.5099365068018005,0.065860495,-12.078306097181438,-6.678369991920215,,16.297888,16.683746,15.726134
False,M55-76,2MASS J19401265-3100287,,,Could not find a numeric Gaia source_id in '2MASS J19401265-3100287',,,,,,,,,,,
False,M68-53,Cl* NGC 4590 ALC 53,,,Could not find a numeric Gaia source_id in 'Cl* NGC 4590 ALC 53',,,,,,,,,,,
False,Scl-400,2MASS J01001708-3345139,,,Could not find a numeric Gaia source_id in '2MASS J01001708-3345139',,,,,,,,,,,
False,Scl-459,SCMS 1023,,,Could not find a numeric Gaia source_id in 'SCMS 1023',,,,,,,,,,,
False,Scl-461,SCMS 966,,,Could not find a numeric Gaia source_id in 'SCMS 966',,,,,,,,,,,
False,Scl-479,SCMS 1088,,,Could not find a numeric Gaia source_id in 'SCMS 1088',,,,,,,,,,,
False,Scl-482,SCMS 648,,,Could not find a numeric Gaia source_id in 'SCMS 648',,,,,,,,,,,
