Name,RA_hms,DEC_dms,Simbad_Identifier,Loc,System,
1336_6432,17:31:47.31,+36:27:54.9,Gaia EDR3 1336408284224866432,DW,Sequoia,
2657_5888,23:10:21.35,+01:11:19.5,Gaia EDR3 2657496656325125888,DW,Sequoia,
2813_6032,23:34:00.80,+14:49:53.4,Gaia EDR3 2813331813720876032,DW,Sequoia,
2870_9072,23:17:54.97,+30:14:06.1,Gaia EDR3 2870313110476579072,DW,Sequoia,
3336_0672,05:44:56.81,+09:14:32.1,Gaia EDR3 3336204190352220672,DW,Sequoia,
3341_2720,06:03:29.73,+11:11:54.2,Gaia EDR3 3341934256545182720,DW,Sequoia,
4587_5616,18:39:36.08,+30:13:33.3,Gaia EDR3 4587905579084735616,DW,Sequoia,
4850_5696,03:09:36.57,-43:44:46.5,Gaia EDR3 4850673911632285696,DW,Sequoia,
G 90-36,08:00:28.73,+29:00:27.4,Gaia EDR3  876358870971624320,DW,Sequoia,
G 115-58,09:10:48.10,+46:22:36.8,Gaia EDR3 1011379899590855936,DW,Sequoia,
HIP 28104,05:56:24.74,-27:51:32.4,Gaia EDR3 2910503176753011840,DW,Sequoia,
HIP 98492,20:00:33.72,+09:21:12.8,Gaia EDR3 4299974407538484096,DW,Sequoia,
G 112-43,07:43:43.97,-00:04:01.0,Gaia EDR3 3085891537839267328,HA,,
CD-4802445,06:41:26.66,-48:13:14.9,Gaia EDR3 5551565291043498496,HA,,
HD 59392,07:28:03.22,-38:00:41.3,Gaia EDR3 5586241315104190848,HA,,
