0360_9808   NaI 5889.959 0.000 -0.193 151.2  6.9  4.247  0.070 -0.010 -0.028  0.000 0.105 0.000   62.580
0360_9808   NaI 5895.910 0.000 -0.575 130.5  6.0  4.174  0.064 -0.008 -0.037  0.000 0.115 0.000   54.302
0360_9808   MgI 4167.271 4.346 -0.746  52.6  2.5  5.982  0.031 -0.002 -0.004  0.001 0.056 0.000  165.090
0360_9808   MgI 5167.321 2.709 -0.854 132.5  6.1  6.012  0.065 -0.010 -0.026  0.001 0.096 0.000   21.867
0360_9808   MgI 5172.684 2.712 -0.363 195.4  9.0  6.091  0.076 -0.014 -0.013  0.001 0.077 0.000  -12.363
0360_9808   MgI 5183.604 2.717 -0.168 238.3 11.0  6.101  0.078 -0.014 -0.009  0.002 0.070 0.000  -26.504
0360_9808   MgI 5528.405 4.346 -0.547  76.8  3.5  6.157  0.037 -0.004 -0.013  0.001 0.070 0.000  104.023
0360_9808   MgI 5711.100 4.340 -1.842   8.9  0.5  5.995  0.029  0.000 -0.001  0.000 0.035 0.000  399.591
0360_9808   SiI 6237.330 5.610 -1.150   3.4  0.4  6.078  0.018  0.001  0.000  0.000 0.060 0.000  249.024
0360_9808   CaI 4226.728 0.000  0.244 193.3  9.0  4.856  0.087 -0.011 -0.015  0.002 0.073 0.000 -152.298
0360_9808   CaI 4283.011 1.886 -0.224  61.5  2.9  4.989  0.045 -0.003 -0.023  0.001 0.081 0.000   25.369
0360_9808   CaI 4318.652 1.899 -0.210  54.6  2.6  4.950  0.044 -0.001 -0.019  0.001 0.075 0.000   22.048
0360_9808   CaI 4425.437 1.879 -0.358  44.7  2.1  4.831  0.043 -0.001 -0.012  0.001 0.066 0.000   20.443
0360_9808   CaI 4454.779 1.899  0.258  79.4  3.7  4.837  0.050 -0.006 -0.031  0.000 0.094 0.000   20.805
0360_9808   CaI 4455.887 1.899 -0.530  37.1  1.7  4.905  0.042  0.000 -0.009  0.001 0.054 0.000   21.786
0360_9808   CaI 5512.990 2.930 -0.300   8.7  0.4  4.928  0.031  0.000 -0.001  0.001 0.033 0.000  223.525
