BD+44 493|a|-3.83|0.19|   |+0.30|0.10| |+0.46|0.08| |-0.56|0.14| |+0.49|0.14| |+0.31|0.10|  
G64-12   | |-3.28|0.09| 57|-0.05|0.13|2|+0.37|0.11|3|-0.58|0.18|1|+0.19|0.22|1|+0.48|0.14| 8
HD 2454  | |-0.42|0.12|172|+0.05|0.15|4|+0.07|0.15|3|+0.15|0.21|1|+0.24|0.22|4|+0.07|0.16|19
HD 16220 | |-0.31|0.11|121|+0.21|0.15|2|+0.12|0.16|1|     |    |0|+0.04|0.22|2|+0.19|0.16|15
HD 43318 | |-0.24|0.11|189|+0.24|0.15|2|-0.01|0.13|3|-0.23|0.18|2|-0.12|0.22|3|+0.18|0.16|21
HD 76932 | |-0.92|0.12|140|+0.14|0.16|2|+0.24|0.15|2|     |    |0|+0.05|0.22|3|+0.32|0.16|18
HD 94028 | |-1.61|0.13|234|+0.25|0.17|3|+0.31|0.15|7|-0.80|0.22|1|+0.27|0.24|2|+0.40|0.17|26
HD 107113| |-0.59|0.11|135|+0.31|0.15|2|+0.20|0.16|1|     |    |0|+0.03|0.22|2|+0.22|0.16|20
HD 108317| |-2.44|0.11|243|+0.62|0.15|2|+0.44|0.13|7|-1.10|0.20|1|+0.59|0.23|1|+0.44|0.16|26
HD 128279| |-2.37|0.12|253|+0.26|0.15|4|+0.41|0.14|7|-0.93|0.21|1|+0.46|0.22|3|+0.42|0.16|26
HD 140283| |-2.65|0.08|165|+0.24|0.12|2|+0.30|0.10|6|-0.89|0.17|1|+0.42|0.21|1|+0.33|0.14|20
HD 155646| |-0.16|0.07| 64|+0.20|0.11|2|-0.01|0.11|1|-0.21|0.15|2|+0.21|0.19|2|+0.10|0.13| 8
HD 160617| |-1.92|0.08|133|+0.53|0.11|4|+0.27|0.10|4|     |    |0|+0.37|0.21|1|+0.42|0.14|19
HD 211998| |-1.50|0.11|123|-0.11|0.15|2|+0.30|0.14|2|     |    |0|+0.14|0.22|3|+0.39|0.16|17
