Right ascension, Declination   , Galactic longitude, Galactic latitude, Proper motion (\alpha), Proper motion (\delta), Parallax         , Distance            , Galactocentric coordinates (Cartesian)                             , Galactocentric distance, Radial velocity, Radial velocity, Radial velocity, Galactocentric velocity (Cartesian)                         , Galactocentric velocity (cylindrical)                       , Integrals of motion                                              , Orbital pericenter  , Orbital apocenter   , Maximum orbital distance from Galactic midplane, Orbital eccentricity, NUV magnitude   , B magnitude     , V magnitude    , G magnitude     , BP magnitude    , RP magnitude    , J magnitude     , H magnitude    , K_{s} magnitude, Color excess  , Bolometric correction, %Mass        , Effective temperature            , Log of surface gravity, Microturbulent velocity, %Model metallicity, Metallicitiy
\alpha (J2000) , \delta (J2000), \ell              , b                , \mualpha              , \mudelta              , \varpi           , D                   , (x y z)                                                            , R                      , v_{r}          , v_{r}          , v_{r}          , (v_{x} v_{y} v_{z})                                         , (v_{R} v_{z} v_{\phi})                                      , (J_{r} J_{z} J_{\phi})                                           , r_{\rm peri}        , r_{\rm apo}         , |z_{\rm max}|                                  , e                   , NUV             , B               , V              , G               , G_{BP}          , G_{RP}          , J               , H              , K_{s}          , E(B-V)        , BC_{V}               , M            , \teff                            , \logg                 , \vt                    , [M/H]             , [Fe/H]
22:13:20.49    , -51:37:38.7   , 342.4             , -51.6            , 7.012 \pm 0.017       , -17.524 \pm 0.019     , 0.4647 \pm 0.0186, 2.01^{+0.08}_{-0.10}, (-6.99^{+0.05}_{-0.04} -0.38^{+0.01}_{-0.01} -1.58^{+0.06}_{-0.06}), 7.00^{+0.04}_{-0.05}   , 120.59 \pm 1.36, 119.12 \pm 0.47, 117.5 \pm 0.3  , (32.1^{+1.8}_{-1.9} 52.1^{+6.2}_{-6.7}  -80.1^{+0.3}_{-0.3}), (-34.9^{+2.2}_{-2.0} -80.1^{+0.3}_{-0.3} 50.3^{+6.2}_{-6.7}), (332.9^{+18.5}_{-16.8} 174.2^{+4.2}_{-4.1} 352.0^{+45.8}_{-48.8}), 1.12^{+0.15}_{-0.15}, 7.20^{+0.04}_{-0.04}, 4.04^{+0.14}_{-0.13}                           , 0.73^{+0.03}_{-0.03}, 15.748 \pm 0.012, 12.223 \pm 0.008, 11.630 \pm 0.02, 11.446 \pm 0.003, 11.788 \pm 0.003, 10.928 \pm 0.004, 10.311 \pm 0.026, 9.949 \pm 0.025, 9.863 \pm 0.023, 0.017 \pm 0.01, -0.31 \pm 0.04       , 0.80 \pm 0.08, 5509 \pm 43 (stat.) \pm 72 (sys.), 2.28 \pm 0.06         , 2.25 \pm 0.10          , -2.2 \pm 0.1      , -2.20 \pm 0.12
