Species,lambda,chi,loggf_F09,loggf_G13(NY),loggf_G13(GM),loggf_TW
Mg I,4571.10,0.00,,,,-5.623
Mg I,4702.99,4.35,-0.666,,,-0.440
Mg I,4730.03,4.35,,,,-2.347
Mg I,5172.68,2.71,-0.402,,,
Mg I,5183.60,2.72,-0.180,,,
Mg I,5528.40,4.35,-0.620,-0.340,-0.620,-0.498
Mg I,5711.09,4.35,,,-1.833,
