Name,Z,Ion,lambda,chi,loggf,EW,logepsX
HD85773,26,1,5339.93,3.27,-0.72,71.7,5.07
HD85773,26,1,5569.62,3.42,-0.49,70.6,4.98
HD85773,26,1,5572.84,3.40,-0.28,84.6,4.98
HD85773,26,1,5586.76,3.37,-0.14,95.8,5.00
HD85773,26,1,5624.54,3.42,-0.76,56.8,5.03
HD85773,26,1,5816.37,4.55,-0.60,5.7,4.98
HD85773,26,1,6027.05,4.08,-1.09,6.1,4.90
HD85773,26,1,6065.48,2.61,-1.53,87.3,5.17
HD85773,26,1,6082.71,2.22,-3.57,9.1,5.21
HD85773,26,1,6151.62,2.18,-3.30,18.0,5.20
HD85773,26,1,6173.34,2.22,-2.88,34.3,5.20
HD85773,26,1,6200.31,2.61,-2.44,30.2,5.18
HD85773,26,1,6219.28,2.20,-2.43,65.2,5.19
HD85773,26,1,6230.72,2.56,-1.28,110.7,5.22
HD85773,26,1,6246.32,3.60,-0.88,38.2,5.04
HD85773,26,1,6252.56,2.40,-1.69,97.0,5.19
HD85773,26,1,6265.13,2.18,-2.55,62.5,5.23
HD85773,26,1,6297.79,2.22,-2.74,42.9,5.19
HD85773,26,1,6301.50,3.65,-0.72,38.2,4.94
HD85773,26,1,6322.69,2.59,-2.43,32.7,5.17
HD85773,26,1,6335.33,2.20,-2.18,80.5,5.14
HD85773,26,1,6344.15,2.43,-2.92,19.6,5.19
HD85773,26,1,6355.03,2.84,-2.29,20.6,5.11
HD85773,26,1,6358.70,0.86,-4.47,58.5,5.33
HD85773,26,1,6481.87,2.28,-2.98,30.8,5.28
HD85773,26,1,6494.98,2.40,-1.27,123.7,5.17
HD85773,26,1,6498.94,0.96,-4.69,33.3,5.29
HD85773,26,1,6592.91,2.73,-1.47,78.2,5.07
HD85773,26,1,6593.87,2.43,-2.42,48.2,5.20
HD85773,26,1,6609.11,2.56,-2.69,21.4,5.15
HD85773,26,1,6677.99,2.69,-1.42,93.1,5.18
HD85773,26,1,6750.15,2.42,-2.62,38.5,5.23
HD85773,26,2,4491.40,2.86,-2.71,51.1,5.09
HD85773,26,2,4508.29,2.86,-2.44,75.9,5.29
HD85773,26,2,4576.34,2.84,-2.95,42.0,5.13
HD85773,26,2,5197.58,3.23,-2.22,59.5,5.15
HD85773,26,2,5234.62,3.22,-2.18,59.8,5.10
HD85773,26,2,5264.81,3.23,-3.13,17.0,5.18
HD85773,26,2,5325.55,3.22,-3.16,15.6,5.15
HD85773,26,2,5534.85,3.25,-2.75,31.0,5.15
HD85773,26,2,6084.11,3.20,-3.79,5.1,5.18
HD85773,26,2,6149.26,3.89,-2.69,8.5,5.17
HD85773,26,2,6238.39,3.89,-2.60,11.0,5.20
HD85773,26,2,6247.56,3.89,-2.30,19.4,5.20
HD85773,28,1,4605.00,3.48,-0.29,20.1,3.74
HD85773,28,1,4686.22,3.60,-0.64,9.4,3.84
HD85773,28,1,4904.41,3.54,-0.17,27.6,3.85
HD85773,28,1,5081.11,3.85,0.30,30.9,3.83
HD85773,28,1,5084.08,3.68,0.03,25.4,3.77
HD85773,28,1,5115.40,3.83,-0.11,15.3,3.81
HD85773,28,1,5155.76,3.90,-0.09,14.3,3.84
HD85773,28,1,6175.37,4.09,-0.53,4.6,3.92
HD85773,28,1,6586.33,1.95,-2.81,13.6,3.96
HD85773,28,1,6643.64,1.68,-2.01,66.2,3.77
HD85773,28,1,6767.78,1.83,-2.17,56.2,3.98
HD85773,30,1,4722.15,4.03,-0.39,44.9,2.67
HD85773,30,1,4810.53,4.08,-0.17,54.2,2.68
HD85773,39,2,4854.87,0.99,-0.38,23.2,-0.67
HD85773,39,2,4883.68,1.08,0.07,38.8,-0.69
HD85773,39,2,5119.11,0.99,-1.36,3.2,-0.67
HD85773,39,2,5200.41,0.99,-0.57,15.1,-0.74
HD85773,56,2,5853.69,0.60,-0.91,51.8,-0.80
HD85773,56,2,6141.73,0.70,-0.08,109.1,-0.66
HD85773,56,2,6496.91,0.60,-0.38,104.6,-0.58
