Name,Simbad_Identifier,System,RA_hms,DEC_dms,RA_deg,DEC_deg,Teff,e_Teff,logg,e_logg,M/H,e_M/H,Vmic,e_Vmic,UT-DATE,BINNING,EXPTIME,SLITSIZE
Gaia DR3 4780985799511960576,UCAC4 189-004229,Gaia-Sausage/Enceladus,04:21:29.24,-52:19:57.86,65.371833,-52.33274,4580,122,1.2,0.2,-2.07,0.21,2.16,0.24,2021-12-24,2x2,1200,0.70x5.00
Gaia DR3 4786174291804662528,UCAC4 215-005421,Gaia-Sausage/Enceladus,05:00:17.56,-47:06:59.54,75.073167,-47.11654,4605,122,1.19,0.2,-2.18,0.22,2.23,0.25,2021-12-24,2x2,2346,0.70x5.00
Gaia DR3 4816836269489019904,UCAC4 250-005434,Gaia-Sausage/Enceladus,04:52:59.14,-40:08:57.01,73.246417,-40.14917,4732,122,1.4,0.2,-2.33,0.22,2.21,0.24,2021-12-23,2x2,1200,0.70x5.00
Gaia DR3 4892850490479845120,2MASS J04322842-2544487,Gaia-Sausage/Enceladus,04:32:28.44,-25:44:48.73,68.1185,-25.74687,4953,122,2.1,0.2,-1.76,0.21,1.72,0.23,2021-12-23,2x2,1200,0.70x5.00
Gaia DR3 4930039787661776896,UCAC4 207-001420,Gaia-Sausage/Enceladus,01:31:18.44,-48:45:35.32,22.826833,-48.75981,4895,122,1.81,0.2,-2.16,0.24,2.74,0.29,2021-12-23,2x2,1200,0.70x5.00
Gaia DR3 4940475493039087872,UCAC4 196-001702,Gaia-Sausage/Enceladus,01:51:29.13,-50:49:12.65,27.871375,-50.82018,4756,122,1.51,0.2,-2.17,0.22,2.25,0.24,2021-12-23,2x2,1200,0.70x5.00
Gaia DR3 4953772814866348928,2MASS J02324042-3708110,Gaia-Sausage/Enceladus,02:32:40.43,-37:08:11.04,38.168458,-37.1364,4661,122,1.21,0.2,-2.38,0.21,2.25,0.23,2021-12-23,2x2,1200,0.70x5.00
Gaia DR3 5152929864265512448,Gaia DR3 5152929864265512448,Gaia-Sausage/Enceladus,03:08:52.10,-16:49:16.32,47.217083,-16.8212,4902,122,1.97,0.21,-1.8,0.23,1.9,0.28,2021-11-08,2x2,1200,0.70x5.00
Gaia DR3 5208594251034223872,2MASS J08263144-7955131,Gaia-Sausage/Enceladus,08:26:31.48,-79:55:13.08,126.631167,-79.9203,4900,122,1.8,0.2,-2.24,0.22,2.15,0.25,2021-12-23,2x2,1200,0.70x5.00
Gaia DR3 5221522416131163392,2MASS J08382975-7114407,Gaia-Sausage/Enceladus,08:38:29.78,-71:14:40.85,129.624083,-71.24468,4860,123,1.78,0.2,-2.07,0.22,1.85,0.24,2021-12-23,2x2,1200,0.70x5.00
Gaia DR3 5548763464834134400,UCAC4 187-007212,Gaia-Sausage/Enceladus,06:07:08.18,-52:45:59.90,91.784083,-52.76664,4811,122,1.84,0.2,-1.7,0.21,1.65,0.23,2021-12-24,2x2,1200,0.70x5.00
Gaia DR3 6243816407441434752,UCAC4 346-078965,Gaia-Sausage/Enceladus,16:07:06.21,-20:50:00.24,241.775875,-20.8334,4463,123,1.45,0.22,-1.05,0.22,1.74,0.27,2021-09-08,2x2,1800,0.70x5.00
Gaia DR3 6782821815106683008,2MASS J21201351-3354026,Gaia-Sausage/Enceladus,21:20:13.52,-33:54:02.99,320.056333,-33.90083,4816,122,1.51,0.2,-2.52,0.22,2.22,0.24,2021-10-25,2x2,1200,0.70x5.00
