Name,[Fe/H],e_[Fe/H],[C/Fe],e_[C/Fe],[Na I/Fe],e_[Na I/Fe],[Mg I/Fe],e_[Mg I/Fe],[Al I/Fe],e_[Al I/Fe],[Si I/Fe],e_[Si I/Fe],[Ca I/Fe],e_[Ca I/Fe],[Sc II/Fe],e_[Sc II/Fe],[Ti II/Fe],e_[Ti II/Fe],[Cr I/Fe],e_[Cr I/Fe],[Cr II/Fe],e_[Cr II/Fe],[Mn I/Fe],e_[Mn I/Fe],[Co I/Fe],e_[Co I/Fe],[Ni I/Fe],e_[Ni I/Fe],[Zn I/Fe],e_[Zn I/Fe],[Sr II/Fe],e_[Sr II/Fe],[Y II/Fe],e_[Y II/Fe],[Zr II/Fe],e_[Zr II/Fe],[Ba II/Fe],e_[Ba II/Fe],[La II/Fe],e_[La II/Fe],[Eu II/Fe],e_[Eu II/Fe],[Dy II/Fe],e_[Dy II/Fe]
Gaia DR3 31707926776039680,-1.96,0.18,-0.1,0.17,0.16,0.15,0.34,0.09,-0.62,0.11,0.45,0.06,0.36,0.06,0.05,0.05,0.36,0.06,-0.11,0.05,0.12,0.06,-0.41,0.1,0.11,0.09,-0.02,0.08,0.14,0.16,0.1,0.12,-0.18,0.05,0.22,0.06,-0.06,0.08,0.18,0.07,0.39,0.08,0.4,0.05
Gaia DR3 1187898485610541696,-1.19,0.18,-0.66,0.26,-0.04,0.1,0.25,0.13,,,0.38,0.17,0.38,0.05,0.34,0.14,0.39,0.1,0.02,0.14,0.37,0.03,-0.35,0.09,-0.36,0.18,-0.0,0.07,0.02,0.21,0.18,0.2,0.04,0.21,0.58,0.14,0.29,0.12,0.34,0.14,0.72,0.1,0.62,0.19
Gaia DR3 2472646349146818816,-1.55,0.21,-0.56,0.24,-0.02,0.13,0.34,0.12,-0.66,0.12,0.41,0.18,0.38,0.06,0.33,0.1,0.48,0.08,-0.02,0.08,0.14,0.06,-0.41,0.08,0.02,0.21,-0.1,0.09,-0.02,0.22,0.12,0.13,-0.08,0.09,0.28,0.1,0.24,0.11,0.36,0.07,0.74,0.1,0.76,0.11
Gaia DR3 2504634406573540608,-1.24,0.21,-0.31,0.22,-0.15,0.12,0.25,0.15,-0.86,0.2,0.34,0.18,0.36,0.06,0.26,0.09,0.48,0.07,-0.01,0.06,0.03,0.06,-0.28,0.12,-0.08,0.16,-0.02,0.09,-0.0,0.2,0.21,0.14,0.07,0.08,0.29,0.1,0.29,0.12,0.32,0.08,0.57,0.11,0.7,0.1
Gaia DR3 2505065101598396416,-1.32,0.19,-0.77,0.26,-0.04,0.11,0.28,0.12,-0.82,0.11,0.31,0.18,0.38,0.04,0.35,0.11,0.52,0.1,0.01,0.11,0.19,0.12,-0.35,0.1,-0.13,0.24,-0.08,0.07,-0.12,0.22,0.09,0.17,-0.04,0.13,0.23,0.11,0.21,0.12,0.27,0.09,0.62,0.09,0.54,0.13
Gaia DR3 2538202737087917184,-0.88,0.2,-0.37,0.23,-0.08,0.12,0.04,0.14,-0.92,0.21,0.23,0.15,0.32,0.06,0.22,0.1,0.38,0.07,0.13,0.1,0.16,0.08,-0.21,0.09,-0.12,0.2,-0.05,0.07,-0.08,0.2,-0.0,0.13,-0.13,0.14,0.32,0.12,0.32,0.12,0.29,0.08,0.5,0.1,0.52,0.1
Gaia DR3 2543390232947773824,-1.28,0.2,-0.22,0.2,-0.1,0.1,0.2,0.12,-0.81,0.11,0.41,0.14,0.36,0.05,0.25,0.08,0.45,0.06,-0.02,0.05,0.2,0.05,-0.29,0.11,-0.01,0.12,-0.04,0.07,0.01,0.18,0.21,0.11,-0.0,0.07,0.48,0.12,0.14,0.12,0.3,0.07,0.59,0.09,0.69,0.1
Gaia DR3 2558587476508131072,-1.31,0.2,-0.51,0.2,-0.17,0.1,0.26,0.13,-0.99,0.2,0.46,0.13,0.29,0.05,0.17,0.07,0.36,0.06,-0.12,0.04,0.01,0.06,-0.33,0.1,0.02,0.18,0.01,0.08,0.25,0.18,-0.03,0.14,-0.11,0.06,0.31,0.08,0.14,0.1,0.18,0.06,0.48,0.1,0.62,0.08
Gaia DR3 2566035087238555776,-2.38,0.14,0.18,0.16,0.23,0.1,0.37,0.1,-0.96,0.14,0.78,0.05,0.34,0.06,0.06,0.05,0.37,0.06,-0.1,0.07,0.25,0.03,-0.52,0.07,0.16,0.06,-0.1,0.09,0.11,0.11,0.02,0.2,-0.37,0.07,-0.0,0.04,-0.44,0.05,,,-0.05,0.08,-0.09,0.09
Gaia DR3 2632995998205049216,-1.59,0.22,-0.6,0.25,-0.19,0.14,0.28,0.12,-0.91,0.2,0.43,0.19,0.31,0.06,0.15,0.08,0.35,0.09,-0.04,0.11,0.14,0.13,-0.42,0.1,-0.31,0.17,-0.16,0.09,-0.15,0.24,0.13,0.14,0.06,0.12,0.26,0.1,0.34,0.14,0.38,0.08,0.58,0.11,0.52,0.09
