Name,[Eu II/Mg I],e_[Eu II/Mg I],[Eu II/Fe II],e_[Eu II/Fe II],[Sr II/Ba II],e_[Sr II/Ba II],[Sr II/Mg I],e_[Sr II/Mg I],[Eu II/Ba II],e_[Eu II/Ba II]
Gaia DR3 31707926776039680,0.06,0.14,0.39,0.08,0.16,0.06,-0.24,0.1,0.45,0.11
Gaia DR3 1187898485610541696,0.52,0.2,0.72,0.1,-0.11,0.19,-0.03,0.17,0.44,0.14
Gaia DR3 2472646349146818816,0.38,0.2,0.74,0.1,-0.12,0.13,-0.25,0.12,0.5,0.17
Gaia DR3 2504634406573540608,0.27,0.2,0.57,0.11,-0.08,0.16,-0.09,0.13,0.28,0.2
Gaia DR3 2505065101598396416,0.29,0.19,0.62,0.09,-0.13,0.16,-0.24,0.16,0.41,0.14
Gaia DR3 2538202737087917184,0.38,0.19,0.5,0.1,-0.33,0.14,-0.12,0.15,0.18,0.17
Gaia DR3 2543390232947773824,0.28,0.19,0.59,0.09,0.07,0.13,-0.1,0.13,0.45,0.17
Gaia DR3 2558587476508131072,0.44,0.2,0.48,0.1,-0.17,0.14,-0.07,0.14,0.34,0.16
Gaia DR3 2566035087238555776,-0.47,0.18,-0.05,0.08,0.46,0.22,-0.4,0.22,0.39,0.11
Gaia DR3 2632995998205049216,0.27,0.19,0.58,0.11,-0.22,0.15,-0.19,0.1,0.24,0.18
Gaia DR3 2659914516754259456,0.27,0.11,0.5,0.07,-0.22,0.16,-0.6,0.21,0.64,0.09
Gaia DR3 2733469542550276352,0.1,0.12,0.56,0.04,0.07,0.19,-0.38,0.19,0.55,0.1
Gaia DR3 2765074076578453760,0.14,0.21,0.52,0.08,-0.11,0.12,-0.32,0.13,0.36,0.17
Gaia DR3 2792504520868554240,-0.41,0.22,0.22,0.1,0.08,0.11,-0.92,0.2,0.58,0.1
Gaia DR3 2810525379008979968,0.56,0.17,0.85,0.08,-0.26,0.14,-0.22,0.13,0.51,0.15
Gaia DR3 2811948250134539520,0.24,0.19,0.53,0.11,-0.17,0.15,-0.26,0.14,0.33,0.18
Gaia DR3 2911019229961694208,-0.28,0.17,0.16,0.06,0.16,0.12,-0.07,0.11,-0.04,0.12
Gaia DR3 2914192523598690048,0.41,0.1,0.74,0.06,-0.12,0.13,-0.27,0.18,0.56,0.09
Gaia DR3 3247170789616103808,0.23,0.15,0.61,0.06,0.11,0.08,-0.2,0.11,0.54,0.1
Gaia DR3 3257948717988018304,0.23,0.13,0.33,0.07,-0.08,0.08,-0.14,0.14,0.29,0.11
Gaia DR3 3642334203486585728,0.5,0.21,0.66,0.15,-0.22,0.18,-0.04,0.15,0.32,0.2
Gaia DR3 4045622011959470464,0.36,0.21,0.68,0.13,-0.13,0.16,-0.21,0.15,0.44,0.19
Gaia DR3 4081038754562022528,0.53,0.21,0.7,0.13,-0.19,0.15,-0.19,0.14,0.52,0.15
Gaia DR3 4227203402244069120,0.4,0.2,0.58,0.14,-0.2,0.23,-0.08,0.22,0.28,0.18
Gaia DR3 4377687545785813248,-0.18,0.2,0.3,0.11,0.1,0.16,-0.14,0.16,0.05,0.17
Gaia DR3 4420695900880776576,0.24,0.21,0.58,0.13,-0.04,0.16,-0.13,0.17,0.32,0.17
Gaia DR3 4675852078212908416,0.15,0.13,0.5,0.06,-0.06,0.14,-0.46,0.19,0.56,0.09
Gaia DR3 4750826882756774784,0.1,0.17,0.35,0.08,0.1,0.09,-0.21,0.16,0.41,0.11
Gaia DR3 4757975288886077184,-0.81,0.38,-0.33,0.09,0.1,0.22,-1.17,0.45,0.46,0.11
Gaia DR3 4777636927611794432,-0.02,0.13,0.16,0.07,0.15,0.08,-0.37,0.12,0.5,0.08
Gaia DR3 4780985799511960576,0.11,0.21,0.5,0.08,-0.1,0.07,-0.44,0.14,0.44,0.12
Gaia DR3 4786174291804662528,-0.2,0.16,0.14,0.07,0.51,0.08,-0.21,0.11,0.53,0.09
Gaia DR3 4816836269489019904,0.11,0.15,0.6,0.06,0.06,0.14,-0.5,0.2,0.67,0.09
Gaia DR3 4892850490479845120,0.23,0.18,0.55,0.05,0.07,0.07,-0.13,0.13,0.43,0.12
Gaia DR3 4930039787661776896,0.42,0.18,0.44,0.11,-0.62,0.14,0.2,0.11,-0.41,0.22
Gaia DR3 4940475493039087872,-0.37,0.15,0.02,0.06,-0.19,0.18,-1.16,0.23,0.6,0.06
Gaia DR3 4953772814866348928,0.1,0.16,0.47,0.06,-0.38,0.17,-1.02,0.24,0.75,0.08
Gaia DR3 5152929864265512448,0.16,0.18,0.5,0.08,-0.17,0.06,-0.32,0.16,0.31,0.14
Gaia DR3 5208594251034223872,0.0,0.14,0.36,0.07,0.13,0.11,-0.32,0.17,0.45,0.08
Gaia DR3 5221522416131163392,-0.07,0.14,0.25,0.07,0.08,0.04,-0.27,0.11,0.28,0.1
Gaia DR3 5548763464834134400,0.26,0.2,0.55,0.07,-0.08,0.09,-0.21,0.13,0.38,0.14
Gaia DR3 6243816407441434752,0.5,0.22,0.86,0.1,-0.13,0.17,-0.07,0.16,0.44,0.18
Gaia DR3 6782821815106683008,-0.13,0.1,0.25,0.06,0.07,0.18,-0.66,0.21,0.6,0.07
