Name,lambda,Species,chi,loggf,EW,f_EW,e_EW,l_logeps,logeps,sigma,sigmaStat,sigmaSys,sigmaTeff,sigmalogg,sigmaVmic,sigma[M/H],sigmacont
CarII-0064,4102.94,14.0,1.91,-3.14,95.7,,6.6,,5.29,0.24,0.12,0.21,0.19,-0.04,-0.09,-0.01,0.15
CarII-0064,4161.53,22.1,1.08,-2.09,72.1,,6.5,,2.73,0.17,0.1,0.14,0.06,0.11,-0.07,0.01,0.1
CarII-0064,4163.64,22.1,2.59,-0.13,70.4,,8.0,,2.57,0.19,0.14,0.12,0.0,0.1,-0.07,0.01,0.1
CarII-0064,4318.65,20.0,1.9,-0.21,80.7,,6.8,,4.1,0.2,0.12,0.16,0.13,-0.05,-0.08,-0.01,0.09
CarII-0064,4330.7,22.1,1.18,-2.09,61.5,,4.9,,2.65,0.15,0.08,0.13,0.06,0.11,-0.04,0.01,0.05
CarII-0064,4394.06,22.1,1.22,-1.77,83.8,,4.0,,2.74,0.15,0.07,0.13,0.04,0.09,-0.09,0.0,0.07
CarII-0064,4395.03,22.1,1.08,-0.54,135.4,,4.9,,2.38,0.27,0.12,0.24,0.04,0.09,-0.22,0.0,0.16
CarII-0064,4395.84,22.1,1.24,-1.93,59.9,,4.2,,2.54,0.14,0.06,0.13,0.06,0.11,-0.04,0.01,0.04
CarII-0064,4399.77,22.1,1.24,-1.2,121.3,,6.6,,2.93,0.25,0.15,0.2,0.04,0.08,-0.18,0.01,0.14
CarII-0064,4408.41,26.0,2.2,-1.77,106.0,,4.6,,5.62,0.26,0.09,0.25,0.2,-0.06,-0.14,-0.01,0.11
CarII-0064,4416.82,26.1,2.78,-2.65,82.3,,4.5,,5.41,0.16,0.09,0.13,-0.01,0.1,-0.09,0.01,0.09
CarII-0064,4417.72,22.1,1.16,-1.43,90.6,,4.8,,2.45,0.17,0.09,0.15,0.05,0.1,-0.1,0.01,0.09
CarII-0064,4418.33,22.1,1.24,-1.99,63.9,,5.1,,2.65,0.15,0.08,0.13,0.06,0.11,-0.04,0.01,0.06
CarII-0064,4422.57,26.0,2.84,-1.11,64.2,,8.3,,5.01,0.22,0.14,0.18,0.16,-0.04,-0.05,-0.01,0.06
CarII-0064,4425.44,20.0,1.88,-0.36,87.9,,5.7,,4.34,0.2,0.1,0.17,0.13,-0.06,-0.09,-0.01,0.09
CarII-0064,4430.61,26.0,2.22,-1.73,96.2,,5.3,,5.41,0.25,0.1,0.23,0.19,-0.06,-0.12,-0.01,0.1
CarII-0064,4435.68,20.0,1.89,-0.52,63.7,,4.0,,4.1,0.16,0.06,0.15,0.13,-0.04,-0.04,-0.0,0.05
CarII-0064,4441.73,22.1,1.18,-2.41,48.2,,3.1,,2.76,0.14,0.05,0.13,0.06,0.11,-0.03,0.01,0.04
CarII-0064,4442.34,26.0,2.2,-1.23,123.0,,3.7,,5.39,0.28,0.07,0.27,0.2,-0.07,-0.16,-0.01,0.11
CarII-0064,4443.19,26.0,2.86,-1.02,80.8,,4.4,,5.21,0.21,0.08,0.19,0.16,-0.05,-0.09,-0.01,0.07
CarII-0064,4443.8,22.1,1.08,-0.71,131.4,,4.0,,2.45,0.24,0.08,0.22,0.04,0.08,-0.2,0.0,0.12
CarII-0064,4444.55,22.1,1.11,-2.2,54.7,,4.1,,2.57,0.15,0.06,0.13,0.06,0.11,-0.03,0.01,0.04
CarII-0064,4447.72,26.0,2.22,-1.34,108.7,,3.3,,5.26,0.26,0.06,0.25,0.2,-0.07,-0.14,-0.01,0.1
CarII-0064,4450.48,22.1,1.08,-1.52,110.3,,4.5,,2.81,0.2,0.09,0.18,0.04,0.09,-0.15,0.01,0.1
CarII-0064,4454.38,26.0,2.83,-1.25,62.2,,4.2,,5.09,0.19,0.07,0.18,0.17,-0.04,-0.04,-0.01,0.05
CarII-0064,4454.78,20.0,1.9,0.26,100.9,,5.2,,3.98,0.21,0.1,0.19,0.13,-0.07,-0.12,-0.01,0.09
CarII-0064,4455.89,20.0,1.9,-0.52,62.8,,3.5,,4.1,0.15,0.05,0.14,0.13,-0.04,-0.04,-0.0,0.05
CarII-0064,4464.45,22.1,1.16,-2.08,80.2,,3.8,,2.9,0.15,0.07,0.14,0.05,0.1,-0.08,0.01,0.07
CarII-0064,4468.49,22.1,1.13,-0.63,127.2,,4.0,,2.33,0.23,0.09,0.21,0.03,0.08,-0.19,0.0,0.13
CarII-0064,4470.86,22.1,1.16,-2.28,54.4,,3.9,,2.7,0.14,0.06,0.13,0.06,0.11,-0.03,0.01,0.04
CarII-0064,4484.22,26.0,3.6,-0.64,50.6,,4.5,,5.22,0.16,0.07,0.15,0.14,-0.03,-0.03,-0.0,0.04
CarII-0064,4489.19,26.1,2.83,-2.96,60.2,,3.4,,5.4,0.13,0.05,0.12,-0.01,0.11,-0.05,0.01,0.05
CarII-0064,4490.08,26.0,3.02,-1.58,23.7,,2.6,,4.97,0.18,0.06,0.17,0.17,-0.02,-0.01,-0.0,0.03
CarII-0064,4491.41,26.1,2.86,-2.71,55.9,,3.8,,5.12,0.14,0.07,0.12,-0.0,0.11,-0.04,0.01,0.04
CarII-0064,4493.52,22.1,1.08,-2.78,27.8,,3.8,,2.65,0.16,0.07,0.14,0.07,0.12,-0.01,0.01,0.03
CarII-0064,4494.56,26.0,2.2,-1.14,117.7,,4.1,,5.19,0.27,0.08,0.26,0.2,-0.07,-0.15,-0.01,0.1
CarII-0064,4501.27,22.1,1.11,-0.77,126.8,,3.7,,2.42,0.23,0.09,0.2,0.04,0.1,-0.17,0.0,0.14
CarII-0064,4508.28,26.1,2.86,-2.44,71.2,,3.2,,5.09,0.14,0.05,0.12,-0.01,0.11,-0.06,0.01,0.05
CarII-0064,4512.73,22.0,0.83,-0.4,38.7,,4.7,,2.82,0.23,0.07,0.22,0.22,-0.04,-0.02,-0.0,0.03
CarII-0064,4515.34,26.1,2.84,-2.6,64.7,,3.4,,5.13,0.13,0.06,0.12,-0.01,0.11,-0.05,0.01,0.05
CarII-0064,4520.22,26.1,2.81,-2.65,76.1,,4.1,,5.33,0.15,0.07,0.13,-0.01,0.1,-0.07,0.01,0.06
CarII-0064,4528.61,26.0,2.17,-0.89,134.0,,3.7,,5.2,0.28,0.06,0.27,0.21,-0.07,-0.17,-0.01,0.11
CarII-0064,4529.48,22.1,1.57,-1.75,60.8,,3.7,,2.76,0.14,0.06,0.13,0.04,0.11,-0.04,0.01,0.04
CarII-0064,4531.15,26.0,1.48,-2.1,98.7,,4.0,,4.91,0.27,0.08,0.26,0.22,-0.06,-0.12,-0.01,0.09
CarII-0064,4534.78,22.0,0.83,0.35,59.0,,3.8,,2.39,0.23,0.06,0.22,0.21,-0.04,-0.04,-0.01,0.04
CarII-0064,4535.57,22.0,0.82,0.14,62.1,,4.1,,2.63,0.23,0.06,0.22,0.21,-0.04,-0.04,-0.01,0.05
CarII-0064,4541.52,26.1,2.86,-2.98,64.9,,5.0,,5.53,0.15,0.08,0.12,-0.01,0.11,-0.05,0.01,0.05
CarII-0064,4545.13,22.1,1.13,-2.45,46.2,,3.4,,2.69,0.14,0.05,0.14,0.06,0.12,-0.02,0.01,0.03
CarII-0064,4545.95,24.0,0.94,-1.37,53.2,,4.3,,3.34,0.22,0.07,0.21,0.21,-0.04,-0.03,-0.0,0.04
CarII-0064,4548.76,22.0,0.82,-0.28,22.3,,2.7,,2.37,0.23,0.06,0.22,0.22,-0.03,-0.01,-0.0,0.02
CarII-0064,4555.89,26.1,2.83,-2.4,84.8,,5.3,,5.25,0.17,0.1,0.14,-0.02,0.1,-0.09,0.01,0.07
CarII-0064,4558.65,24.1,4.07,-0.66,55.3,,3.6,,3.69,0.14,0.06,0.12,-0.05,0.11,-0.04,0.01,0.04
CarII-0064,4563.76,22.1,1.22,-0.96,135.5,,3.6,,2.92,0.24,0.07,0.23,0.04,0.08,-0.21,0.0,0.12
CarII-0064,4571.1,12.0,0.0,-5.69,86.6,,3.3,,5.33,0.3,0.05,0.29,0.28,-0.06,-0.06,-0.01,0.06
CarII-0064,4571.97,22.1,1.57,-0.31,132.1,,4.0,,2.63,0.23,0.08,0.22,0.03,0.08,-0.2,0.0,0.11
CarII-0064,4576.34,26.1,2.84,-2.95,47.9,,3.7,,5.2,0.13,0.06,0.12,0.0,0.12,-0.03,0.01,0.04
CarII-0064,4580.05,24.0,0.94,-1.66,44.8,,3.6,,3.5,0.22,0.06,0.21,0.21,-0.04,-0.02,-0.0,0.03
CarII-0064,4583.84,26.1,2.81,-1.93,111.9,,4.2,,5.26,0.19,0.08,0.17,-0.02,0.09,-0.14,0.0,0.1
CarII-0064,4588.2,24.1,4.07,-0.83,42.1,,3.6,,3.63,0.14,0.06,0.12,-0.04,0.11,-0.02,0.01,0.03
CarII-0064,4589.96,22.1,1.24,-1.79,91.3,,3.9,,2.87,0.16,0.07,0.15,0.04,0.1,-0.1,0.01,0.08
CarII-0064,4592.65,26.0,1.56,-2.46,99.9,,4.1,,5.37,0.27,0.08,0.26,0.22,-0.06,-0.13,-0.01,0.09
CarII-0064,4600.75,24.0,1.0,-1.25,61.7,,4.1,,3.42,0.22,0.06,0.21,0.2,-0.04,-0.04,-0.01,0.04
CarII-0064,4602.0,26.0,1.61,-3.13,57.2,,3.6,,5.38,0.24,0.05,0.23,0.23,-0.04,-0.03,-0.0,0.04
CarII-0064,4602.94,26.0,1.48,-2.21,103.6,,3.5,,5.11,0.28,0.07,0.27,0.22,-0.07,-0.14,-0.02,0.09
CarII-0064,4607.65,26.0,3.26,-1.33,37.3,,4.7,,5.28,0.18,0.08,0.16,0.15,-0.03,-0.02,-0.0,0.03
CarII-0064,4616.12,24.0,0.98,-1.19,63.6,,3.0,,3.36,0.22,0.04,0.21,0.21,-0.04,-0.04,-0.01,0.04
CarII-0064,4619.29,26.0,3.6,-1.06,32.4,,3.5,,5.32,0.16,0.07,0.14,0.14,-0.02,-0.01,-0.0,0.03
CarII-0064,4620.52,26.1,2.83,-3.21,36.6,,4.2,,5.26,0.14,0.07,0.12,0.0,0.12,-0.02,0.01,0.03
CarII-0064,4625.05,26.0,3.24,-1.27,35.6,,2.8,,5.15,0.17,0.05,0.16,0.16,-0.02,-0.02,-0.0,0.03
CarII-0064,4626.17,24.0,0.97,-1.33,46.1,,2.5,,3.21,0.22,0.04,0.21,0.21,-0.03,-0.02,-0.0,0.03
CarII-0064,4630.12,26.0,2.28,-2.59,51.9,,3.8,,5.58,0.21,0.06,0.2,0.2,-0.03,-0.03,-0.0,0.03
CarII-0064,4636.32,22.1,1.16,-2.85,18.3,,2.7,,2.59,0.15,0.07,0.14,0.07,0.12,-0.01,0.01,0.02
CarII-0064,4637.5,26.0,3.28,-1.29,48.3,,3.9,,5.44,0.17,0.06,0.16,0.15,-0.03,-0.03,-0.0,0.03
CarII-0064,4643.46,26.0,3.64,-1.15,28.3,,4.6,,5.37,0.17,0.09,0.14,0.14,-0.02,-0.01,-0.0,0.02
CarII-0064,4646.16,24.0,1.03,-0.74,80.4,,3.6,,3.23,0.23,0.07,0.22,0.2,-0.05,-0.07,-0.0,0.07
CarII-0064,4647.43,26.0,2.95,-1.31,64.8,,3.3,,5.31,0.19,0.06,0.18,0.17,-0.03,-0.05,-0.0,0.05
CarII-0064,4651.29,24.0,0.98,-1.46,58.3,,3.9,,3.55,0.22,0.06,0.21,0.21,-0.04,-0.04,-0.01,0.04
CarII-0064,4652.16,24.0,1.0,-1.04,53.4,,3.3,,3.08,0.22,0.05,0.21,0.2,-0.04,-0.03,-0.0,0.04
CarII-0064,4656.47,22.0,0.0,-1.34,26.8,,3.2,,2.51,0.27,0.06,0.26,0.25,-0.04,-0.01,-0.01,0.02
CarII-0064,4657.2,22.1,1.24,-2.29,45.7,,4.5,,2.65,0.15,0.07,0.13,0.06,0.12,-0.02,0.01,0.03
CarII-0064,4668.13,26.0,3.26,-1.08,64.6,,3.8,,5.46,0.18,0.07,0.16,0.15,-0.03,-0.05,-0.0,0.04
CarII-0064,4669.17,26.0,3.65,-1.25,12.9,,3.1,,5.07,0.18,0.11,0.14,0.14,-0.02,-0.01,-0.0,0.02
CarII-0064,4678.85,26.0,3.6,-0.68,51.4,,3.3,,5.25,0.16,0.06,0.15,0.14,-0.03,-0.03,-0.0,0.03
CarII-0064,4681.91,22.0,0.05,-1.07,47.8,,3.4,,2.65,0.26,0.05,0.26,0.25,-0.04,-0.02,-0.01,0.03
CarII-0064,4691.41,26.0,2.99,-1.45,52.6,,3.2,,5.31,0.18,0.05,0.17,0.17,-0.03,-0.03,-0.0,0.03
CarII-0064,4702.99,12.0,4.33,-0.38,77.0,,3.2,,5.12,0.12,0.04,0.11,0.09,-0.05,-0.04,-0.01,0.04
CarII-0064,4707.27,26.0,3.24,-0.96,67.9,,5.7,,5.36,0.19,0.09,0.17,0.15,-0.04,-0.05,-0.01,0.04
CarII-0064,4708.66,22.1,1.24,-2.35,40.0,,3.2,,2.61,0.14,0.05,0.13,0.06,0.12,-0.02,0.01,0.03
CarII-0064,4710.28,26.0,3.02,-1.61,47.5,,3.9,,5.42,0.18,0.06,0.17,0.17,-0.03,-0.03,-0.0,0.04
CarII-0064,4714.42,28.0,3.38,0.25,54.6,,4.5,,3.82,0.16,0.07,0.14,0.14,-0.03,-0.04,-0.0,0.04
CarII-0064,4722.15,30.0,4.03,-0.34,16.1,,3.1,,2.0,0.13,0.09,0.09,0.07,0.06,-0.01,0.01,0.02
CarII-0064,4731.44,26.1,2.89,-3.1,45.7,,3.1,,5.37,0.13,0.05,0.12,-0.0,0.12,-0.03,0.01,0.03
CarII-0064,4733.59,26.0,1.48,-2.99,73.4,,3.1,,5.33,0.25,0.06,0.25,0.24,-0.04,-0.06,-0.01,0.04
CarII-0064,4736.77,26.0,3.21,-0.67,79.3,,3.3,,5.21,0.19,0.06,0.18,0.16,-0.05,-0.07,-0.01,0.05
CarII-0064,4779.98,22.1,2.05,-1.37,35.1,,3.9,,2.53,0.14,0.07,0.12,0.03,0.12,-0.01,0.01,0.03
CarII-0064,4786.81,26.0,3.0,-1.61,36.6,,5.3,,5.21,0.19,0.09,0.17,0.17,-0.03,-0.02,-0.0,0.03
