Name,Simbad_Identifier,System,RA_hms,DEC_dms,SNR5000,Vel
BooII-7,SDSS J135801.42+125105.0,Bootes II,13:58:01.0,12:51:04.7,55,-138
BooII-15,SDSS J135751.18+125136.9,Bootes II,13:57:51.2,12:51:36.6,60,-119
LeoIV-S1,SDSS J113255.99-003027.8,Leo IV,11:32:56.0,-00:30:27.8,35,126
J113258,SDSS J113258.70-003449.9,Leo IV,11:32:58.7,-00:34:50.0,50,129
J125713,SDSS J125713.63+341846.9,Cane Venatici II,12:57:13.6,+34:18:46.9,25,135
J132755,SDSS J132755.65+333324.5,Cane Venatici I,13:27:55.7,+33:33:24.5,30,21
J132844,SDSS J132844.25+333411.8,Cane Venatici I,13:28:44.3,+33:34:11.8,35,21
J163044,SDSS J163044.49+124947.8,Hercules,16:30:44.5,+12:49:47.9,45,35
J163059,SDSS J163059.32+124725.6,Hercules,16:30:59.3,+12:47:25.6,50,36
J163114,SDSS J163114.06+124526.6,Hercules,16:31:14.1,+12:45:26.6,70,49
J163104,SDSS J163104.50+124614.4,Hercules,16:31:04.5,+12:46:14.5,35,40
