Found, JINA_ID, Query_ID, RA_input   , DEC_input  , main_id                     , ra                , dec                , coo_err_maj, coo_err_min, coo_err_angle, coo_wavelength, coo_bibcode        , V                 , U, K                 , I                 , R                 , J                 , B                 , H                 , otype, plx_value, rvz_nature, rvz_qual, pmra , pmdec , sp_bibcode         , sp_qual, sp_type
True ,        , BL112   , 02:38:45.68, -34:34:47.5, 2MASS J02384571-3434475     , 39.69046918588    , -34.57992186938    ,      0.0489,      0.062 ,            90, O             , 2020yCat.1350....0G, 18.209999084472656,  , 14.89900016784668 , 16.799999237060547,                   , 15.802000045776367,                   , 15.307000160217285, RG*  ,          , s         , A       , 0.269, -0.364,                    ,        , 
True ,        , BL113   , 02:39:08.16, -34:36:53.3, GB07 Fnx31                  , 39.78411277744    , -34.61491134519    ,      0.0481,      0.0633,            90, O             , 2020yCat.1350....0G, 18.27400016784668 ,  , 14.857000350952148,                   ,                   , 15.82699966430664 ,                   , 15.145999908447266, RG*  ,          , s         , A       , 0.467, -0.265,                    ,        , 
True ,        , BL115   , 02:38:43.45, -34:32:05.3, 2MASS J02384346-3432054     , 39.68113810604    , -34.53486321737    ,      0.0523,      0.0666,            90, O             , 2020yCat.1350....0G, 18.290000915527344,  , 14.949000358581543, 16.81999969482422 ,                   , 15.824000358581543,                   , 15.064000129699707, RG*  ,    0.0026, s         , A       , 0.38 , -0.172,                    ,        , 
True ,        , BL119   , 02:38:42.17, -34:29:50.8, 2MASS J02384221-3429510     , 39.675867611399994, -34.49752071849362 ,      0.0526,      0.0626,            90, O             , 2020yCat.1350....0G,                   ,  , 14.753000259399414,                   ,                   , 15.732000350952148,                   , 15.00100040435791 , RG*  ,          , s         , A       , 0.378, -0.501,                    ,        , 
True ,        , BL122   , 02:39:02.91, -34:31:12.0, 2MASS J02390293-3431123     , 39.76224216241    , -34.52008385730001 ,      0.0517,      0.0657,            90, O             , 2020yCat.1350....0G, 18.290000915527344,  , 14.795999526977539, 16.850000381469727,                   , 15.758999824523926,                   , 15.208999633789062, RG*  ,    0.2724, s         , A       , 0.376, -0.407,                    ,        , 
True ,        , BL123   , 02:38:53.75, -34:30:06.6, 2MASS J02385377-3430067     , 39.72410147485    , -34.501912412      ,      0.0503,      0.0647,            90, O             , 2020yCat.1350....0G, 18.389999389648438,  , 14.772000312805176, 16.799999237060547,                   , 15.767999649047852,                   , 14.79800033569336 , RG*  ,    0.0115, s         , A       , 0.545, -0.494,                    ,        , 
True ,        , BL125   , 02:39:08.50, -34:30:55.4, GB07 Fnx16                  , 39.78557228972    , -34.51546179892    ,      0.1148,      0.1459,            90, O             , 2020yCat.1350....0G, 18.398000717163086,  , 14.954000473022461, 16.920000076293945,                   , 15.890999794006348,                   , 15.055000305175781, RG*  ,    0.7644, s         , A       , 1.637, -2.798,                    ,        , 
True ,        , BL127   , 02:39:04.00, -34:37:26.1, 2MASS J02390403-3437265     , 39.76676692534999 , -34.62402531919    ,      0.0504,      0.067 ,            90, O             , 2020yCat.1350....0G, 18.350000381469727,  , 14.973999977111816, 16.780000686645508,                   , 15.746000289916992,                   , 14.878999710083008, RG*  ,          , s         , A       , 0.502, -0.214,                    ,        , 
True ,        , BL132   , 02:38:53.62, -34:33:04.5, GB07 Fnx20                  , 39.72354539889    , -34.55134063354999 ,      0.0479,      0.0639,            90, O             , 2020yCat.1350....0G, 18.457000732421875,  , 14.581999778747559, 16.709999084472656,                   , 15.607999801635742,                   , 14.78499984741211 , RG*  ,          , s         , A       , 0.371, -0.187,                    ,        , 
True ,        , BL135   , 02:39:01.55, -34:36:48.7, GB07 Fnx30                  , 39.75656377461875 , -34.61361512754556 ,      0.0571,      0.0738,            90, O             , 2020yCat.1350....0G, 18.52899932861328 ,  , 15.04699993133545 , 16.989999771118164,                   , 15.826000213623047,                   , 15.156999588012695, RG*  ,    0.1538, s         , A       , 0.245, -0.34 ,                    ,        , 
True ,        , BL138   , 02:39:16.20, -34:37:00.2, [LHT2010] BL138             , 39.81764565105041 , -34.616834972265   ,      0.0515,      0.0651,            90, O             , 2020yCat.1350....0G,                   ,  , 14.756999969482422,                   ,                   , 15.909000396728516,                   , 14.887999534606934, RG*  ,    0.1713, s         , A       , 0.334, -0.39 ,                    ,        , 
True ,        , BL140   , 02:39:11.56, -34:30:44.7, GB07 Fnx15                  , 39.79831256922    , -34.512507119869994,      0.054 ,      0.0672,            90, O             , 2020yCat.1350....0G, 18.496000289916992,  , 14.812999725341797, 16.899999618530273,                   , 15.892999649047852,                   , 15.04699993133545 , RG*  ,          , s         , A       , 0.257, -0.246,                    ,        , 
True ,        , BL141   , 02:39:10.99, -34:28:34.4, GB07 Fnx09                  , 39.795906211749994, -34.47633188944    ,      0.0564,      0.0726,            90, O             , 2020yCat.1350....0G, 18.527000427246094,  , 15.006999969482422, 17.06999969482422 ,                   , 16.062000274658203,                   , 15.444999694824219, RG*  ,          , s         , A       , 0.431, -0.178,                    ,        , 
True ,        , BL146   , 02:38:41.76, -34:28:58.4, [LHT2010] BL146             , 39.67413662107249 , -34.48294502747832 ,      0.0582,      0.0733,            90, O             , 2020yCat.1350....0G,                   ,  ,                   ,                   ,                   , 16.26099967956543 ,                   , 15.25100040435791 , RG*  ,          , s         , A       , 0.286, -0.249,                    ,        , 
True ,        , BL147   , 02:38:44.02, -34:30:51.8, [LHT2010] BL147             , 39.68355907800792 , -34.514457378695276,      0.0569,      0.0716,            90, O             , 2020yCat.1350....0G,                   ,  ,                   ,                   ,                   , 16.17300033569336 ,                   , 15.734999656677246, RG*  ,          , s         , A       , 0.353, -0.413,                    ,        , 
True ,        , BL148   , 02:39:11.05, -34:39:08.6, 2MASS J02391107-3439090     , 39.79618013182001 , -34.65252476604001 ,      0.0503,      0.065 ,            90, O             , 2020yCat.1350....0G, 18.360000610351562,  , 14.579000473022461, 16.739999771118164,                   , 15.777999877929688,                   , 15.001999855041504, RG*  ,    0.0322, s         , A       , 0.481, -0.405,                    ,        , 
True ,        , BL149   , 02:38:57.19, -34:35:39.8, GB07 Fnx28                  , 39.73841634816    , -34.59449315761001 ,      0.0561,      0.0749,            90, O             , 2020yCat.1350....0G, 18.57699966430664 ,  , 15.128999710083008,                   ,                   , 15.973999977111816,                   , 15.302000045776367, RG*  ,    0.0432, s         , A       , 0.33 , -0.411,                    ,        , 
True ,        , BL150   , 02:39:13.94, -34:28:36.1, GB07 Fnx10                  , 39.808227871296666, -34.47683414556361 ,      0.0582,      0.0747,            90, O             , 2020yCat.1350....0G, 18.549999237060547,  , 14.854000091552734, 16.989999771118164, 17.70800018310547 , 16.027999877929688, 20.038999557495117, 15.239999771118164, RG*  ,          , s         , A       , 0.245, -0.183,                    ,        , 
True ,        , BL151   , 02:39:00.29, -34:30:30.0, GB07 Fnx13                  , 39.75132764018    , -34.50841476779    ,      0.0597,      0.0759,            90, O             , 2020yCat.1350....0G, 18.56599998474121 ,  , 15.057999610900879, 17.010000228881836,                   , 15.961000442504883,                   , 14.949000358581543, RG*  ,          , s         , A       , 0.407, -0.472,                    ,        , 
True ,        , BL153   , 02:39:08.35, -34:32:44.8, 2MASS J02390838-3432451     , 39.78490090662999 , -34.54584821605    ,      0.0556,      0.0725,            90, O             , 2020yCat.1350....0G, 18.559999465942383,  , 15.180999755859375, 17.030000686645508, 17.701000213623047, 15.871000289916992, 20.070999145507812, 15.305999755859375, RG*  ,    0.0363, s         , A       , 0.373, -0.514,                    ,        , 
True ,        , BL155   , 02:38:40.44, -34:35:25.0, 2MASS J02384047-3435251     , 39.66864674369    , -34.59035161985    ,      0.0535,      0.0688,            90, O             , 2020yCat.1350....0G, 18.510000228881836,  , 14.751999855041504, 16.979999542236328,                   , 15.984000205993652,                   , 15.079999923706055, RG*  ,          , s         , A       , 0.266, -0.256,                    ,        , 
True ,        , BL156   , 02:39:05.62, -34:26:30.6, 2MASS J02390563-3426310     , 39.773528418789994, -34.44196399332    ,      0.0634,      0.0819,            90, O             , 2020yCat.1350....0G, 18.56999969482422 ,  , 14.961000442504883, 17.1200008392334  ,                   , 16.242000579833984,                   , 15.269000053405762, RG*  ,    0.1851, s         , A       , 0.442, -0.299,                    ,        , 
True ,        , BL157   , 02:39:02.44, -34:27:35.4, Gaia DR3 5062258908463470336, 39.760314738103745, -34.459909488798615,      0.0623,      0.0822,            90, O             , 2020yCat.1350....0G,                   ,  ,                   ,                   ,                   ,                   ,                   ,                   , RG*  ,          ,           ,         , 0.3  , -0.237,                    ,        , 
True ,        , BL158   , 02:39:06.84, -34:35:45.7, [LHT2010] BL158             , 39.77860162757624 , -34.59610618395084 ,      0.0573,      0.0755,            90, O             , 2020yCat.1350....0G,                   ,  , 15.156999588012695,                   ,                   , 16.052000045776367,                   , 15.248000144958496, RG*  ,          , s         , A       , 0.437, -0.51 ,                    ,        , 
True ,        , BL160   , 02:39:01.74, -34:27:19.2, [WMO2009] For-1208          , 39.75739068184    , -34.45544964595    ,      0.0577,      0.0776,            90, O             , 2020yCat.1350....0G, 18.59000015258789 ,  , 15.03600025177002 , 17.06999969482422 ,                   , 16.018999099731445,                   , 15.100000381469727, *    ,          , s         , A       , 0.115, -0.292,                    ,        , 
True ,        , BL163   , 02:38:43.54, -34:32:25.4, [LHT2010] BL163             , 39.68155727066042 , -34.54045327630722 ,      0.058 ,      0.0738,            90, O             , 2020yCat.1350....0G,                   ,  , 15.036999702453613,                   ,                   , 15.918000221252441,                   , 15.322999954223633, RG*  ,    0.0394, s         , A       , 0.448, -0.352,                    ,        , 
True ,        , BL165   , 02:39:13.37, -34:40:15.8, 2MASS J02391340-3440163     , 39.805851827889995, -34.67120354175    ,      0.0527,      0.0687,            90, O             , 2020yCat.1350....0G, 18.440000534057617,  , 14.684000015258789, 16.90999984741211 ,                   , 15.869999885559082,                   , 15.065999984741211, RG*  ,          , s         , A       , 0.368, -0.48 ,                    ,        , 
True ,        , BL166   , 02:39:16.01, -34:30:12.9, GB07 Fnx12                  , 39.81685177701    , -34.50370905779    ,      0.0565,      0.0703,            90, O             , 2020yCat.1350....0G, 18.496000289916992,  , 15.095999717712402, 16.959999084472656,                   , 16.209999084472656,                   , 15.116000175476074, RG*  ,          , s         , A       , 0.361, -0.318,                    ,        , 
True ,        , BL168   , 02:39:14.78, -34:27:29.8, [WMO2009] For-0391          , 39.811697603860004, -34.45843480495    ,      0.0666,      0.087 ,            90, O             , 2020yCat.1350....0G, 18.530000686645508,  , 15.067000389099121, 17.020000457763672,                   , 16.233999252319336,                   , 15.199000358581543, *    ,          , s         , A       , 0.046, 0.281 ,                    ,        , 
True ,        , BL171   , 02:39:15.48, -34:30:46.5, 2MASS J02391551-3430468     , 39.81460385205    , -34.51302527729    ,      0.0608,      0.0749,            90, O             , 2020yCat.1350....0G, 18.610000610351562,  , 15.052000045776367, 17.059999465942383,                   , 16.025999069213867,                   , 15.347000122070312, RG*  ,          , s         , A       , 0.363, -0.535,                    ,        , 
True ,        , BL173   , 02:39:14.36, -34:34:42.3, GB07 Fnx26                  , 39.80992814683    , -34.57851051245    ,      0.0586,      0.0809,            90, O             , 2020yCat.1350....0G, 18.756999969482422,  , 15.336000442504883, 17.110000610351562,                   , 15.914999961853027,                   , 15.182999610900879, RG*  ,    0.033 , s         , A       , 0.294, -0.515,                    ,        , 
True ,        , BL180   , 02:39:33.38, -34:33:58.4, 2MASS J02393340-3433584     , 39.88920930798    , -34.56624675031    ,      0.0498,      0.0678,            90, O             , 2020yCat.1350....0G, 18.149999618530273,  , 14.765999794006348, 16.760000228881836,                   , 15.802000045776367,                   , 15.119000434875488, RG*  ,    0.0647, s         , A       , 0.328, -0.49 ,                    ,        , 
True ,        , BL181   , 02:39:16.76, -34:34:49.9, 2MASS J02391678-3434501     , 39.81994929731    , -34.58059247063001 ,      0.0566,      0.0761,            90, O             , 2020yCat.1350....0G, 18.459999084472656,  , 15.02299976348877 , 16.899999618530273, 17.656999588012695, 15.781999588012695, 20.070999145507812, 15.01200008392334 , RG*  ,          , s         , A       , 0.422, -0.146,                    ,        , 
True ,        , BL183   , 02:39:47.94, -34:26:43.4, [WMO2009] For-0951          , 39.94983848615001 , -34.44551979728    ,      0.0502,      0.0692,            90, O             , 2020yCat.1350....0G, 18.15999984741211 ,  , 14.864999771118164, 16.739999771118164,                   , 16.125            ,                   , 15.187999725341797, *    ,    0.8758, s         , A       , 9.971, 9.668 ,                    ,        , 
True ,        , BL185   , 02:39:27.67, -34:37:48.5, GB07 Fnx33                  , 39.86537693694    , -34.63021984520999 ,      0.0473,      0.0619,            90, O             , 2020yCat.1350....0G, 18.347000122070312,  , 14.67300033569336 ,                   , 17.447999954223633, 15.664999961853027, 19.82900047302246 , 14.878000259399414, RG*  ,    0.0442, s         , A       , 0.383, -0.474,                    ,        , 
True ,        , BL189   , 02:39:38.24, -34:31:20.3, [LHT2010] BL189             , 39.909460509043335, -34.522340332611385,      0.0584,      0.0748,            90, O             , 2020yCat.1350....0G,                   ,  ,                   ,                   ,                   ,                   ,                   ,                   , RG*  ,    0.176 , s         , A       , 0.508, -0.462,                    ,        , 
True ,        , BL190   , 02:39:17.80, -34:30:56.8, GB07 Fnx17                  , 39.82428445737    , -34.51584440568    ,      0.0626,      0.0805,            90, O             , 2020yCat.1350....0G, 18.70199966430664 ,  , 14.74899959564209 , 16.979999542236328,                   , 15.755000114440918,                   , 15.1850004196167  , RG*  ,    0.0962, s         , A       , 0.36 , -0.321,                    ,        , 
True ,        , BL195   , 02:39:20.21, -34:31:57.0, GB07 Fnx18                  , 39.83432437757    , -34.5325779723     ,      0.0544,      0.072 ,            90, O             , 2020yCat.1350....0G, 18.533000946044922,  , 15.406999588012695, 16.989999771118164,                   , 15.95199966430664 ,                   , 15.553000450134277, RG*  ,          , s         , A       , 0.488, -0.398,                    ,        , 
True ,        , BL196   , 02:39:34.07, -34:33:33.2, 2MASS J02393411-3433333     , 39.89209516702001 , -34.55924104693    ,      0.0508,      0.0691,            90, O             , 2020yCat.1350....0G, 18.464000701904297,  , 14.845999717712402,                   ,                   , 15.85200023651123 ,                   , 15.178000450134277, RG*  ,          , s         , A       , 0.284, -0.301,                    ,        , 
True ,        , BL197   , 02:39:29.33, -34:26:35.5, 2MASS J02392937-3426359     , 39.87233863801    , -34.44330821069    ,      0.0493,      0.0652,            90, O             , 2020yCat.1350....0G, 18.41699981689453 ,  , 14.609999656677246, 16.760000228881836, 17.51300048828125 , 15.607000350952148, 20.023000717163086, 14.892000198364258, RG*  ,          , s         , A       , 0.344, -0.255,                    ,        , 
True ,        , BL198   , 02:39:19.83, -34:26:27.1, 2MASS J02391986-3426275     , 39.83272157902    , -34.44096873523999 ,      0.0527,      0.0699,            90, O             , 2020yCat.1350....0G, 18.309999465942383,  , 14.932000160217285, 16.8700008392334  ,                   , 16.040000915527344,                   , 15.201000213623047, RG*  ,    0.0939, s         , B       , 0.525, -0.472,                    ,        , 
True ,        , BL203   , 02:39:50.64, -34:26:47.0, 2MASS J02395065-3426474     , 39.961101063879994, -34.446512223359996,      0.0584,      0.0813,            90, O             , 2020yCat.1350....0G, 18.389999389648438,  , 14.923999786376953, 16.90999984741211 , 17.658000946044922, 15.920000076293945, 20.08799934387207 , 15.126999855041504, RG*  ,          , s         , A       , 0.283, -0.234,                    ,        , 
True ,        , BL204   , 02:39:16.23, -34:32:29.9, [LHT2010] BL204             , 39.81775837628    , -34.54169484948    ,      0.0649,      0.0859,            90, O             , 2020yCat.1350....0G, 18.649999618530273,  , 15.505000114440918, 17.170000076293945,                   , 16.216999053955078,                   , 15.310999870300293, *    ,          , s         , A       , 0.374, -0.434,                    ,        , 
True ,        , BL205   , 02:39:38.06, -34:37:06.2, GB07 Fnx32                  , 39.90872214057    , -34.61841971681    ,      0.0546,      0.0742,            90, O             , 2020yCat.1350....0G, 18.493999481201172,  , 15.309000015258789, 17.06999969482422 ,                   , 16.44300079345703 ,                   , 15.673999786376953, RG*  ,    0.0373, s         , A       , 0.401, -0.415,                    ,        , 
True ,        , BL207   , 02:39:26.29, -34:29:03.4, 2MASS J02392632-3429036     , 39.8596665093     , -34.48435838568    ,      0.0618,      0.0802,            90, O             , 2020yCat.1350....0G, 18.3799991607666  ,  , 14.628999710083008, 16.84000015258789 ,                   , 15.696000099182129,                   , 15.154999732971191, *    ,          , s         , A       , 0.047, -0.178,                    ,        , 
True ,        , BL208   , 02:39:32.94, -34:32:06.2, 2MASS J02393297-3432061     , 39.88736257421    , -34.535064266380004,      0.0564,      0.0761,            90, O             , 2020yCat.1350....0G, 18.420000076293945,  , 14.942000389099121, 17.0              , 17.650999069213867, 16.152000427246094, 19.898000717163086, 15.15999984741211 , RG*  ,    0.0921, s         , A       , 0.351, -0.407,                    ,        , 
True ,        , BL210   , 02:39:47.65, -34:27:05.4, 2MASS J02394768-3427058     , 39.94865552542    , -34.45160790032    ,      0.0536,      0.0741,            90, O             , 2020yCat.1350....0G, 18.3799991607666  ,  , 14.979000091552734, 16.90999984741211 , 17.62299919128418 , 15.970999717712402, 19.93199920654297 , 15.197999954223633, RG*  ,          , s         , A       , 0.344, -0.239,                    ,        , 
True ,        , BL211   , 02:39:51.18, -34:29:58.6, [MOW91]  16                 , 39.96340540387    , -34.49968532733    ,      0.0523,      0.0758,            90, O             , 2020yCat.1350....0G, 18.56999969482422 ,  , 14.694000244140625, 16.739999771118164,                   , 15.795000076293945, 20.200000762939453, 14.774999618530273, RG*  ,    0.1238, s         , A       , 0.373, -0.406,                    ,        , 
True ,        , BL213   , 02:39:50.18, -34:35:59.3, 2MASS J02395022-3435595     , 39.95924167004    , -34.5998395367     ,      0.0575,      0.0766,            90, O             , 2020yCat.1350....0G, 18.350000381469727,  ,                   , 16.899999618530273, 17.61400032043457 , 15.805999755859375, 19.913999557495117, 15.107000350952148, *    ,          , s         , A       , 0.125, 0.552 ,                    ,        , 
True ,        , BL216   , 02:39:41.92, -34:30:35.9, GB07 Fnx14                  , 39.92478962575    , -34.51000537318    ,      0.0562,      0.074 ,            90, O             , 2020yCat.1350....0G, 18.488000869750977,  , 14.746000289916992, 16.84000015258789 ,                   , 15.656000137329102,                   , 14.892999649047852, RG*  ,    0.0886, s         , A       , 0.476, -0.513,                    ,        , 
True ,        , BL218   , 02:39:50.77, -34:28:36.5, WEL  60                     , 39.96166118229    , -34.47689712218    ,      0.0515,      0.0717,            90, O             , 2020yCat.1350....0G, 18.530000686645508,  , 14.66100025177002 ,                   ,                   , 15.718000411987305,                   , 14.821000099182129, RG*  ,          , s         , A       , 0.414, -0.325, 1990A&A...233...21L, D      , K5
True ,        , BL221   , 02:39:31.85, -34:29:19.9, 2MASS J02393189-3429201     , 39.88283914618    , -34.48893317692    ,      0.0557,      0.0725,            90, O             , 2020yCat.1350....0G, 18.509000778198242,  , 15.104999542236328, 16.940000534057617, 17.636999130249023, 15.923999786376953, 19.988000869750977, 15.020000457763672, RG*  ,    0.002 , s         , A       , 0.5  , -0.482,                    ,        , 
True ,        , BL227   , 02:39:45.25, -34:31:57.8, [LHT2010] BL227             , 39.93864658603958 , -34.53274090297972 ,      0.0583,      0.0788,            90, O             , 2020yCat.1350....0G,                   ,  , 14.666999816894531,                   ,                   , 15.940999984741211,                   , 14.98900032043457 , RG*  ,          , s         , A       , 0.458, -0.373,                    ,        , 
True ,        , BL228   , 02:39:53.84, -34:29:56.4, 2MASS J02395387-3429567     , 39.97444928873001 , -34.499044100099994,      0.0521,      0.073 ,            90, O             , 2020yCat.1350....0G, 18.290000915527344,  , 14.753000259399414, 16.700000762939453,                   , 15.706000328063965, 20.469999313354492, 15.0              , RG*  ,          , s         , A       , 0.321, -0.351,                    ,        , 
True ,        , BL229   , 02:39:24.80, -34:34:38.1, GB07 Fnx25                  , 39.853460356168334, -34.57729852589527 ,      0.0543,      0.0736,            90, O             , 2020yCat.1350....0G, 18.57699966430664 ,  , 14.913000106811523, 17.010000228881836,                   , 15.944000244140625,                   , 15.121999740600586, RG*  ,          , s         , A       , 0.515, -0.429,                    ,        , 
