Found,JINA_ID,Query_ID,RA_input,DEC_input,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,R,H,I,V,B,J,K,U,otype,plx_value,pmdec,rvz_nature,rvz_qual,pmra,sp_qual,sp_bibcode,sp_type
True,,BL113,02:39:08.16,-34:36:53.3,GB07 Fnx31,39.78411277744,-34.61491134519,0.0481,0.0633,90,O,2020yCat.1350....0G,,15.145999908447266,,18.27400016784668,,15.82699966430664,14.857000350952148,,RG*,,-0.265,s,A,0.467,,,
True,,BL115,02:38:43.45,-34:32:05.3,2MASS J02384346-3432054,39.68113810604,-34.53486321737,0.0523,0.0666,90,O,2020yCat.1350....0G,,15.064000129699707,16.81999969482422,18.290000915527344,,15.824000358581543,14.949000358581543,,RG*,0.0026,-0.172,s,A,0.38,,,
True,,BL119,02:38:42.17,-34:29:50.8,2MASS J02384221-3429510,39.675867611399994,-34.49752071849362,0.0526,0.0626,90,O,2020yCat.1350....0G,,15.00100040435791,,,,15.732000350952148,14.753000259399414,,RG*,,-0.501,s,A,0.378,,,
True,,BL122,02:39:02.91,-34:31:12.0,2MASS J02390293-3431123,39.76224216241,-34.52008385730001,0.0517,0.0657,90,O,2020yCat.1350....0G,,15.208999633789062,16.850000381469727,18.290000915527344,,15.758999824523926,14.795999526977539,,RG*,0.2724,-0.407,s,A,0.376,,,
True,,BL123,02:38:53.75,-34:30:06.6,2MASS J02385377-3430067,39.72410147485,-34.501912412,0.0503,0.0647,90,O,2020yCat.1350....0G,,14.79800033569336,16.799999237060547,18.389999389648438,,15.767999649047852,14.772000312805176,,RG*,0.0115,-0.494,s,A,0.545,,,
True,,BL125,02:39:08.50,-34:30:55.4,GB07 Fnx16,39.78557228972,-34.51546179892,0.1148,0.1459,90,O,2020yCat.1350....0G,,15.055000305175781,16.920000076293945,18.398000717163086,,15.890999794006348,14.954000473022461,,RG*,0.7644,-2.798,s,A,1.637,,,
True,,BL127,02:39:04.00,-34:37:26.1,2MASS J02390403-3437265,39.76676692534999,-34.62402531919,0.0504,0.067,90,O,2020yCat.1350....0G,,14.878999710083008,16.780000686645508,18.350000381469727,,15.746000289916992,14.973999977111816,,RG*,,-0.214,s,A,0.502,,,
True,,BL132,02:38:53.62,-34:33:04.5,GB07 Fnx20,39.72354539889,-34.55134063354999,0.0479,0.0639,90,O,2020yCat.1350....0G,,14.78499984741211,16.709999084472656,18.457000732421875,,15.607999801635742,14.581999778747559,,RG*,,-0.187,s,A,0.371,,,
True,,BL135,02:39:01.55,-34:36:48.7,GB07 Fnx30,39.75656377461875,-34.61361512754556,0.0571,0.0738,90,O,2020yCat.1350....0G,,15.156999588012695,16.989999771118164,18.52899932861328,,15.826000213623047,15.04699993133545,,RG*,0.1538,-0.34,s,A,0.245,,,
True,,BL138,02:39:16.20,-34:37:00.2,[LHT2010] BL138,39.81764565105041,-34.616834972265,0.0515,0.0651,90,O,2020yCat.1350....0G,,14.887999534606934,,,,15.909000396728516,14.756999969482422,,RG*,0.1713,-0.39,s,A,0.334,,,
True,,BL140,02:39:11.56,-34:30:44.7,GB07 Fnx15,39.79831256922,-34.512507119869994,0.054,0.0672,90,O,2020yCat.1350....0G,,15.04699993133545,16.899999618530273,18.496000289916992,,15.892999649047852,14.812999725341797,,RG*,,-0.246,s,A,0.257,,,
True,,BL141,02:39:10.99,-34:28:34.4,GB07 Fnx09,39.795906211749994,-34.47633188944,0.0564,0.0726,90,O,2020yCat.1350....0G,,15.444999694824219,17.06999969482422,18.527000427246094,,16.062000274658203,15.006999969482422,,RG*,,-0.178,s,A,0.431,,,
True,,BL146,02:38:41.76,-34:28:58.4,[LHT2010] BL146,39.67413662107249,-34.48294502747832,0.0582,0.0733,90,O,2020yCat.1350....0G,,15.25100040435791,,,,16.26099967956543,,,RG*,,-0.249,s,A,0.286,,,
