Table 5 
Mean Abundances in BD+44 493


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	61	3.22	-4.28	0.09	0.16	0.00	0.00	
Fe II	2	3.24	-4.26	0.12	0.18	0.00	0.00	
Li I	1	0.64	 ... 	0.12	0.18	0.15	0.23	
C (CH)	1	5.35	1.18	0.15	0.25	0.20	0.22	
N (CN)	1	<5.75	<2.18	 ... 	 ... 	 ... 	 ... 	
O I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Na I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mg I	7	4.21	0.90	0.09	0.16	0.12	0.22	
Al I	1	1.73	-0.44	0.09	0.16	0.12	0.22	
Si I	1	3.71	0.48	0.16	0.28	0.24	0.32	
K I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ca I	6	2.57	0.52	0.15	0.20	0.17	0.25	
Sc II	1	-1.06	0.05	0.05	0.15	0.19	0.13	
Ti I	3	0.90	0.24	0.19	0.23	0.21	0.27	
Ti II	9	0.68	-0.02	0.08	0.16	0.19	0.15	
V I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
V II	2	<0.31	<0.64	 ... 	 ... 	 ... 	 ... 	
Cr I	2	1.04	-0.31	0.10	0.17	0.14	0.22	
Cr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mn I	2	0.10	-1.05	0.16	0.20	0.18	0.25	
Mn II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Co I	3	1.00	0.29	0.15	0.20	0.17	0.25	
Ni I	2	2.08	0.14	0.14	0.19	0.16	0.24	
Cu I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zn I	2	<1.39	<1.11	 ... 	 ... 	 ... 	 ... 	
Ga I	1	<0.35	<1.59	 ... 	 ... 	 ... 	 ... 	
Rb I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sr II	2	-1.96	-0.58	0.05	0.15	0.18	0.13	
Y II	6	<-2.49	<-0.44	 ... 	 ... 	 ... 	 ... 	
Zr II	3	<-1.02	<0.66	 ... 	 ... 	 ... 	 ... 	
Nb II	1	<0.34	<3.14	 ... 	 ... 	 ... 	 ... 	
Mo I	1	<-0.47	<1.93	 ... 	 ... 	 ... 	 ... 	
Tc I	1	<0.03	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ba II	1	-2.98	-0.90	0.10	0.17	0.21	0.16	
La II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ce II	5	<-1.66	<1.02	 ... 	 ... 	 ... 	 ... 	
Pr II	4	<-2.00	<1.54	 ... 	 ... 	 ... 	 ... 	
Nd II	5	<-1.82	<1.02	 ... 	 ... 	 ... 	 ... 	
Sm II	2	<-1.60	<1.70	 ... 	 ... 	 ... 	 ... 	
Eu II	4	<-2.83	<0.91	 ... 	 ... 	 ... 	 ... 	
Gd II	2	<-1.31	<1.88	 ... 	 ... 	 ... 	 ... 	
Tb II	3	<-1.82	<2.14	 ... 	 ... 	 ... 	 ... 	
Dy II	3	<-2.01	<1.15	 ... 	 ... 	 ... 	 ... 	
Ho II	2	<-2.21	<1.57	 ... 	 ... 	 ... 	 ... 	
Er II	3	<-1.74	<1.60	 ... 	 ... 	 ... 	 ... 	
Tm II	2	<-2.16	<2.00	 ... 	 ... 	 ... 	 ... 	
Yb II	1	<-2.40	<0.94	 ... 	 ... 	 ... 	 ... 	
Hf II	2	<-1.08	<2.33	 ... 	 ... 	 ... 	 ... 	
Ir I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<0.38	<2.62	 ... 	 ... 	 ... 	 ... 	
Th II	2	<-1.89	<2.31	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
