Table 13 
Mean Abundances in CS 22957-027


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	36	4.31	-3.19	0.06	0.14	0.00	0.00	
Fe II	3	4.50	-3.00	0.07	0.16	0.00	0.00	
Li I	1	<0.86	 ... 	 ... 	 ... 	 ... 	 ... 	
C (CH)	1	7.85	2.42	0.15	0.25	0.19	0.19	
N (NH)	1	6.33	1.50	0.30	0.36	0.32	0.32	
O I	3	<6.70	<1.20	 ... 	 ... 	 ... 	 ... 	
Na I	3	4.03	0.98	0.12	0.20	0.15	0.22	
Mg I	3	4.49	0.08	0.06	0.16	0.09	0.19	
Al I	1	3.14	-0.12	0.09	0.30	0.24	0.30	
Si I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
K I	1	1.88	0.04	0.16	0.20	0.17	0.23	
Ca I	3	3.46	0.32	0.11	0.17	0.12	0.20	
Sc II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ti I	2	2.08	0.32	0.07	0.15	0.09	0.18	
Ti II	5	2.15	0.20	0.05	0.15	0.17	0.12	
V I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
V II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Cr I	1	2.32	-0.13	0.04	0.14	0.07	0.18	
Cr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mn I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mn II	2	2.12	-0.31	0.15	0.22	0.23	0.20	
Co I	4	1.94	0.15	0.13	0.19	0.14	0.22	
Ni I	4	3.00	-0.03	0.12	0.20	0.14	0.22	
Cu I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zn I	1	<2.02	<0.65	 ... 	 ... 	 ... 	 ... 	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	1	<2.20	<2.87	 ... 	 ... 	 ... 	 ... 	
Sr II	1	-0.88	-0.75	0.05	0.18	0.19	0.16	
Y II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zr II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Nb II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mo I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Tc I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ba II	1	-1.82	-1.00	0.05	0.15	0.18	0.09	
La II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ce II	4	<-0.06	<1.36	 ... 	 ... 	 ... 	 ... 	
Pr II	2	<-0.37	<1.91	 ... 	 ... 	 ... 	 ... 	
Nd II	1	<-0.16	<1.42	 ... 	 ... 	 ... 	 ... 	
Sm II	2	<-0.54	<1.50	 ... 	 ... 	 ... 	 ... 	
Eu II	1	<-1.60	<0.88	 ... 	 ... 	 ... 	 ... 	
Gd II	1	<-0.22	<1.71	 ... 	 ... 	 ... 	 ... 	
Tb II	2	<-0.15	<2.55	 ... 	 ... 	 ... 	 ... 	
Dy II	1	<0.11	<2.01	 ... 	 ... 	 ... 	 ... 	
Ho II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Er II	1	<-0.11	<1.97	 ... 	 ... 	 ... 	 ... 	
Tm II	1	<-0.04	<2.86	 ... 	 ... 	 ... 	 ... 	
Yb II	1	<-1.69	<0.39	 ... 	 ... 	 ... 	 ... 	
Hf II	1	<0.19	<2.34	 ... 	 ... 	 ... 	 ... 	
Ir I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<1.26	<2.41	 ... 	 ... 	 ... 	 ... 	
Th II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
