Table 19 
Mean Abundances in CS 30492-001


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	93	4.88	-2.62	0.06	0.21	0.00	0.00	
Fe II	7	5.15	-2.35	0.07	0.14	0.00	0.00	
Li I	1	2.02	 ... 	0.06	0.20	0.09	0.20	
C (CH)	1	6.03	-0.05	0.15	0.25	0.19	0.19	
N (NH)	1	6.60	1.12	0.30	0.36	0.32	0.32	
O I	3	6.72	0.64	0.10	0.21	0.12	0.22	
Na I	1	3.47	-0.15	0.10	0.27	0.17	0.27	
Mg I	6	5.45	0.47	0.05	0.22	0.08	0.21	
Al I	2	2.96	-0.88	0.09	0.29	0.18	0.28	
Si I	1	5.24	0.35	0.16	0.36	0.23	0.31	
K I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ca I	11	4.16	0.43	0.11	0.22	0.13	0.22	
Sc II	3	0.92	0.12	0.05	0.13	0.20	0.09	
Ti I	6	2.71	0.38	0.07	0.20	0.09	0.21	
Ti II	21	2.89	0.30	0.07	0.14	0.20	0.10	
V I	1	<1.65	<0.34	 ... 	 ... 	 ... 	 ... 	
V II	1	1.86	0.28	0.20	0.24	0.28	0.22	
Cr I	4	2.81	-0.22	0.05	0.22	0.09	0.22	
Cr II	2	3.49	0.20	0.08	0.15	0.21	0.11	
Mn I	4	2.52	-0.30	0.07	0.21	0.09	0.21	
Mn II	2	2.61	-0.47	0.16	0.20	0.25	0.18	
Co I	2	2.39	0.02	0.12	0.23	0.14	0.23	
Ni I	5	3.67	0.06	0.13	0.26	0.16	0.25	
Cu I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zn I	2	2.16	0.22	0.14	0.23	0.15	0.24	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	1	<2.73	<2.83	 ... 	 ... 	 ... 	 ... 	
Sr II	2	0.49	-0.03	0.04	0.24	0.25	0.24	
Y II	2	-0.57	-0.43	0.13	0.18	0.24	0.15	
Zr II	1	0.30	0.07	0.10	0.16	0.22	0.13	
Nb II	1	<1.41	<2.30	 ... 	 ... 	 ... 	 ... 	
Mo I	1	<1.09	<1.83	 ... 	 ... 	 ... 	 ... 	
Tc I	1	<1.39	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ba II	2	-0.62	-0.45	0.07	0.14	0.20	0.10	
La II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ce II	5	<-0.02	<0.75	 ... 	 ... 	 ... 	 ... 	
Pr II	1	<-0.25	<1.38	 ... 	 ... 	 ... 	 ... 	
Nd II	5	<-0.06	<0.87	 ... 	 ... 	 ... 	 ... 	
Sm II	2	<0.03	<1.42	 ... 	 ... 	 ... 	 ... 	
Eu II	4	<-1.26	<0.57	 ... 	 ... 	 ... 	 ... 	
Gd II	3	<0.25	<1.53	 ... 	 ... 	 ... 	 ... 	
Tb II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Dy II	1	<-0.38	<0.87	 ... 	 ... 	 ... 	 ... 	
Ho II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Er II	2	<-0.25	<1.18	 ... 	 ... 	 ... 	 ... 	
Tm II	2	<-0.53	<1.72	 ... 	 ... 	 ... 	 ... 	
Yb II	1	<-1.12	<0.31	 ... 	 ... 	 ... 	 ... 	
Hf II	1	<0.73	<2.23	 ... 	 ... 	 ... 	 ... 	
Ir I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<1.71	<2.29	 ... 	 ... 	 ... 	 ... 	
Th II	2	<-0.33	<1.96	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
