Table 11 
Mean Abundances in CS 22948-066


Species	N_lines	log epsilon	[X/Fe]^a	sigma_statistical	sigma_total	sigma_neutrals	sigma_ions	
Fe I	99	4.00	-3.50	0.06	0.15	0.00	0.00	
Fe II	11	4.32	-3.18	0.07	0.16	0.00	0.00	
Li I	1	<0.45	 ... 	 ... 	 ... 	 ... 	 ... 	
C (CH)	1	4.50	-0.74	0.15	0.25	0.19	0.19	
N (NH)	1	5.69	1.05	0.30	0.36	0.32	0.32	
O I	3	<6.57	<1.38	 ... 	 ... 	 ... 	 ... 	
Na I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mg I	9	4.56	0.46	0.06	0.15	0.08	0.18	
Al I	2	2.28	-0.67	0.09	0.28	0.22	0.29	
Si I	1	4.54	0.53	0.16	0.30	0.24	0.28	
K I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ca I	12	3.29	0.44	0.11	0.17	0.13	0.20	
Sc II	9	0.05	0.08	0.06	0.15	0.17	0.10	
Ti I	9	1.70	0.24	0.07	0.15	0.09	0.18	
Ti II	27	1.85	0.08	0.06	0.15	0.17	0.10	
V I	1	0.68	0.25	0.13	0.18	0.14	0.21	
V II	2	1.01	0.26	0.20	0.24	0.26	0.21	
Cr I	4	1.82	-0.32	0.04	0.15	0.08	0.19	
Cr II	2	2.67	0.21	0.10	0.17	0.19	0.12	
Mn I	5	1.85	-0.08	0.07	0.16	0.10	0.19	
Mn II	1	2.06	-0.19	0.15	0.21	0.22	0.17	
Co I	9	1.67	0.17	0.14	0.21	0.16	0.24	
Ni I	9	2.86	0.14	0.12	0.23	0.17	0.24	
Cu I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Zn I	2	1.58	0.51	0.11	0.17	0.13	0.20	
Ga I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Rb I	1	<1.96	<2.94	 ... 	 ... 	 ... 	 ... 	
Sr II	2	-0.98	-0.67	0.04	0.25	0.24	0.25	
Y II	2	-1.84	-0.87	0.13	0.19	0.21	0.14	
Zr II	2	-1.00	-0.40	0.14	0.20	0.22	0.16	
Nb II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Mo I	1	<-0.36	<1.26	 ... 	 ... 	 ... 	 ... 	
Tc I	1	<-0.08	 ... 	 ... 	 ... 	 ... 	 ... 	
Ru I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Sn I	1	<1.29	<2.72	 ... 	 ... 	 ... 	 ... 	
Ba II	2	-2.15	-1.15	0.07	0.15	0.18	0.10	
La II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Ce II	4	<-1.60	<0.00	 ... 	 ... 	 ... 	 ... 	
Pr II	3	<-1.80	<0.66	 ... 	 ... 	 ... 	 ... 	
Nd II	5	<-1.71	<0.05	 ... 	 ... 	 ... 	 ... 	
Sm II	2	<-1.42	<0.80	 ... 	 ... 	 ... 	 ... 	
Eu II	4	<-2.71	<-0.05	 ... 	 ... 	 ... 	 ... 	
Gd II	3	<-1.13	<0.98	 ... 	 ... 	 ... 	 ... 	
Tb II	3	<-1.78	<1.10	 ... 	 ... 	 ... 	 ... 	
Dy II	3	<-1.77	<0.31	 ... 	 ... 	 ... 	 ... 	
Ho II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Er II	3	<-1.68	<0.58	 ... 	 ... 	 ... 	 ... 	
Tm II	2	<-2.10	<0.98	 ... 	 ... 	 ... 	 ... 	
Yb II	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Hf II	2	<-0.93	<1.40	 ... 	 ... 	 ... 	 ... 	
Ir I	0	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
Pb I	1	<0.68	<2.14	 ... 	 ... 	 ... 	 ... 	
Th II	3	<-1.94	<1.18	 ... 	 ... 	 ... 	 ... 	
Note.
a [Fe/H] is indicated for Fe I and Fe II.
