Name, Species, lambda , chi , loggf, r_loggf, f_EW, EW
Star 1, Mg I   , 4571.1 , 0.0 , -5.62,       1,       ,  45.2
Star 1, Mg I   , 4702.99, 4.33, -0.38,       1,       ,  63.9
Star 1, Mg I   , 5172.68, 2.71, -0.45,       2,       , 144.7
Star 1, Mg I   , 5183.6 , 2.72, -0.24,       2,       ,      
Star 1, Ca I   , 4425.44, 1.88, -0.36,       1,       ,      
Star 1, Ca I   , 4434.96, 1.89, -0.01,       1,       ,      
Star 1, Ca I   , 4455.89, 1.9 , -0.53,       1,       ,      
Star 1, Sc II  , 4431.35, 0.6 , -1.97,       3, l     ,      
Star 1, Sc II  , 5239.82, 1.45, -1.24,       3, l     ,      
Star 1, Ti I   , 4518.02, 0.83, -0.25,       4,       ,      
Star 1, Ti I   , 4533.24, 0.85, 0.54 ,       4,       ,      
Star 1, Ti I   , 4534.78, 0.84, 0.35 ,       4,       ,      
Star 1, Ti I   , 4548.76, 0.83, -0.28,       4,       ,  50.3
Star 1, Ti I   , 4555.48, 0.85, -0.4 ,       4,       ,      
Star 1, Ti I   , 4617.27, 1.75, 0.44 ,       4,       ,      
Star 1, Ti I   , 4981.73, 0.84, 0.57 ,       4,       ,      
Star 1, Ti I   , 4999.5 , 0.83, 0.32 ,       4,       ,  47.2
Star 1, Ti I   , 5064.65, 0.05, -0.94,       4,       ,      
Star 1, Ti I   , 5173.74, 0.0 , -1.06,       4,       ,  35.2
Star 1, Ti I   , 5192.97, 0.02, -0.95,       4,       ,      
Star 1, Ti I   , 5210.38, 0.05, -0.82,       4,       ,  30.6
Star 1, Ti II  , 4418.33, 1.24, -1.99,       5,       ,      
Star 1, Ti II  , 4443.8 , 1.08, -0.71,       5,       ,  93.9
Star 1, Ti II  , 4470.85, 1.17, -2.28,       1,       ,      
Star 1, Ti II  , 4501.27, 1.12, -0.77,       5,       , 103.4
Star 1, Ti II  , 4518.33, 1.08, -2.56,       5,       ,      
Star 1, Ti II  , 4583.41, 1.16, -2.84,       5,       ,      
Star 1, Ti II  , 4708.66, 1.24, -2.35,       5,       ,      
Star 1, Ti II  , 5185.9 , 1.89, -1.41,       5,       ,      
Star 1, Ti II  , 5336.79, 1.58, -1.6 ,       5,       ,  17.7
