Name, Species, lambda , chi , loggf, r_loggf, f_EW, EW
Star 1, Ti II  , 5381.02, 1.57, -1.97,       5,       ,      
Star 1, V I    , 4379.23, 0.3 , 0.58 ,       6,       ,      
Star 1, V I    , 4436.13, 0.26, -0.93,       6,       ,      
Star 1, V I    , 4437.83, 0.29, -0.71,       6,       ,      
Star 1, V I    , 4577.17, 0.0 , -1.08,       6,       ,      
Star 1, V I    , 4586.37, 0.04, -0.79,       6, l     ,      
Star 1, V I    , 4594.12, 0.07, -0.66,       6, l     ,      
Star 1, Cr I   , 4526.44, 2.54, -0.15,       7,       ,      
Star 1, Cr I   , 4600.74, 1.0 , -1.25,       7,       ,      
Star 1, Cr I   , 4616.12, 0.98, -1.19,       7,       ,      
Star 1, Cr I   , 4626.17, 0.97, -1.33,       7,       ,      
Star 1, Cr I   , 4646.15, 1.03, -0.74,       7,       ,      
Star 1, Cr I   , 5345.8 , 1.0 , -0.95,       7,       ,  18.1
Star 1, Cr I   , 5348.31, 1.0 , -1.21,       7,       ,      
Star 1, Cr I   , 5409.77, 1.03, -0.67,       7,       ,  23.3
Star 1, Cr II  , 4554.99, 4.07, -1.37,       1,       ,      
Star 1, Cr II  , 4558.64, 4.07, -0.66,       1,       ,      
Star 1, Cr II  , 4588.14, 4.07, -0.83,       8,       ,      
Star 1, Mn I   , 4502.22, 2.92, -0.43,       9, l     ,      
Star 1, Mn I   , 4754.04, 2.28, -0.08,      10,       ,      
Star 1, Fe I   , 4447.72, 2.22, -1.34,       1,       ,      
Star 1, Fe I   , 4461.65, 0.09, -3.21,       1,       ,      
Star 1, Fe I   , 4466.55, 2.83, -0.6 ,       1,       ,      
Star 1, Fe I   , 4489.74, 0.12, -3.97,       1,       ,      
Star 1, Fe I   , 4494.56, 2.2 , -1.14,       1,       ,      
Star 1, Fe I   , 4592.65, 1.56, -2.45,       1,       ,  43.6
Star 1, Fe I   , 4602.0 , 1.61, -3.15,       1,       ,      
Star 1, Fe I   , 4602.94, 1.49, -2.22,       1,       ,  57.7
Star 1, Fe I   , 4707.27, 3.24, -0.96,      11,       ,      
Star 1, Fe I   , 4733.59, 1.49, -2.99,       1,       ,      
Star 1, Fe I   , 4736.77, 3.21, -0.75,       1,       ,      
Star 1, Fe I   , 4871.32, 2.87, -0.34,      11,       ,      
Star 1, Fe I   , 4890.76, 2.88, -0.38,      11,       ,  73.1
Star 1, Fe I   , 4891.49, 2.85, -0.11,       1,       ,      
Star 1, Fe I   , 4903.31, 2.88, -0.89,      11,       ,      
Star 1, Fe I   , 4918.99, 2.85, -0.34,       1,       ,      
Star 1, Fe I   , 4924.77, 2.28, -2.11,       1,       ,      
Star 1, Fe I   , 4938.81, 2.88, -1.08,       1,       ,  31.5
Star 1, Fe I   , 4939.69, 0.86, -3.34,       1,       ,  30.9
Star 1, Fe I   , 4946.39, 3.37, -1.11,      11,       ,      
Star 1, Fe I   , 4966.09, 3.33, -0.87,       1,       ,      
Star 1, Fe I   , 4994.13, 0.92, -3.08,       1,       ,  33.4
Star 1, Fe I   , 5001.86, 3.88, -0.01,      11,       ,      
Star 1, Fe I   , 5005.71, 3.88, -0.12,      11,       ,      
Star 1, Fe I   , 5014.94, 3.94, -0.3 ,       1,       ,      
Star 1, Fe I   , 5022.24, 3.98, -0.33,      11,       ,      
Star 1, Fe I   , 5049.82, 2.28, -1.35,       1,       ,  43.6
Star 1, Fe I   , 5051.63, 0.92, -2.8 ,       1,       ,  62.5
Star 1, Fe I   , 5068.77, 2.94, -1.04,       1,       ,  26.8
Star 1, Fe I   , 5083.34, 0.96, -2.96,       1,       ,  57.2
Star 1, Fe I   , 5131.47, 2.22, -2.52,       1,       ,      
Star 1, Fe I   , 5150.84, 0.99, -3.04,       1,       ,  33.5
Star 1, Fe I   , 5166.28, 0.0 , -4.2 ,       1,       ,      
Star 1, Fe I   , 5171.6 , 1.49, -1.79,       1,       ,  68.7
Star 1, Fe I   , 5191.45, 3.04, -0.55,       1,       ,      
Star 1, Fe I   , 5192.34, 3.0 , -0.42,       1,       ,      
Star 1, Fe I   , 5194.94, 1.56, -2.09,       1,       ,  58.4
Star 1, Fe I   , 5202.34, 2.18, -1.84,       1,       ,  34.9
Star 1, Fe I   , 5216.27, 1.61, -2.15,       1,       ,      
Star 1, Fe I   , 5232.94, 2.94, -0.06,       1,       ,  76.1
Star 1, Fe I   , 5266.56, 3.0 , -0.39,       1,       ,  60.6
Star 1, Fe I   , 5281.79, 3.04, -0.83,       1,       ,      
Star 1, Fe I   , 5283.62, 3.24, -0.52,       1,       ,      
Star 1, Fe I   , 5307.36, 1.61, -2.99,       1,       ,      
Star 1, Fe I   , 5324.18, 3.21, -0.11,      11,       ,  53.4
Star 1, Fe I   , 5332.9 , 1.55, -2.78,       1,       ,      
Star 1, Fe I   , 5339.93, 3.27, -0.72,       1,       ,  28.1
Star 1, Fe I   , 5367.47, 4.42, 0.44 ,       1,       ,      
Star 1, Fe I   , 5371.49, 0.96, -1.64,       1,       ,      
Star 1, Fe I   , 5383.37, 4.31, 0.65 ,       1,       ,  31.7
Star 1, Fe I   , 5393.17, 3.24, -0.72,      11,       ,      
Star 1, Fe I   , 5397.13, 0.92, -1.99,       1,       ,  93.0
Star 1, Fe I   , 5405.77, 0.99, -1.84,       1,       , 111.5
Star 1, Fe I   , 5410.91, 4.47, 0.4  ,       1,       ,      
Star 1, Fe I   , 5415.2 , 4.39, 0.64 ,       1,       ,      
Star 1, Fe I   , 5429.7 , 0.96, -1.88,       1,       ,      
Star 1, Fe II  , 4491.4 , 2.86, -2.64,       1,       ,      
Star 1, Fe II  , 4508.29, 2.86, -2.35,       1,       ,      
Star 1, Fe II  , 4576.33, 2.84, -2.92,       1,       ,      
Star 1, Fe II  , 4583.84, 2.81, -1.74,       1,       ,      
Star 1, Fe II  , 5197.57, 3.23, -2.05,       1,       ,      
Star 1, Fe II  , 5234.62, 3.22, -2.21,       1,       ,      
Star 1, Ni I   , 4604.99, 3.48, -0.24,      12,       ,      
Star 1, Ni I   , 4953.21, 3.74, -0.58,      12,       ,      
Star 1, Cu I   , 5105.5 , 1.39, -1.5 ,      13, l     ,      
Star 1, Cu I   , 5218.2 , 3.81, 0.26 ,       1, l     ,      
Star 1, Zn I   , 4680.14, 4.01, -0.85,      14,       ,      
Star 1, Zn I   , 4722.16, 4.03, -0.37,      14,       ,      
Star 1, Zn I   , 4810.54, 4.08, -0.15,      14, l     ,      
Star 1, Sr II  , 4215.52, 0.0 , -0.17,       1, s     ,      
Star 1, Y II   , 4398.01, 0.13, -0.75,      15,       ,      
Star 1, Y II   , 4682.32, 0.41, -1.73,      15,       ,      
Star 1, Y II   , 4854.86, 0.99, -0.27,      15, s     ,      
Star 1, Y II   , 4883.68, 1.08, 0.19 ,      15, s     ,      
Star 1, Y II   , 4982.13, 1.03, -1.32,      15,       ,      
Star 1, Y II   , 5087.42, 1.08, -0.16,      15, s     ,      
Star 1, Y II   , 5119.11, 0.99, -1.33,      15,       ,      
Star 1, Y II   , 5200.41, 0.99, -0.47,      15,       ,      
Star 1, Y II   , 5205.72, 1.03, -0.28,      15,       ,      
Star 1, Y II   , 5289.82, 1.03, -1.68,      15,       ,      
Star 1, Zr II  , 4149.2 , 0.8 , -0.04,      16,       ,      
Star 1, Zr II  , 4161.2 , 0.71, -0.59,      16,       ,      
Star 1, Zr II  , 4208.98, 0.71, -0.51,      16, s     ,      
Star 1, Zr II  , 4211.88, 0.53, -1.04,      16,       ,      
Star 1, Zr II  , 4613.95, 0.97, -1.54,      16,       ,      
Star 1, Zr II  , 5112.27, 1.66, -0.85,      16,       ,      
Star 1, Tc I   , 4262.27, 0.0 , -0.35,      17, l     ,      
Star 1, Ru I   , 4709.48, 1.13, -0.33,      18, l     ,      
Star 1, Ba II  , 4554.03, 0.0 , 0.14 ,      19, s     ,      
Star 1, La II  , 4662.5 , 0.0 , -1.24,      20,       ,      
Star 1, La II  , 4748.73, 0.93, -0.54,      20,       ,      
Star 1, La II  , 4804.04, 0.23, -1.49,      20,       ,      
Star 1, La II  , 4920.98, 0.13, -0.58,      20, s     ,      
Star 1, La II  , 4986.82, 0.17, -1.3 ,      20,       ,      
Star 1, La II  , 5114.56, 0.23, -1.03,      20,       ,      
Star 1, La II  , 5290.82, 0.0 , -1.65,      20,       ,      
Star 1, La II  , 5303.53, 0.32, -1.35,      20,       ,      
Star 1, Ce II  , 4418.78, 0.86, 0.27 ,      21,       ,      
Star 1, Ce II  , 4486.91, 0.29, -0.18,      21,       ,      
Star 1, Ce II  , 4560.96, 0.68, -0.26,      21,       ,      
Star 1, Ce II  , 4562.36, 0.48, 0.21 ,      21, s     ,      
Star 1, Ce II  , 4572.28, 0.68, 0.22 ,      21,       ,      
Star 1, Ce II  , 4582.5 , 0.7 , -0.35,      21,       ,      
Star 1, Ce II  , 4593.93, 0.7 , 0.07 ,      21,       ,      
Star 1, Ce II  , 4628.16, 0.52, 0.14 ,      21,       ,      
Star 1, Ce II  , 5274.23, 1.04, 0.13 ,      21,       ,      
Star 1, Ce II  , 5330.56, 0.87, -0.4 ,      21,       ,      
Star 1, Pr II  , 4222.95, 0.06, 0.23 ,      22,       ,      
Star 1, Pr II  , 4408.82, 0.0 , 0.05 ,      22,       ,      
Star 1, Pr II  , 5259.73, 0.63, 0.12 ,      23,       ,      
Star 1, Pr II  , 5322.77, 0.48, -0.12,      22, s     ,      
Star 1, Nd II  , 4446.38, 0.2 , -0.35,      24, s     ,      
Star 1, Nd II  , 4462.98, 0.56, 0.04 ,      24,       ,      
Star 1, Nd II  , 4465.06, 0.0 , -1.36,      24,       ,      
Star 1, Nd II  , 4465.59, 0.18, -1.1 ,      24,       ,      
Star 1, Nd II  , 4501.81, 0.2 , -0.69,      24,       ,      
Star 1, Nd II  , 4506.58, 0.06, -1.04,      24,       ,      
Star 1, Nd II  , 4513.33, 0.06, -1.33,      24,       ,      
Star 1, Nd II  , 4563.22, 0.18, -0.88,      24,       ,      
Star 1, Nd II  , 4567.61, 0.2 , -1.31,      24,       ,      
Star 1, Nd II  , 4645.76, 0.56, -0.76,      24,       ,      
Star 1, Nd II  , 4706.54, 0.0 , -0.71,      24, s     ,      
Star 1, Nd II  , 4797.15, 0.56, -0.69,      24,       ,      
Star 1, Nd II  , 4825.48, 0.18, -0.42,      24, s     ,      
Star 1, Nd II  , 4859.03, 0.32, -0.44,      24,       ,      
Star 1, Nd II  , 4902.04, 0.06, -1.34,      24,       ,      
Star 1, Nd II  , 4914.38, 0.38, -0.7 ,      24,       ,      
Star 1, Nd II  , 5092.79, 0.38, -0.61,      24,       ,      
Star 1, Nd II  , 5130.59, 1.3 , 0.45 ,      24,       ,      
Star 1, Nd II  , 5132.33, 0.56, -0.71,      24, s     ,      
Star 1, Nd II  , 5234.19, 0.55, -0.51,      24,       ,      
Star 1, Nd II  , 5249.58, 0.97, 0.2  ,      24,       ,      
Star 1, Nd II  , 5255.51, 0.2 , -0.67,      24,       ,      
Star 1, Nd II  , 5293.16, 0.82, 0.1  ,      24, s     ,      
Star 1, Nd II  , 5319.81, 0.55, -0.14,      24, s     ,      
Star 1, Sm II  , 4318.93, 0.28, -0.25,      25,       ,      
Star 1, Sm II  , 4424.34, 0.48, 0.14 ,      25,       ,      
Star 1, Sm II  , 4434.32, 0.38, -0.07,      25, s     ,      
Star 1, Sm II  , 4467.34, 0.66, 0.15 ,      25,       ,      
Star 1, Sm II  , 4478.66, 0.66, -0.36,      25,       ,      
Star 1, Sm II  , 4523.91, 0.43, -0.39,      25,       ,      
Star 1, Sm II  , 4536.51, 0.1 , -1.28,      25,       ,      
Star 1, Sm II  , 4537.94, 0.48, -0.48,      25,       ,      
Star 1, Sm II  , 4566.2 , 0.33, -0.59,      25,       ,      
Star 1, Sm II  , 4591.81, 0.18, -1.12,      25,       ,      
Star 1, Sm II  , 4604.17, 0.04, -1.39,      25,       ,      
Star 1, Sm II  , 4615.68, 0.19, -0.84,      25,       ,      
Star 1, Sm II  , 4642.23, 0.38, -0.46,      25, s     ,      
Star 1, Sm II  , 4669.64, 0.28, -0.53,      25,       ,      
Star 1, Sm II  , 4719.84, 0.04, -1.24,      25,       ,      
Star 1, Eu II  , 4205.04, 0.0 , 0.21 ,      26, s     ,      
Star 1, Eu II  , 4435.58, 0.21, -0.11,      26, s     ,      
Star 1, Gd II  , 4215.02, 0.43, -0.44,      27, l     ,      
Star 1, Gd II  , 4251.73, 0.38, -0.22,      27,       ,      
Star 1, Gd II  , 4498.29, 0.43, -1.08,      27, l     ,      
Star 1, Tb II  , 4752.53, 0.0 , -0.55,      28,       ,      
Star 1, Dy II  , 4449.7 , 0.0 , -1.03,      29, l     ,      
Star 2, Mg I   , 4571.1 , 0.0 , -5.62,       1,       ,  90.8
Star 2, Mg I   , 4702.99, 4.33, -0.38,       1,       ,  55.7
Star 2, Mg I   , 5172.68, 2.71, -0.45,       2,       , 220.7
Star 2, Mg I   , 5183.6 , 2.72, -0.24,       2,       , 238.1
Star 2, Ca I   , 4425.44, 1.88, -0.36,       1,       ,      
Star 2, Ca I   , 4434.96, 1.89, -0.01,       1,       ,      
Star 2, Ca I   , 4455.89, 1.9 , -0.53,       1,       ,      
Star 2, Sc II  , 4431.35, 0.6 , -1.97,       3,       ,      
Star 2, Sc II  , 5239.82, 1.45, -1.24,       3, s     ,      
Star 2, Ti I   , 4518.02, 0.83, -0.25,       4,       ,      
Star 2, Ti I   , 4533.24, 0.85, 0.54 ,       4,       ,      
Star 2, Ti I   , 4534.78, 0.84, 0.35 ,       4,       ,  83.0
Star 2, Ti I   , 4548.76, 0.83, -0.28,       4,       ,      
Star 2, Ti I   , 4555.48, 0.85, -0.4 ,       4,       ,      
Star 2, Ti I   , 4617.27, 1.75, 0.44 ,       4,       ,      
Star 2, Ti I   , 4981.73, 0.84, 0.57 ,       4,       ,      
Star 2, Ti I   , 4999.5 , 0.83, 0.32 ,       4,       ,  76.7
Star 2, Ti I   , 5064.65, 0.05, -0.94,       4,       ,      
Star 2, Ti I   , 5173.74, 0.0 , -1.06,       4,       ,  39.7
Star 2, Ti I   , 5192.97, 0.02, -0.95,       4,       ,  48.3
Star 2, Ti I   , 5210.38, 0.05, -0.82,       4,       ,      
Star 2, Ti II  , 4418.33, 1.24, -1.99,       5,       ,      
Star 2, Ti II  , 4443.8 , 1.08, -0.71,       5,       ,      
Star 2, Ti II  , 4470.85, 1.17, -2.28,       1,       ,      
Star 2, Ti II  , 4501.27, 1.12, -0.77,       5,       , 137.5
Star 2, Ti II  , 4518.33, 1.08, -2.56,       5,       ,      
Star 2, Ti II  , 4583.41, 1.16, -2.84,       5,       ,      
Star 2, Ti II  , 4708.66, 1.24, -2.35,       5,       ,      
Star 2, Ti II  , 5185.9 , 1.89, -1.41,       5,       ,      
Star 2, Ti II  , 5336.79, 1.58, -1.6 ,       5,       ,  46.9
Star 2, Ti II  , 5381.02, 1.57, -1.97,       5,       ,  31.5
Star 2, V I    , 4379.23, 0.3 , 0.58 ,       6,       ,      
Star 2, V I    , 4436.13, 0.26, -0.93,       6,       ,      
Star 2, V I    , 4437.83, 0.29, -0.71,       6,       ,      
Star 2, V I    , 4577.17, 0.0 , -1.08,       6, l     ,      
Star 2, V I    , 4586.37, 0.04, -0.79,       6, l     ,      
Star 2, V I    , 4594.12, 0.07, -0.66,       6, l     ,      
Star 2, Cr I   , 4526.44, 2.54, -0.15,       7, l     ,      
Star 2, Cr I   , 4600.74, 1.0 , -1.25,       7,       ,  51.3
Star 2, Cr I   , 4616.12, 0.98, -1.19,       7,       ,      
Star 2, Cr I   , 4626.17, 0.97, -1.33,       7,       ,  31.4
Star 2, Cr I   , 4646.15, 1.03, -0.74,       7,       ,  61.4
Star 2, Cr I   , 5345.8 , 1.0 , -0.95,       7,       ,      
Star 2, Cr I   , 5348.31, 1.0 , -1.21,       7,       ,      
Star 2, Cr I   , 5409.77, 1.03, -0.67,       7,       ,      
Star 2, Cr II  , 4554.99, 4.07, -1.37,       1,       ,      
Star 2, Cr II  , 4558.64, 4.07, -0.66,       1,       ,      
Star 2, Cr II  , 4588.14, 4.07, -0.83,       8,       ,      
Star 2, Mn I   , 4502.22, 2.92, -0.43,       9,       ,      
Star 2, Mn I   , 4754.04, 2.28, -0.08,      10, l     ,      
Star 2, Fe I   , 4447.72, 2.22, -1.34,       1,       ,      
Star 2, Fe I   , 4461.65, 0.09, -3.21,       1,       ,      
Star 2, Fe I   , 4466.55, 2.83, -0.6 ,       1,       ,  86.7
Star 2, Fe I   , 4489.74, 0.12, -3.97,       1,       ,  84.4
Star 2, Fe I   , 4494.56, 2.2 , -1.14,       1,       ,      
Star 2, Fe I   , 4592.65, 1.56, -2.45,       1,       ,      
Star 2, Fe I   , 4602.0 , 1.61, -3.15,       1,       ,      
Star 2, Fe I   , 4602.94, 1.49, -2.22,       1,       ,      
Star 2, Fe I   , 4707.27, 3.24, -0.96,      11,       ,      
Star 2, Fe I   , 4733.59, 1.49, -2.99,       1,       ,      
Star 2, Fe I   , 4736.77, 3.21, -0.75,       1,       ,      
Star 2, Fe I   , 4871.32, 2.87, -0.34,      11,       ,      
Star 2, Fe I   , 4890.76, 2.88, -0.38,      11,       ,  75.1
Star 2, Fe I   , 4891.49, 2.85, -0.11,       1,       ,  88.9
Star 2, Fe I   , 4903.31, 2.88, -0.89,      11,       ,  49.5
Star 2, Fe I   , 4918.99, 2.85, -0.34,       1,       ,  88.8
Star 2, Fe I   , 4924.77, 2.28, -2.11,       1,       ,      
Star 2, Fe I   , 4938.81, 2.88, -1.08,       1,       ,      
Star 2, Fe I   , 4939.69, 0.86, -3.34,       1,       ,  54.6
Star 2, Fe I   , 4946.39, 3.37, -1.11,      11,       ,      
Star 2, Fe I   , 4966.09, 3.33, -0.87,       1,       ,      
Star 2, Fe I   , 4994.13, 0.92, -3.08,       1,       ,  72.9
Star 2, Fe I   , 5001.86, 3.88, -0.01,      11,       ,      
Star 2, Fe I   , 5005.71, 3.88, -0.12,      11,       ,      
Star 2, Fe I   , 5014.94, 3.94, -0.3 ,       1,       ,      
Star 2, Fe I   , 5022.24, 3.98, -0.33,      11,       ,      
Star 2, Fe I   , 5049.82, 2.28, -1.35,       1,       ,  45.8
Star 2, Fe I   , 5051.63, 0.92, -2.8 ,       1,       ,  85.7
Star 2, Fe I   , 5068.77, 2.94, -1.04,       1,       ,  45.4
Star 2, Fe I   , 5083.34, 0.96, -2.96,       1,       ,      
Star 2, Fe I   , 5131.47, 2.22, -2.52,       1,       ,      
Star 2, Fe I   , 5150.84, 0.99, -3.04,       1,       ,  72.3
Star 2, Fe I   , 5166.28, 0.0 , -4.2 ,       1,       ,  91.0
Star 2, Fe I   , 5171.6 , 1.49, -1.79,       1,       , 122.6
Star 2, Fe I   , 5191.45, 3.04, -0.55,       1,       ,  84.9
Star 2, Fe I   , 5192.34, 3.0 , -0.42,       1,       ,  59.8
Star 2, Fe I   , 5194.94, 1.56, -2.09,       1,       ,  93.8
Star 2, Fe I   , 5202.34, 2.18, -1.84,       1,       ,  46.4
Star 2, Fe I   , 5216.27, 1.61, -2.15,       1,       ,  57.1
Star 2, Fe I   , 5232.94, 2.94, -0.06,       1,       ,  89.2
Star 2, Fe I   , 5266.56, 3.0 , -0.39,       1,       ,  63.0
Star 2, Fe I   , 5281.79, 3.04, -0.83,       1,       ,      
Star 2, Fe I   , 5283.62, 3.24, -0.52,       1,       ,      
Star 2, Fe I   , 5307.36, 1.61, -2.99,       1,       ,  28.9
Star 2, Fe I   , 5324.18, 3.21, -0.11,      11,       ,  54.3
Star 2, Fe I   , 5332.9 , 1.55, -2.78,       1,       ,  36.1
Star 2, Fe I   , 5339.93, 3.27, -0.72,       1,       ,  43.3
Star 2, Fe I   , 5367.47, 4.42, 0.44 ,       1,       ,      
Star 2, Fe I   , 5371.49, 0.96, -1.64,       1,       , 147.6
Star 2, Fe I   , 5383.37, 4.31, 0.65 ,       1,       ,  27.6
Star 2, Fe I   , 5393.17, 3.24, -0.72,      11,       ,      
Star 2, Fe I   , 5397.13, 0.92, -1.99,       1,       , 123.9
Star 2, Fe I   , 5405.77, 0.99, -1.84,       1,       ,      
Star 2, Fe I   , 5410.91, 4.47, 0.4  ,       1,       ,  21.3
Star 2, Fe I   , 5415.2 , 4.39, 0.64 ,       1,       ,  26.8
Star 2, Fe I   , 5429.7 , 0.96, -1.88,       1,       ,      
Star 2, Fe II  , 4491.4 , 2.86, -2.64,       1,       ,  50.8
Star 2, Fe II  , 4508.29, 2.86, -2.35,       1,       ,  46.9
Star 2, Fe II  , 4576.33, 2.84, -2.92,       1,       ,      
Star 2, Fe II  , 4583.84, 2.81, -1.74,       1,       ,  81.8
Star 2, Fe II  , 5197.57, 3.23, -2.05,       1,       ,  30.8
Star 2, Fe II  , 5234.62, 3.22, -2.21,       1,       ,      
Star 2, Ni I   , 4604.99, 3.48, -0.24,      12,       ,      
Star 2, Ni I   , 4953.21, 3.74, -0.58,      12,       ,  24.6
Star 2, Cu I   , 5105.5 , 1.39, -1.5 ,      13, l     ,      
Star 2, Cu I   , 5218.2 , 3.81, 0.26 ,       1, l     ,      
Star 2, Zn I   , 4680.14, 4.01, -0.85,      14,       ,      
Star 2, Zn I   , 4722.16, 4.03, -0.37,      14, l     ,      
Star 2, Zn I   , 4810.54, 4.08, -0.15,      14, l     ,      
Star 2, Sr II  , 4215.52, 0.0 , -0.17,       1, s     ,      
Star 2, Y II   , 4398.01, 0.13, -0.75,      15, s     ,      
Star 2, Y II   , 4682.32, 0.41, -1.73,      15,       ,      
Star 2, Y II   , 4854.86, 0.99, -0.27,      15, s     ,      
Star 2, Y II   , 4883.68, 1.08, 0.19 ,      15,       ,      
Star 2, Y II   , 4982.13, 1.03, -1.32,      15,       ,      
Star 2, Y II   , 5087.42, 1.08, -0.16,      15, s     ,      
Star 2, Y II   , 5119.11, 0.99, -1.33,      15,       ,      
Star 2, Y II   , 5200.41, 0.99, -0.47,      15, s     ,      
Star 2, Y II   , 5205.72, 1.03, -0.28,      15, s     ,      
Star 2, Y II   , 5289.82, 1.03, -1.68,      15,       ,      
Star 2, Zr II  , 4149.2 , 0.8 , -0.04,      16,       ,      
Star 2, Zr II  , 4161.2 , 0.71, -0.59,      16,       ,      
Star 2, Zr II  , 4208.98, 0.71, -0.51,      16,       ,      
Star 2, Zr II  , 4211.88, 0.53, -1.04,      16,       ,      
Star 2, Zr II  , 4613.95, 0.97, -1.54,      16, l     ,      
Star 2, Zr II  , 5112.27, 1.66, -0.85,      16, l     ,      
Star 2, Tc I   , 4262.27, 0.0 , -0.35,      17, l     ,      
Star 2, Ru I   , 4709.48, 1.13, -0.33,      18, l     ,      
Star 2, Ba II  , 4554.03, 0.0 , 0.14 ,      19, s     ,      
Star 2, La II  , 4662.5 , 0.0 , -1.24,      20,       ,      
Star 2, La II  , 4748.73, 0.93, -0.54,      20,       ,      
Star 2, La II  , 4804.04, 0.23, -1.49,      20,       ,      
Star 2, La II  , 4920.98, 0.13, -0.58,      20, s     ,      
Star 2, La II  , 4986.82, 0.17, -1.3 ,      20,       ,      
Star 2, La II  , 5114.56, 0.23, -1.03,      20,       ,      
Star 2, La II  , 5290.82, 0.0 , -1.65,      20, s     ,      
Star 2, La II  , 5303.53, 0.32, -1.35,      20,       ,      
Star 2, Ce II  , 4418.78, 0.86, 0.27 ,      21,       ,      
Star 2, Ce II  , 4486.91, 0.29, -0.18,      21,       ,      
Star 2, Ce II  , 4560.96, 0.68, -0.26,      21,       ,      
Star 2, Ce II  , 4562.36, 0.48, 0.21 ,      21, s     ,      
Star 2, Ce II  , 4572.28, 0.68, 0.22 ,      21, s     ,      
Star 2, Ce II  , 4582.5 , 0.7 , -0.35,      21,       ,      
Star 2, Ce II  , 4593.93, 0.7 , 0.07 ,      21, s     ,      
Star 2, Ce II  , 4628.16, 0.52, 0.14 ,      21, s     ,      
Star 2, Ce II  , 5274.23, 1.04, 0.13 ,      21,       ,      
Star 2, Ce II  , 5330.56, 0.87, -0.4 ,      21, s     ,      
Star 2, Pr II  , 4222.95, 0.06, 0.23 ,      22,       ,      
Star 2, Pr II  , 4408.82, 0.0 , 0.05 ,      22,       ,      
Star 2, Pr II  , 5259.73, 0.63, 0.12 ,      23, s     ,      
Star 2, Pr II  , 5322.77, 0.48, -0.12,      22, s     ,      
Star 2, Nd II  , 4446.38, 0.2 , -0.35,      24,       ,      
Star 2, Nd II  , 4462.98, 0.56, 0.04 ,      24,       ,      
Star 2, Nd II  , 4465.06, 0.0 , -1.36,      24,       ,      
Star 2, Nd II  , 4465.59, 0.18, -1.1 ,      24,       ,      
Star 2, Nd II  , 4501.81, 0.2 , -0.69,      24,       ,      
Star 2, Nd II  , 4506.58, 0.06, -1.04,      24,       ,      
Star 2, Nd II  , 4513.33, 0.06, -1.33,      24,       ,      
Star 2, Nd II  , 4563.22, 0.18, -0.88,      24,       ,      
Star 2, Nd II  , 4567.61, 0.2 , -1.31,      24,       ,      
Star 2, Nd II  , 4645.76, 0.56, -0.76,      24,       ,      
Star 2, Nd II  , 4706.54, 0.0 , -0.71,      24, s     ,      
Star 2, Nd II  , 4797.15, 0.56, -0.69,      24,       ,      
Star 2, Nd II  , 4825.48, 0.18, -0.42,      24, s     ,      
Star 2, Nd II  , 4859.03, 0.32, -0.44,      24,       ,      
Star 2, Nd II  , 4902.04, 0.06, -1.34,      24,       ,      
Star 2, Nd II  , 4914.38, 0.38, -0.7 ,      24, s     ,      
