Element,Ion,Nlines,l_logepsX,logepsX,logepsX_sun,l_[X/H],[X/H],l_{X/Fe],[X/Fe],Notes
Li,1,2,<,1.12,1.10,<,0.02,<,5.3,
C,,,,7.11,8.39,,-1.28,,+4.00,"Synthesis of C_{2}"
,,,,6.81,8.39,,-1.58,,+3.70,"Synthesis of CH A-X"
N,,,,4.93,7.93,,-3.00,,+2.28,"Synthesis of CN, assuming C = 7.11"
,,,,5.22,7.93,,-2.71,,+2.57,"Synthesis of CN, assuming C = 6.81"
Na,1,2,,1.86,6.33,,-4.47,,+0.81,
Mg,1,2,,2.41,7.54,,-5.13,,+0.15,
Al,1,1,<,0.93,6.47,<,-5.54,<,-0.26,"lambda = 3961.52 A"
Si,1,1,<,2.55,7.51,<,-4.96,<,+0.32,
S,1,1,<,7.11,7.33,<,-0.22,<,+5.06,"lambda = 4034.03 A"
Ca,1,1,,0.99,6.36,,-5.37,,-0.09,
,2,2,,1.44,6.36,,-4.92,,+0.36,
Sc,2,1,<,-1.50,3.17,<,-4.67,<,+0.61,"lambda = 3613.83 A"
Ti,2,5,,-0.62,5.02,,-5.64,,-0.36,
Cr,1,1,<,0.65,5.67,<,-5.02,<,+0.26,"lambda = 4254.33 A"
Mn,1,1,<,0.47,5.39,<,-4.92,<,+0.36,"lambda = 4033.06 A"
Fe,1,25,,2.06,7.45,,-5.39,,,"LTE"
,1,,,2.17,7.45,,-5.28,,,"non-LTE"
,2,1,<,3.00,7.45,<,-4.45,,,"lambda = 5018.44 A"
Co,1,1,<,0.86,4.92,<,-4.06,<,+1.22,"lambda = 3453.51 A"
Ni,1,4,,0.60,6.25,,-5.65,,-0.37,
Zn,1,1,<,1.97,4.60,<,-2.63,<,+2.65,"lambda = 4810.53 A"
Sr,2,1,<,-2.83,2.97,<,-5.80,<,-0.52,"lambda = 4077.71 A"
Ba,2,1,<,-2.33,2.13,<,-4.46,<,+0.82,"lambda = 4934.08 A"
Eu,2,1,<,-1.99,0.51,<,-2.50,<,+2.78,"lambda = 4129.73 A"
