Name,Simbad_Identifier,System,RA_hms,DEC_dms,Date,Slit,gmag,t_exp,SNR4500,SNR6500,Vel,e_Vel
TucII-301,DES J225045.09-585620.4,Tucana II,22:50:45.097,-58:56:20.483,"2021 Jul 30, Oct 5",1.0,18.87,355,12,22,-125.1,0.9
TucII-303,DES J225305.19-575427.0,Tucana II,22:53:05.194,-57:54:27.032,"2020 Oct 10, Dec 1",1.0,18.44,310,15,33,-128.9,0.9
TucII-305,Gaia DR3 6493416816937526016,Tucana II,22:57:46.859,-57:43:39.299,"2020 Oct 08, 09, 10",1.0,18.47,365,19,40,-125.3,0.9
TucII-306,DES J225137.01-585337.5,Tucana II,22:51:37.019,-58:53:37.579,"2021 Jul 30, Oct 5",1.0,18.38,150,17,28,-119.1,0.9
TucII-309,DES J224924.69-582047.4,Tucana II,22:49:24.690,-58:20:47.429,"2020 Oct 10; 2021 Jun 07, Oct 05",1.0,18.73,203,15,28,-125.3,0.9
