Seq,Name,[Fe/H],Species,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_[X/H],Nlines
4,BD+17 3248,-2.07,Fe II,,5.41,,-2.09,,-0.03,0.09,16
4,BD+17 3248,-2.07,Co I,,3.21,,-1.71,,0.36,,2
4,BD+17 3248,-2.07,Ni I,,4.19,,-2.06,,0.0,0.08,3
4,BD+17 3248,-2.07,Zn I,,2.54,,-2.06,,0.0,,1
5,BD-18 5550,-3.06,C-H,,5.44,,-3.08,,-0.02,,
5,BD-18 5550,-3.06,C-N,,,,,,,,
5,BD-18 5550,-3.06,O I,,6.13,,-2.64,,0.42,,
5,BD-18 5550,-3.06,Na I,,3.32,,-3.01,,0.05,,2
5,BD-18 5550,-3.06,Mg I,,4.83,,-2.75,,0.31,0.15,8
5,BD-18 5550,-3.06,Al I,,2.82,,-3.65,,-0.59,,2
5,BD-18 5550,-3.06,Si I,,4.88,,-2.67,,0.39,,1
5,BD-18 5550,-3.06,K I,,2.58,,-2.54,,0.52,,2
5,BD-18 5550,-3.06,Ca I,,3.71,,-2.65,,0.41,0.1,16
5,BD-18 5550,-3.06,Sc II,,0.15,,-3.02,,0.04,0.09,7
5,BD-18 5550,-3.06,Ti I,,2.12,,-2.9,,0.16,0.04,13
5,BD-18 5550,-3.06,Ti II,,2.1,,-2.92,,0.14,0.09,30
5,BD-18 5550,-3.06,Cr I,,2.27,,-3.4,,-0.34,0.1,7
5,BD-18 5550,-3.06,Mn I,,1.95,,-3.44,,-0.38,0.05,3
5,BD-18 5550,-3.06,Fe I,,4.44,,-3.06,,0.0,0.12,148
5,BD-18 5550,-3.06,Fe II,,4.44,,-3.06,,0.0,0.1,17
5,BD-18 5550,-3.06,Co I,,2.05,,-2.87,,0.19,0.12,3
5,BD-18 5550,-3.06,Ni I,,3.14,,-3.11,,-0.05,0.1,3
5,BD-18 5550,-3.06,Zn I,,1.76,,-2.84,,0.22,,1
6,CD-38 245,-4.19,C-H,<,4.0,<,-4.52,<,-0.33,,
6,CD-38 245,-4.19,C-N,,,,,,,,
6,CD-38 245,-4.19,O I,,,,,,,,
6,CD-38 245,-4.19,Na I,,2.08,,-4.25,,-0.06,,2
6,CD-38 245,-4.19,Mg I,,3.59,,-3.99,,0.2,0.08,6
6,CD-38 245,-4.19,Al I,,1.61,,-4.86,,-0.67,,2
6,CD-38 245,-4.19,Si I,,3.56,,-3.99,,0.2,,1
6,CD-38 245,-4.19,K I,,,,,,,,
6,CD-38 245,-4.19,Ca I,,2.37,,-3.99,,0.2,0.17,8
6,CD-38 245,-4.19,Sc II,,-0.98,,-4.15,,0.04,,2
6,CD-38 245,-4.19,Ti I,,1.2,,-3.82,,0.37,0.04,5
6,CD-38 245,-4.19,Ti II,,1.08,,-3.94,,0.25,0.11,24
6,CD-38 245,-4.19,Cr I,,1.04,,-4.63,,-0.44,0.12,5
6,CD-38 245,-4.19,Mn I,,0.61,,-4.78,,-0.6,0.03,3
6,CD-38 245,-4.19,Fe I,,3.3,,-4.2,,-0.01,0.2,95
6,CD-38 245,-4.19,Fe II,,3.33,,-4.17,,0.02,0.13,7
6,CD-38 245,-4.19,Co I,,1.1,,-3.82,,0.37,0.08,3
6,CD-38 245,-4.19,Ni I,,1.88,,-4.37,,-0.19,,2
6,CD-38 245,-4.19,Zn I,,1.1,,-3.5,,0.69,,1
7,BS 16467-062,-3.77,C-H,,5.0,,-3.52,,0.25,,
7,BS 16467-062,-3.77,C-N,,,,,,,,
7,BS 16467-062,-3.77,O I,,,,,,,,
7,BS 16467-062,-3.77,Na I,,2.39,,-3.94,,-0.17,,2
7,BS 16467-062,-3.77,Mg I,,3.97,,-3.61,,0.16,0.09,7
7,BS 16467-062,-3.77,Al I,,1.8,,-4.67,,-0.9,,2
7,BS 16467-062,-3.77,Si I,,4.2,,-3.35,,0.42,,1
7,BS 16467-062,-3.77,K I,,1.78,,-3.34,,0.43,,2
7,BS 16467-062,-3.77,Ca I,,2.94,,-3.42,,0.35,0.19,12
7,BS 16467-062,-3.77,Sc II,,-0.59,,-3.76,,0.01,0.06,4
7,BS 16467-062,-3.77,Ti I,,1.65,,-3.37,,0.4,0.17,11
7,BS 16467-062,-3.77,Ti II,,1.43,,-3.59,,0.18,0.18,23
7,BS 16467-062,-3.77,Cr I,,1.49,,-4.18,,-0.41,0.29,5
7,BS 16467-062,-3.77,Mn I,,1.07,,-4.32,,-0.55,0.03,3
7,BS 16467-062,-3.77,Fe I,,3.67,,-3.83,,-0.06,0.14,130
7,BS 16467-062,-3.77,Fe II,,3.79,,-3.71,,0.06,0.12,4
7,BS 16467-062,-3.77,Co I,,1.7,,-3.22,,0.55,0.1,4
7,BS 16467-062,-3.77,Ni I,,2.56,,-3.69,,0.08,0.03,3
