C0023306-163143    921   -7.0   53.2  19.3 -195.3  85.9  -77.9  19.0 0.00 0.00 1.00 3.
C0315358-094743   2434  131.6   86.3  14.6   50.4  36.4  -54.0  15.2 0.00 0.13 0.87 3.
C0408404-462531  15699   52.3   74.2 344.8  -88.9 338.4  241.7 269.9 0.00 0.01 0.99 3.
C0549576-334007   1157   79.7  -29.1  16.4  134.6  11.7  -24.7  14.2 0.02 0.91 0.07 2.
C1141088-453528   6152   83.9 -105.0  54.2   58.1  51.9  -88.1  69.2 0.00 0.11 0.89 3.
C1620512-091257   2713   55.5 -144.9  25.7   73.0  50.0 -109.6  48.1 0.00 0.06 0.94 3.
C1947015-235335   3126   14.9    9.8  35.0  166.0  70.5  -59.0  68.2 0.12 0.48 0.40 2.5
J001858.8-280036   298   38.4  -17.2   3.3  215.5   3.5  -31.2   0.5 0.80 0.19 0.00 1.
J003314.2-104342  2104  -82.7   89.1  23.2   30.2  34.7   47.6   8.4 0.00 0.06 0.94 3.
J004733.4-450942  2097  106.1  -49.6  26.3   21.1  42.6  -43.8  12.6 0.00 0.09 0.91 3.
J010700.3-160223   206  -38.5 -212.6  39.4  115.1  21.3   -0.6   9.1 0.00 0.17 0.83 3.
J010839.5-285701  2730  146.3 -166.9  53.6  258.8  48.7 -147.5   3.9 0.00 0.01 0.99 3.
J012415.6-102832   315   61.6   11.7   2.6  122.8  22.6  -69.0   3.6 0.00 0.74 0.26 2.
J013153.5-502702  2911   53.6   98.5  30.2  118.6  24.8  -15.3   8.2 0.01 0.70 0.29 2.
J013758.9-433020   193    8.9    4.1   3.4  237.6   3.2   -7.0   1.2 0.87 0.12 0.00 1.
J014254.2-503248   743  154.2  -78.1  15.3 -219.7  75.9   48.8  36.4 0.00 0.00 1.00 3.
J014821.1-532145  2742  105.6  116.1  36.5  104.7  25.8  -59.2  10.1 0.00 0.37 0.63 2.5
J014907.9-491142  2310   90.4   25.9  26.7  117.5  26.5  -45.7  11.5 0.01 0.75 0.23 2.
J015300.2-341736   434   22.0 -260.3  50.9 -135.0  70.4   42.9  11.4 0.00 0.00 1.00 3.
J015401.6-220240  3162   46.6  -10.0  27.4   96.4  38.1  -30.5   7.3 0.02 0.59 0.38 2.
