lambda,Measure,fnx_06_019,fnx0579x-1,car1_t174,car1_t194,car1_t200,LG04c_0008
5889.951,logepsNa_LTE,3.52,3.48,3.80,4.16,4.52,3.78
5889.951,logepsNa_NLTE,3.37,3.36,3.42,3.96,4.25,3.43
5889.951,Delta(NLTE-LTE),-0.15,-0.12,-0.38,-0.20,-0.27,-0.35
5889.951,[Na/Fe]_NLTE,+0.04,-0.16,+0.18,+0.26,+0.95,+0.23
5895.924,logepsNa_LTE,3.57,3.53,,4.09,4.35,4.00
5895.924,logepsNa_NLTE,3.38,3.37,,3.79,3.95,3.61
5895.924,Delta(NLTE-LTE),-0.19,-0.16,,-0.30,-0.40,-0.39
5895.924,[Na/Fe]_NLTE,+0.05,-0.15,,+0.09,+0.65,+0.41
